,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.136488872955516
1,0,2,0,0,4.136488852068481
2,0,3,0,0,8.641884241966158
3,0,4,0,0,4.136488852068481
4,0,5,0,0,9.011712773937982e-31
5,0,6,0,0,5.415593267560814
6,0,7,0,0,5.3232302888512795
7,0,8,0,0,9.909616440069568
8,0,9,0,0,5.034410731294795
9,0,10,0,0,4.678728697706739
10,0,11,0,0,5.415593267560814
11,0,12,0,0,2.779025440549003
12,0,13,0,0,9.084459886300579
13,0,14,0,0,5.333976497943169
14,0,15,0,0,5.333976497943169
15,1,2,0,0,1.687129286983917e-16
16,1,3,0,0,5.1708947395064815
17,1,4,0,0,1.6871293035164897e-16
18,1,5,0,0,4.136488872955515
19,1,6,0,0,5.387753343632353
20,1,7,0,0,8.578895203339199
21,1,8,0,0,8.559596440754643
22,1,9,0,0,0.9854981064377218
23,1,10,0,0,5.368955471738607
24,1,11,0,0,5.387753343632355
25,1,12,0,0,6.923260014038843
26,1,13,0,0,9.12804949067951
27,1,14,0,0,6.748125523664933
28,1,15,0,0,6.748125523664934
29,2,3,0,0,5.170894753601282
30,2,4,0,0,2.059933815457161e-30
31,2,5,0,0,4.1364888520684815
32,2,6,0,0,5.387753356093548
33,2,7,0,0,8.578895192169997
34,2,8,0,0,8.559596447281542
35,2,9,0,0,0.9854981255331096
36,2,10,0,0,5.368955464665149
37,2,11,0,0,5.38775335609355
38,2,12,0,0,6.923259993459992
39,2,13,0,0,9.128049488402215
40,2,14,0,0,6.748125521212393
41,2,15,0,0,6.748125521212395
42,3,4,0,0,5.170894753601283
43,3,5,0,0,8.641884241966153
44,3,6,0,0,4.63856377458057
45,3,7,0,0,9.923532727238234
46,3,8,0,0,5.034410715248067
47,3,9,0,0,5.417019304801852
48,3,10,0,0,8.405936483635871
49,3,11,0,0,4.638563774580571
50,3,12,0,0,9.09841919956498
51,3,13,0,0,5.697694291295622
52,3,14,0,0,5.344144069547781
53,3,15,0,0,5.344144069547781
54,4,5,0,0,4.13648885206848
55,4,6,0,0,5.38775335609355
56,4,7,0,0,8.578895192169995
57,4,8,0,0,8.559596447281544
58,4,9,0,0,0.98549812553311
59,4,10,0,0,5.368955464665147
60,4,11,0,0,5.387753356093551
61,4,12,0,0,6.923259993459992
62,4,13,0,0,9.128049488402217
63,4,14,0,0,6.748125521212393
64,4,15,0,0,6.748125521212395
65,5,6,0,0,5.415593267560814
66,5,7,0,0,5.3232302888512795
67,5,8,0,0,9.909616439454496
68,5,9,0,0,5.034410731294793
69,5,10,0,0,4.67872869770674
70,5,11,0,0,5.415593267560814
71,5,12,0,0,2.7790254405490042
72,5,13,0,0,9.084459886300579
73,5,14,0,0,5.333976497943169
74,5,15,0,0,5.333976497943169
75,6,7,0,0,8.451443908708605
76,6,8,0,0,5.205121969910377
77,6,9,0,0,5.120682943759111
78,6,10,0,0,4.217144445102824
79,6,11,0,0,1.2086902884920427e-30
80,6,12,0,0,5.32996691602475
81,6,13,0,0,6.804232522561875
82,6,14,0,0,9.098309004981067
83,6,15,0,0,9.098309004981068
84,7,8,0,0,8.497858841883081
85,7,9,0,0,8.507939885252888
86,7,10,0,0,5.1195997496321635
87,7,11,0,0,8.451443908708606
88,7,12,0,0,3.669558139729709
89,7,13,0,0,6.803240324523474
90,7,14,0,0,7.019218003315579
91,7,15,0,0,7.019218003315579
92,8,9,0,0,8.641884226833465
93,8,10,0,0,8.452699426268678
94,8,11,0,0,5.205121969910375
95,8,12,0,0,8.967015615477669
96,8,13,0,0,3.677200862613543
97,8,14,0,0,7.079998343016936
98,8,15,0,0,7.079998343016936
99,9,10,0,0,5.238586309549064
100,9,11,0,0,5.120682943759113
101,9,12,0,0,6.801384833290665
102,9,13,0,0,9.04649696552688
103,9,14,0,0,6.971418896380204
104,9,15,0,0,6.971418896380204
105,10,11,0,0,4.217144445102824
106,10,12,0,0,3.6626036412557106
107,10,13,0,0,5.3393147041280695
108,10,14,0,0,9.091543409212653
109,10,15,0,0,9.091543409212656
110,11,12,0,0,5.329966916024751
111,11,13,0,0,6.804232522561874
112,11,14,0,0,9.098309004981067
113,11,15,0,0,9.098309004981068
114,12,13,0,0,7.377257521459291
