,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.08367054206067
1,0,2,0,0,4.671231351854609
2,0,3,0,0,4.083670542060669
3,0,4,0,0,2.891229377119505e-31
4,0,5,0,0,2.4165268926248222
5,0,6,0,0,2.4165268926248222
6,0,7,0,0,4.083670542060668
7,0,8,0,0,4.8204935786773335
8,0,9,0,0,4.083670542060667
9,0,10,0,0,2.622473605326694e-30
10,0,11,0,0,2.4165268926248222
11,0,12,0,0,4.8204935786773335
12,0,13,0,0,2.4165268926248222
13,0,14,0,0,4.671231351854609
14,0,15,0,0,4.676159051378363
15,1,2,0,0,4.860115215686087
16,1,3,0,0,1.8238504520077835e-30
17,1,4,0,0,4.083670542060671
18,1,5,0,0,4.833492453184561
19,1,6,0,0,4.83349245318456
20,1,7,0,0,2.0130457506986716e-30
21,1,8,0,0,2.4153295895443767
22,1,9,0,0,5.7216177745782765e-30
23,1,10,0,0,4.083670542060667
24,1,11,0,0,4.8334924531845616
25,1,12,0,0,2.415329589544377
26,1,13,0,0,4.8334924531845616
27,1,14,0,0,4.860115215686087
28,1,15,0,0,4.654225556956803
29,2,3,0,0,4.860115215686086
30,2,4,0,0,4.671231351854609
31,2,5,0,0,4.833492453184557
32,2,6,0,0,4.833492453184559
33,2,7,0,0,4.860115215686085
34,2,8,0,0,4.654225556956802
35,2,9,0,0,4.860115215686086
36,2,10,0,0,4.671231351854608
37,2,11,0,0,4.833492453184558
38,2,12,0,0,4.654225556956803
39,2,13,0,0,4.833492453184558
40,2,14,0,0,2.9447715085830778e-30
41,2,15,0,0,2.4153295895443767
42,3,4,0,0,4.083670542060668
43,3,5,0,0,4.833492453184559
44,3,6,0,0,4.83349245318456
45,3,7,0,0,9.088206979484459e-31
46,3,8,0,0,2.4153295895443767
47,3,9,0,0,3.1808203087538624e-30
48,3,10,0,0,4.083670542060666
49,3,11,0,0,4.833492453184561
50,3,12,0,0,2.4153295895443763
51,3,13,0,0,4.83349245318456
52,3,14,0,0,4.860115215686085
53,3,15,0,0,4.654225556956802
54,4,5,0,0,2.4165268926248227
55,4,6,0,0,2.4165268926248222
56,4,7,0,0,4.083670542060667
57,4,8,0,0,4.820493578677333
58,4,9,0,0,4.083670542060666
59,4,10,0,0,2.0491067524285738e-30
60,4,11,0,0,2.4165268926248222
61,4,12,0,0,4.8204935786773335
62,4,13,0,0,2.4165268926248222
63,4,14,0,0,4.67123135185461
64,4,15,0,0,4.676159051378362
65,5,6,0,0,2.531302251270264e-30
66,5,7,0,0,4.833492453184558
67,5,8,0,0,4.080345670889139
68,5,9,0,0,4.833492453184558
69,5,10,0,0,2.416526892624822
70,5,11,0,0,5.339378144003013e-31
71,5,12,0,0,4.0803456708891375
72,5,13,0,0,1.7964140737028676e-30
73,5,14,0,0,4.83349245318456
74,5,15,0,0,4.080345670889139
75,6,7,0,0,4.833492453184559
76,6,8,0,0,4.080345670889138
77,6,9,0,0,4.833492453184559
78,6,10,0,0,2.4165268926248222
79,6,11,0,0,2.0440536476429864e-30
80,6,12,0,0,4.080345670889137
81,6,13,0,0,8.450747149917326e-31
82,6,14,0,0,4.833492453184559
83,6,15,0,0,4.080345670889139
84,7,8,0,0,2.4153295895443763
85,7,9,0,0,3.208382701440662e-30
86,7,10,0,0,4.083670542060665
87,7,11,0,0,4.833492453184561
88,7,12,0,0,2.4153295895443763
89,7,13,0,0,4.83349245318456
90,7,14,0,0,4.860115215686083
91,7,15,0,0,4.654225556956802
92,8,9,0,0,2.415329589544376
93,8,10,0,0,4.820493578677334
94,8,11,0,0,4.08034567088914
95,8,12,0,0,1.8306139205941077e-30
96,8,13,0,0,4.0803456708891375
97,8,14,0,0,4.654225556956802
98,8,15,0,0,4.071806503241935
99,9,10,0,0,4.0836705420606645
100,9,11,0,0,4.833492453184557
101,9,12,0,0,2.4153295895443754
102,9,13,0,0,4.833492453184558
103,9,14,0,0,4.860115215686086
104,9,15,0,0,4.654225556956801
105,10,11,0,0,2.4165268926248227
106,10,12,0,0,4.8204935786773335
107,10,13,0,0,2.4165268926248222
108,10,14,0,0,4.671231351854609
109,10,15,0,0,4.67615905137836
110,11,12,0,0,4.080345670889137
111,11,13,0,0,1.0241745275170523e-30
112,11,14,0,0,4.833492453184561
113,11,15,0,0,4.080345670889138
114,12,13,0,0,4.0803456708891375
115,12,14,0,0,4.654225556956803
116,12,15,0,0,4.071806503241937
117,13,14,0,0,4.8334924531845616
118,13,15,0,0,4.0803456708891375
119,14,15,0,0,2.4153295895443767
120,0,1,0,1,4.673344778492243
121,0,2,0,1,4.081204119148167
122,0,3,0,1,4.673344778492241
123,0,4,0,1,7.655545596686255e-31
124,0,5,0,1,2.4175057099441872
125,0,6,0,1,2.4175057099441872
126,0,7,0,1,4.6733447784922415
127,0,8,0,1,4.672481829013546
128,0,9,0,1,4.6733447784922415
129,0,10,0,1,2.8820698624313447e-30
130,0,11,0,1,2.4175057099441877
131,0,12,0,1,4.672481829013545
132,0,13,0,1,2.4175057099441872
133,0,14,0,1,4.081204119148168
134,0,15,0,1,4.815340903648096
135,1,2,0,1,4.07967849811417
136,1,3,0,1,2.411638879490388
137,1,4,0,1,4.083670542060669
138,1,5,0,1,4.660646324719886
139,1,6,0,1,4.6606463247198855
140,1,7,0,1,2.4116388794903876
141,1,8,0,1,3.525449947418639
142,1,9,0,1,2.411638879490387
143,1,10,0,1,4.083670542060667
144,1,11,0,1,4.6606463247198855
145,1,12,0,1,3.525449947418639
146,1,13,0,1,4.660646324719885
147,1,14,0,1,4.079678498114171
148,1,15,0,1,4.662725796915706
149,2,3,0,1,4.079678498114168
150,2,4,0,1,4.671231351854608
151,2,5,0,1,4.660646324719885
152,2,6,0,1,4.660646324719883
153,2,7,0,1,4.079678498114167
154,2,8,0,1,4.662725796915706
155,2,9,0,1,4.079678498114167
156,2,10,0,1,4.671231351854608
157,2,11,0,1,4.660646324719885
158,2,12,0,1,4.662725796915706
159,2,13,0,1,4.660646324719884
160,2,14,0,1,2.411638879490389
161,2,15,0,1,3.525449947418639
162,3,4,0,1,4.083670542060667
163,3,5,0,1,4.660646324719885
