,isite_i,isite_j,distance
0,0,1,0.6951465331762287
1,0,2,0.6951465331762271
2,0,3,0.0
3,0,4,0.6951465331762269
4,0,5,0.0
5,0,6,0.0
6,0,7,0.6951465331762273
7,0,8,0.6468916000341384
8,0,9,0.6468916000341393
9,0,10,0.6468916000341371
10,0,11,0.6468916000341391
11,0,12,0.0
12,0,13,0.6951465331762273
13,0,14,0.6951465331762273
14,0,15,0.0
15,0,16,0.6951465331762265
16,0,17,0.0
17,0,18,0.0
18,0,19,0.6951465331762264
19,0,20,0.6468916000341383
20,0,21,0.6468916000341385
21,0,22,0.6468916000341388
22,0,23,0.6468916000341388
23,1,2,0.0
24,1,3,0.6946518973629346
25,1,4,0.0
26,1,5,0.6946518973629338
27,1,6,0.694651897362934
28,1,7,0.0
29,1,8,0.6417421341161755
30,1,9,0.6417421341161759
31,1,10,0.6417421341161735
32,1,11,0.6417421341161734
33,1,12,0.6946518973629346
34,1,13,0.0
35,1,14,0.0
36,1,15,0.6946518973629343
37,1,16,0.0
38,1,17,0.6946518973629363
39,1,18,0.6946518973629354
40,1,19,0.0
41,1,20,0.6417421341161745
42,1,21,0.6417421341161748
43,1,22,0.6417421341161732
44,1,23,0.6417421341161725
45,2,3,0.6951465331762273
46,2,4,0.0
47,2,5,0.6951465331762273
48,2,6,0.6951465331762264
49,2,7,0.0
50,2,8,0.6468916000341386
51,2,9,0.6468916000341383
52,2,10,0.6468916000341387
53,2,11,0.6468916000341386
54,2,12,0.6951465331762273
55,2,13,0.0
56,2,14,0.0
57,2,15,0.6951465331762274
58,2,16,0.0
59,2,17,0.6951465331762265
60,2,18,0.6951465331762262
61,2,19,0.0
62,2,20,0.6468916000341376
63,2,21,0.6468916000341383
64,2,22,0.6468916000341398
65,2,23,0.6468916000341387
66,3,4,0.7005408697791847
67,3,5,0.0
68,3,6,0.0
69,3,7,0.7005408697791856
70,3,8,0.646938265292795
71,3,9,0.6469382652927956
72,3,10,0.646938265292794
73,3,11,0.6469382652927952
74,3,12,0.0
75,3,13,0.7005408697791845
76,3,14,0.7005408697791848
77,3,15,0.0
78,3,16,0.7005408697791846
79,3,17,0.0
80,3,18,0.0
81,3,19,0.7005408697791848
82,3,20,0.6469382652927946
83,3,21,0.6469382652927946
84,3,22,0.6469382652927944
85,3,23,0.6469382652927945
86,4,5,0.6951465331762273
87,4,6,0.6951465331762264
88,4,7,0.0
89,4,8,0.6468916000341388
90,4,9,0.6468916000341385
91,4,10,0.6468916000341387
92,4,11,0.6468916000341387
93,4,12,0.695146533176227
94,4,13,0.0
95,4,14,0.0
96,4,15,0.6951465331762272
97,4,16,0.0
98,4,17,0.6951465331762264
99,4,18,0.6951465331762262
100,4,19,0.0
101,4,20,0.6468916000341377
102,4,21,0.6468916000341381
103,4,22,0.6468916000341398
104,4,23,0.6468916000341387
105,5,6,0.0
106,5,7,0.7005408697791855
107,5,8,0.646938265292795
108,5,9,0.6469382652927955
109,5,10,0.646938265292794
110,5,11,0.6469382652927952
111,5,12,0.0
112,5,13,0.7005408697791845
113,5,14,0.7005408697791848
114,5,15,0.0
115,5,16,0.7005408697791845
116,5,17,0.0
117,5,18,0.0
118,5,19,0.7005408697791848
119,5,20,0.6469382652927946
120,5,21,0.6469382652927946
121,5,22,0.6469382652927944
122,5,23,0.6469382652927945
123,6,7,0.6951465331762253
124,6,8,0.6454083962536583
125,6,9,0.6454083962536582
126,6,10,0.6454083962536568
127,6,11,0.6454083962536579
128,6,12,0.0
129,6,13,0.6951465331762264
130,6,14,0.6951465331762268
131,6,15,0.0
132,6,16,0.695146533176227
133,6,17,0.0
134,6,18,0.0
135,6,19,0.695146533176228
136,6,20,0.6454083962536579
137,6,21,0.645408396253658
138,6,22,0.6454083962536562
139,6,23,0.6454083962536574
140,7,8,0.6417421341161755
141,7,9,0.6417421341161758
142,7,10,0.6417421341161733
143,7,11,0.641742134116173
144,7,12,0.6946518973629336
145,7,13,0.0
146,7,14,0.0
147,7,15,0.6946518973629333
148,7,16,0.0
149,7,17,0.6946518973629353
150,7,18,0.6946518973629344
151,7,19,0.0
152,7,20,0.6417421341161742
153,7,21,0.6417421341161742
