,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.1330966294472728e-30
1,0,2,0,0,3.5947811589335226
2,0,3,0,0,3.5967222315949146
3,0,4,0,0,3.4915139057511886
4,0,5,0,0,2.3605283155550403
5,0,6,0,0,3.892583766465485
6,0,7,0,0,5.46202854250556
7,0,8,0,0,3.893585904177054
8,0,9,0,0,3.321344424500974
9,0,10,0,0,3.893585904177052
10,0,11,0,0,5.070433660359901
11,0,12,0,0,5.011354676820648
12,0,13,0,0,4.459959849616788
13,0,14,0,0,5.017536165135146
14,0,15,0,0,5.011354676820648
15,0,16,0,0,6.2307653737185555
16,0,17,0,0,3.5120728217404964
17,0,18,0,0,6.230765373718556
18,0,19,0,0,6.230765373718558
19,0,20,0,0,4.849647675236195
20,0,21,0,0,5.417317686196048
21,0,22,0,0,4.7605137130905195
22,0,23,0,0,5.417317686196044
23,1,2,0,0,3.594781158933523
24,1,3,0,0,3.596722231594914
25,1,4,0,0,3.491513905751187
26,1,5,0,0,2.3605283155550416
27,1,6,0,0,3.892583766465486
28,1,7,0,0,5.462028542505558
29,1,8,0,0,3.893585904177053
30,1,9,0,0,3.3213444245009742
31,1,10,0,0,3.893585904177052
32,1,11,0,0,5.070433660359902
33,1,12,0,0,5.011354676820648
34,1,13,0,0,4.459959849616788
35,1,14,0,0,5.0175361651351436
36,1,15,0,0,5.011354676820647
37,1,16,0,0,6.230765373718554
38,1,17,0,0,3.512072821740496
39,1,18,0,0,6.2307653737185555
40,1,19,0,0,6.230765373718557
41,1,20,0,0,4.849647675236195
42,1,21,0,0,5.417317686196048
43,1,22,0,0,4.7605137130905195
44,1,23,0,0,5.417317686196044
45,2,3,0,0,3.58699638227078
46,2,4,0,0,3.9036466777919765
47,2,5,0,0,4.017044109474279
48,2,6,0,0,4.063187489159094
49,2,7,0,0,3.4950741769241325
50,2,8,0,0,4.89464581258213
51,2,9,0,0,4.591918287243473
52,2,10,0,0,4.894645812582131
53,2,11,0,0,4.029623291126086
54,2,12,0,0,4.245100796363528
55,2,13,0,0,2.773339582784355
56,2,14,0,0,4.446311826760325
57,2,15,0,0,4.245100796363524
58,2,16,0,0,3.4862586499465325
59,2,17,0,0,3.9830399263458443
60,2,18,0,0,3.4862586499465307
61,2,19,0,0,3.486258649946531
62,2,20,0,0,3.737333449953866
63,2,21,0,0,4.838513715613281
64,2,22,0,0,5.026677210802075
65,2,23,0,0,4.838513715613276
66,3,4,0,0,5.445082568340254
67,3,5,0,0,2.816932354745532
68,3,6,0,0,3.582338648123605
69,3,7,0,0,3.8848194055940257
70,3,8,0,0,4.260105958348616
71,3,9,0,0,4.826861678483679
72,3,10,0,0,4.260105958348615
73,3,11,0,0,4.4135088435776435
74,3,12,0,0,3.3316328759291247
75,3,13,0,0,5.012544163040933
76,3,14,0,0,2.764299812725731
77,3,15,0,0,3.331632875929124
78,3,16,0,0,4.003572541406396
79,3,17,0,0,6.229783101873043
80,3,18,0,0,4.003572541406395
81,3,19,0,0,4.003572541406399
82,3,20,0,0,5.423796218756385
83,3,21,0,0,3.7611244304585227
84,3,22,0,0,5.844109898519999
85,3,23,0,0,3.7611244304585196
86,4,5,0,0,4.177886287642325
87,4,6,0,0,4.183799435069738
88,4,7,0,0,4.609991474036819
89,4,8,0,0,3.487838647176312
90,4,9,0,0,3.328476716035992
91,4,10,0,0,3.4878386471763125
92,4,11,0,0,5.008815155150394
93,4,12,0,0,4.825772352800253
94,4,13,0,0,4.413447278026275
95,4,14,0,0,5.182665604880434
96,4,15,0,0,4.825772352800254
97,4,16,0,0,5.0694648069779555
98,4,17,0,0,2.4147039076050483
99,4,18,0,0,5.0694648069779555
100,4,19,0,0,5.069464806977953
101,4,20,0,0,4.580625651129696
102,4,21,0,0,4.672325268214763
103,4,22,0,0,4.164858549096701
104,4,23,0,0,4.6723252682147605
105,5,6,0,0,4.177971973838031
106,5,7,0,0,4.638254253059279
107,5,8,0,0,5.012544163040933
108,5,9,0,0,3.4992189355563346
109,5,10,0,0,5.01254416304093
110,5,11,0,0,3.331632875929123
111,5,12,0,0,4.413508843577645
112,5,13,0,0,4.2601059583486185
113,5,14,0,0,3.8959523276658206
114,5,15,0,0,4.413508843577646
115,5,16,0,0,4.846755409401772
116,5,17,0,0,5.423796218756386
117,5,18,0,0,4.846755409401773
118,5,19,0,0,4.846755409401775
119,5,20,0,0,6.229783101873044
120,5,21,0,0,3.505607962580559
121,5,22,0,0,4.579258841355868
122,5,23,0,0,3.5056079625805583
123,6,7,0,0,3.5871680099481287
124,6,8,0,0,3.3336837831236625
125,6,9,0,0,5.028256430010321
126,6,10,0,0,3.3336837831236625
127,6,11,0,0,3.5028430010489138
128,6,12,0,0,4.259917623014553
129,6,13,0,0,4.830475273623327
130,6,14,0,0,4.03352205015364
131,6,15,0,0,4.259917623014553
132,6,16,0,0,4.062076952982957
133,6,17,0,0,5.839482587626066
134,6,18,0,0,4.062076952982957
135,6,19,0,0,4.062076952982958
136,6,20,0,0,4.164534549683787
137,6,21,0,0,5.619320955584689
138,6,22,0,0,6.239060717830281
139,6,23,0,0,5.619320955584682
140,7,8,0,0,4.9956268316497034
141,7,9,0,0,4.422229470338977
142,7,10,0,0,4.9956268316497034
143,7,11,0,0,3.837449417905636
144,7,12,0,0,3.896523486849585
145,7,13,0,0,3.302701757207214
146,7,14,0,0,4.401255633460684
147,7,15,0,0,3.896523486849583
148,7,16,0,0,2.40905465169562
149,7,17,0,0,4.731271041755103
150,7,18,0,0,2.4090546516956204
151,7,19,0,0,2.4090546516956213
152,7,20,0,0,3.6805221419727934
153,7,21,0,0,4.555560284478839
154,7,22,0,0,3.4972595237084527
155,7,23,0,0,4.555560284478837
156,8,9,0,0,5.52653331019944
157,8,10,0,0,2.5574514921382895e-30
158,8,11,0,0,5.528291783733289
159,8,12,0,0,4.226316325139656
160,8,13,0,0,6.424884053163651
161,8,14,0,0,4.790633763059194
162,8,15,0,0,4.2263163251396545
163,8,16,0,0,6.608177485148243
164,8,17,0,0,4.323373373920715
165,8,18,0,0,6.608177485148242
