,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.4534398859215106e-30
1,0,2,0,0,3.996357730400966
2,0,3,0,0,3.9944228505116266
3,0,4,0,0,3.3001234193848794
4,0,5,0,0,2.2622133668707565
5,0,6,0,0,3.9211430906684024
6,0,7,0,0,3.9211430906684033
7,0,8,0,0,3.721206983589313
8,0,9,0,0,1.6006692310689434
9,0,10,0,0,1.9320592562439747
10,0,11,0,0,1.9404787155408774
11,0,12,0,0,1.0159119962480637e-30
12,0,13,0,0,3.3981129939356842
13,0,14,0,0,3.9944228505116275
14,0,15,0,0,3.9944228505116266
15,0,16,0,0,3.9211430906684033
16,0,17,0,0,3.6184410149429582
17,0,18,0,0,3.9211430906684015
18,0,19,0,0,3.9211430906684024
19,0,20,0,0,1.932059256243974
20,0,21,0,0,3.191019528792257
21,0,22,0,0,1.9320592562439745
22,0,23,0,0,1.6006692310689428
23,1,2,0,0,3.996357730400966
24,1,3,0,0,3.9944228505116284
25,1,4,0,0,3.3001234193848803
26,1,5,0,0,2.2622133668707565
27,1,6,0,0,3.9211430906684015
28,1,7,0,0,3.9211430906684015
29,1,8,0,0,3.7212069835893127
30,1,9,0,0,1.600669231068945
31,1,10,0,0,1.9320592562439751
32,1,11,0,0,1.94047871554088
33,1,12,0,0,4.642624838372321e-30
34,1,13,0,0,3.398112993935685
35,1,14,0,0,3.9944228505116275
36,1,15,0,0,3.9944228505116284
37,1,16,0,0,3.9211430906684015
38,1,17,0,0,3.618441014942957
39,1,18,0,0,3.921143090668401
40,1,19,0,0,3.9211430906684015
41,1,20,0,0,1.9320592562439745
42,1,21,0,0,3.1910195287922574
43,1,22,0,0,1.9320592562439751
44,1,23,0,0,1.6006692310689443
45,2,3,0,0,3.9944228505116293
46,2,4,0,0,2.2622133668707587
47,2,5,0,0,3.300123419384877
48,2,6,0,0,1.816421757538954
49,2,7,0,0,1.8164217575389534
50,2,8,0,0,1.600669231068944
51,2,9,0,0,3.7212069835893136
52,2,10,0,0,3.191019528792258
53,2,11,0,0,2.1543819357980762
54,2,12,0,0,3.996357730400966
55,2,13,0,0,2.321901063236253
56,2,14,0,0,3.9944228505116275
57,2,15,0,0,3.9944228505116275
58,2,16,0,0,1.8164217575389547
59,2,17,0,0,3.3064073251913078
60,2,18,0,0,1.816421757538952
61,2,19,0,0,1.8164217575389532
62,2,20,0,0,3.191019528792257
63,2,21,0,0,1.9320592562439736
64,2,22,0,0,3.191019528792258
65,2,23,0,0,3.721206983589314
66,3,4,0,0,3.6112489891876964
67,3,5,0,0,3.611248989187697
68,3,6,0,0,3.9234042746778615
69,3,7,0,0,3.9234042746778606
70,3,8,0,0,1.6087237621064638
71,3,9,0,0,1.6087237621064645
72,3,10,0,0,2.1300332660856274
73,3,11,0,0,3.1819319525589895
74,3,12,0,0,3.9944228505116284
75,3,13,0,0,3.3960189018936475
76,3,14,0,0,4.5464085882339755e-30
77,3,15,0,0,1.701448218990537e-30
78,3,16,0,0,3.9234042746778606
79,3,17,0,0,2.2716614055728597
80,3,18,0,0,3.9234042746778597
81,3,19,0,0,3.9234042746778606
82,3,20,0,0,2.1300332660856256
83,3,21,0,0,2.1300332660856256
84,3,22,0,0,2.1300332660856265
85,3,23,0,0,1.608723762106465
86,4,5,0,0,1.8406062147473639
87,4,6,0,0,2.1066853103557506
88,4,7,0,0,2.1066853103557506
89,4,8,0,0,2.9878381547179664
90,4,9,0,0,3.969009943575473
91,4,10,0,0,5.026371147123719
92,4,11,0,0,2.506572374433764
93,4,12,0,0,3.3001234193848803
94,4,13,0,0,3.5464335778094522
95,4,14,0,0,3.6112489891876973
96,4,15,0,0,3.6112489891876964
97,4,16,0,0,2.1066853103557515
98,4,17,0,0,2.4949900092351687
99,4,18,0,0,2.1066853103557506
100,4,19,0,0,2.1066853103557515
101,4,20,0,0,5.026371147123719
102,4,21,0,0,3.2851501646927956
103,4,22,0,0,5.02637114712372
104,4,23,0,0,3.969009943575473
105,5,6,0,0,2.4949779244444668
106,5,7,0,0,2.4949779244444663
107,5,8,0,0,3.969009943575473
108,5,9,0,0,2.9878381547179655
109,5,10,0,0,3.285150164692797
110,5,11,0,0,2.8338182172022797
111,5,12,0,0,2.262213366870757
112,5,13,0,0,3.924081339550929
113,5,14,0,0,3.6112489891876964
114,5,15,0,0,3.611248989187697
115,5,16,0,0,2.494977924444466
116,5,17,0,0,2.960480173689732
117,5,18,0,0,2.4949779244444668
118,5,19,0,0,2.494977924444466
119,5,20,0,0,3.2851501646927965
120,5,21,0,0,5.026371147123717
121,5,22,0,0,3.285150164692797
122,5,23,0,0,2.9878381547179647
123,6,7,0,0,1.6738315508182935e-30
124,6,8,0,0,2.5070277174307507
125,6,9,0,0,5.014884724227798
126,6,10,0,0,3.952328247582774
127,6,11,0,0,2.618702387342939
128,6,12,0,0,3.9211430906684024
129,6,13,0,0,1.6230351841366926
130,6,14,0,0,3.923404274677864
131,6,15,0,0,3.9234042746778615
132,6,16,0,0,3.936587766176845e-30
133,6,17,0,0,2.4933706450571296
134,6,18,0,0,2.0009711784021784e-29
135,6,19,0,0,4.4242962402922634e-30
136,6,20,0,0,3.952328247582773
137,6,21,0,0,2.834379884877822
138,6,22,0,0,3.952328247582773
139,6,23,0,0,5.014884724227798
140,7,8,0,0,2.50702771743075
141,7,9,0,0,5.014884724227796
142,7,10,0,0,3.952328247582774
143,7,11,0,0,2.6187023873429394
144,7,12,0,0,3.9211430906684024
145,7,13,0,0,1.6230351841366926
146,7,14,0,0,3.9234042746778615
147,7,15,0,0,3.923404274677859
148,7,16,0,0,2.635423659597482e-30
149,7,17,0,0,2.4933706450571282
150,7,18,0,0,2.1002861330980164e-29
151,7,19,0,0,2.8914310891004227e-30
152,7,20,0,0,3.952328247582772
153,7,21,0,0,2.834379884877822
154,7,22,0,0,3.952328247582772
155,7,23,0,0,5.014884724227796
156,8,9,0,0,2.521030424795323
157,8,10,0,0,2.187742615003207
158,8,11,0,0,2.1948406580521787
159,8,12,0,0,3.7212069835893127
160,8,13,0,0,1.9415521307458412
161,8,14,0,0,1.6087237621064632
162,8,15,0,0,1.6087237621064645
163,8,16,0,0,2.507027717430751
164,8,17,0,0,2.6202724345175983
165,8,18,0,0,2.507027717430748
166,8,19,0,0,2.50702771743075
167,8,20,0,0,2.1877426150032053
168,8,21,0,0,1.1582905450426313
169,8,22,0,0,2.1877426150032067
170,8,23,0,0,2.5210304247953226
171,9,10,0,0,1.158290545042632
172,9,11,0,0,2.070210087721254
173,9,12,0,0,1.6006692310689434
174,9,13,0,0,3.172566099891378
175,9,14,0,0,1.6087237621064636
176,9,15,0,0,1.6087237621064652
177,9,16,0,0,5.014884724227797
178,9,17,0,0,3.013737037714538
179,9,18,0,0,5.014884724227796
180,9,19,0,0,5.014884724227795
181,9,20,0,0,1.1582905450426317
182,9,21,0,0,2.1877426150032058
183,9,22,0,0,1.1582905450426317
184,9,23,0,0,1.632164713038502e-30
185,10,11,0,0,2.528068683260002
186,10,12,0,0,1.9320592562439751
187,10,13,0,0,2.5264048517958955
188,10,14,0,0,2.1300332660856265
189,10,15,0,0,2.1300332660856274
190,10,16,0,0,3.952328247582774
191,10,17,0,0,2.997615932356408
192,10,18,0,0,3.952328247582772
193,10,19,0,0,3.952328247582773
194,10,20,0,0,3.9555577075960246e-30
195,10,21,0,0,2.622291185139723
196,10,22,0,0,2.4415783421618717e-30
197,10,23,0,0,1.1582905450426317
198,11,12,0,0,1.9404787155408778
199,11,13,0,0,2.1485903089337404
200,11,14,0,0,3.1819319525589895
201,11,15,0,0,3.1819319525589895
202,11,16,0,0,2.6187023873429407
203,11,17,0,0,3.981111010059671
204,11,18,0,0,2.618702387342941
205,11,19,0,0,2.6187023873429403
206,11,20,0,0,2.528068683260002
207,11,21,0,0,2.1910339088151436
208,11,22,0,0,2.528068683260003
209,11,23,0,0,2.0702100877212537
210,12,13,0,0,3.3981129939356847
211,12,14,0,0,3.9944228505116275
212,12,15,0,0,3.9944228505116284
213,12,16,0,0,3.9211430906684033
214,12,17,0,0,3.6184410149429587
215,12,18,0,0,3.9211430906684015
216,12,19,0,0,3.9211430906684024
217,12,20,0,0,1.9320592562439747
218,12,21,0,0,3.1910195287922574
219,12,22,0,0,1.932059256243975
220,12,23,0,0,1.6006692310689428
221,13,14,0,0,3.396018901893648
222,13,15,0,0,3.3960189018936475
223,13,16,0,0,1.6230351841366932
224,13,17,0,0,3.92565091725159
225,13,18,0,0,1.623035184136693
226,13,19,0,0,1.6230351841366932
227,13,20,0,0,2.526404851795895
228,13,21,0,0,1.6008137658373185
229,13,22,0,0,2.526404851795895
230,13,23,0,0,3.17256609989138
231,14,15,0,0,9.487714521186187e-30
232,14,16,0,0,3.9234042746778632
233,14,17,0,0,2.27166140557286
234,14,18,0,0,3.9234042746778615
235,14,19,0,0,3.9234042746778623
236,14,20,0,0,2.1300332660856243
237,14,21,0,0,2.130033266085624
238,14,22,0,0,2.130033266085625
239,14,23,0,0,1.608723762106464
240,15,16,0,0,3.923404274677859
241,15,17,0,0,2.27166140557286
242,15,18,0,0,3.923404274677858
243,15,19,0,0,3.9234042746778597
244,15,20,0,0,2.130033266085626
245,15,21,0,0,2.1300332660856256
246,15,22,0,0,2.130033266085626
247,15,23,0,0,1.608723762106465
