,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,1.6257312794616168
4,0,5,1.6257312794616166
5,0,6,1.6257312794616154
6,0,7,1.6257312794616172
7,0,8,1.600669231068944
8,0,9,1.6006692310689434
9,0,10,1.6006692310689443
10,0,11,1.600669231068943
11,0,12,0.0
12,0,13,0.0
13,0,14,0.0
14,0,15,0.0
15,0,16,1.6257312794616186
16,0,17,1.6257312794616172
17,0,18,1.6257312794616174
18,0,19,1.6257312794616163
19,0,20,1.6006692310689412
20,0,21,1.6006692310689423
21,0,22,1.600669231068942
22,0,23,1.6006692310689428
23,1,2,0.0
24,1,3,0.0
25,1,4,1.6257312794616168
26,1,5,1.625731279461616
27,1,6,1.6257312794616152
28,1,7,1.625731279461617
29,1,8,1.6006692310689463
30,1,9,1.600669231068945
31,1,10,1.600669231068946
32,1,11,1.600669231068945
33,1,12,0.0
34,1,13,0.0
35,1,14,0.0
36,1,15,0.0
37,1,16,1.6257312794616177
38,1,17,1.6257312794616174
39,1,18,1.6257312794616177
40,1,19,1.6257312794616166
41,1,20,1.600669231068943
42,1,21,1.6006692310689448
43,1,22,1.6006692310689434
44,1,23,1.6006692310689443
45,2,3,0.0
46,2,4,1.6257312794616188
47,2,5,1.625731279461619
48,2,6,1.6257312794616172
49,2,7,1.6257312794616197
50,2,8,1.600669231068944
51,2,9,1.600669231068944
52,2,10,1.6006692310689437
53,2,11,1.6006692310689443
54,2,12,0.0
55,2,13,0.0
56,2,14,0.0
57,2,15,0.0
58,2,16,1.62573127946162
59,2,17,1.6257312794616192
60,2,18,1.6257312794616217
61,2,19,1.6257312794616192
62,2,20,1.6006692310689434
63,2,21,1.6006692310689428
64,2,22,1.6006692310689437
65,2,23,1.600669231068944
66,3,4,1.623294331156706
67,3,5,1.623294331156707
68,3,6,1.6232943311567052
69,3,7,1.6232943311567067
70,3,8,1.6087237621064636
71,3,9,1.6087237621064645
72,3,10,1.6087237621064632
73,3,11,1.608723762106464
74,3,12,0.0
75,3,13,0.0
76,3,14,0.0
77,3,15,0.0
78,3,16,1.623294331156707
79,3,17,1.6232943311567054
80,3,18,1.6232943311567076
81,3,19,1.6232943311567072
82,3,20,1.6087237621064645
83,3,21,1.6087237621064645
84,3,22,1.6087237621064627
85,3,23,1.608723762106465
86,4,5,0.0
87,4,6,0.0
88,4,7,0.0
89,4,8,2.506572374433764
90,4,9,2.5065723744337656
91,4,10,2.5065723744337656
92,4,11,2.506572374433764
93,4,12,1.6217799616265482
94,4,13,1.6217799616265485
95,4,14,1.6217799616265487
96,4,15,1.6217799616265482
97,4,16,0.0
98,4,17,0.0
99,4,18,0.0
100,4,19,0.0
101,4,20,2.5065723744337647
102,4,21,2.5065723744337625
103,4,22,2.5065723744337647
104,4,23,2.5065723744337656
105,5,6,0.0
106,5,7,0.0
107,5,8,2.5065723744337625
108,5,9,2.506572374433764
109,5,10,2.506572374433765
110,5,11,2.506572374433764
111,5,12,1.6217799616265485
112,5,13,1.6217799616265487
113,5,14,1.6217799616265487
114,5,15,1.6217799616265482
115,5,16,0.0
116,5,17,0.0
117,5,18,0.0
118,5,19,0.0
119,5,20,2.5065723744337656
120,5,21,2.506572374433764
121,5,22,2.506572374433766
122,5,23,2.506572374433765
123,6,7,0.0
124,6,8,2.5032881488254604
125,6,9,2.5032881488254604
126,6,10,2.503288148825461
127,6,11,2.5032881488254595
128,6,12,1.623035184136692
129,6,13,1.6230351841366926
130,6,14,1.623035184136693
131,6,15,1.623035184136692
132,6,16,0.0
133,6,17,0.0
134,6,18,0.0
135,6,19,0.0
136,6,20,2.503288148825461
137,6,21,2.5032881488254595
138,6,22,2.5032881488254617
139,6,23,2.503288148825461
140,7,8,2.50328814882546
141,7,9,2.5032881488254604
142,7,10,2.503288148825461
143,7,11,2.5032881488254595
144,7,12,1.623035184136692
145,7,13,1.6230351841366926
146,7,14,1.6230351841366932
147,7,15,1.623035184136692
148,7,16,0.0
149,7,17,0.0
150,7,18,0.0
151,7,19,0.0
152,7,20,2.5032881488254604
153,7,21,2.5032881488254595
154,7,22,2.5032881488254617
155,7,23,2.503288148825461
156,8,9,0.0
157,8,10,0.0
158,8,11,0.0
159,8,12,1.6006692310689434
160,8,13,1.6006692310689443
161,8,14,1.600669231068944
162,8,15,1.600669231068945
163,8,16,2.507027717430751
164,8,17,2.507027717430747
165,8,18,2.507027717430748
166,8,19,2.50702771743075
167,8,20,0.0
168,8,21,0.0
169,8,22,0.0
170,8,23,0.0
171,9,10,0.0
172,9,11,0.0
173,9,12,1.6006692310689434
174,9,13,1.600669231068945
175,9,14,1.6006692310689434
176,9,15,1.6006692310689437
177,9,16,2.507027717430752
178,9,17,2.507027717430748
179,9,18,2.507027717430749
180,9,19,2.5070277174307503
181,9,20,0.0
182,9,21,0.0
183,9,22,0.0
184,9,23,0.0
185,10,11,0.0
186,10,12,1.600802064329884
187,10,13,1.6008020643298857
188,10,14,1.6008020643298833
189,10,15,1.6008020643298846
190,10,16,2.503926781962258
191,10,17,2.503926781962257
192,10,18,2.5039267819622584
193,10,19,2.5039267819622566
194,10,20,0.0
195,10,21,1.1582905450426315
196,10,22,0.0
197,10,23,0.0
198,11,12,1.600420985614856
199,11,13,1.6004209856148557
200,11,14,1.6004209856148564
201,11,15,1.600420985614856
202,11,16,2.506572374433763
203,11,17,2.50657237443376
204,11,18,2.506572374433762
205,11,19,2.506572374433764
206,11,20,0.0
207,11,21,0.0
208,11,22,0.0
209,11,23,0.0
210,12,13,0.0
211,12,14,0.0
212,12,15,0.0
213,12,16,1.625731279461618
214,12,17,1.6257312794616177
215,12,18,1.625731279461618
216,12,19,1.6257312794616166
217,12,20,1.6006692310689417
218,12,21,1.600669231068943
219,12,22,1.600669231068942
220,12,23,1.6006692310689428
221,13,14,0.0
222,13,15,0.0
223,13,16,1.6230351841366932
224,13,17,1.623035184136692
225,13,18,1.623035184136693
226,13,19,1.6230351841366932
227,13,20,1.6033240686934582
228,13,21,1.6008137658373185
229,13,22,1.6033240686934584
230,13,23,1.6008137658373185
231,14,15,0.0
232,14,16,1.623294331156708
233,14,17,1.6232943311567063
234,14,18,1.623294331156709
235,14,19,1.6232943311567076
236,14,20,1.6087237621064632
237,14,21,1.6087237621064634
238,14,22,1.6087237621064614
239,14,23,1.6087237621064636
240,15,16,1.6232943311567058
241,15,17,1.6232943311567052
242,15,18,1.6232943311567067
243,15,19,1.6232943311567058
244,15,20,1.608723762106465
245,15,21,1.6087237621064652
246,15,22,1.6087237621064627
247,15,23,1.608723762106465
248,16,17,0.0
249,16,18,0.0
250,16,19,0.0
251,16,20,2.503288148825461
252,16,21,2.50328814882546
253,16,22,2.5032881488254617
254,16,23,2.5032881488254617
255,17,18,0.0
256,17,19,0.0
257,17,20,2.5062347103022127
