,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.312191117121811
1,0,2,0,0,2.7965241086799817
2,0,3,0,0,4.779956163744467
3,0,4,0,0,5.111481686293936
4,0,5,0,0,4.030224213829325
5,0,6,0,0,4.413931146631534
6,0,7,0,0,3.9745533391070174
7,0,8,0,0,4.385810899003904
8,0,9,0,0,4.438281725461599
9,0,10,0,0,3.3401460190927517
10,0,11,0,0,3.340146019092756
11,0,12,0,0,4.586869932938443
12,0,13,0,0,4.511943861740326
13,0,14,0,0,4.415325451258861
14,0,15,0,0,4.4153254512588616
15,0,16,0,0,5.963868453349349
16,0,17,0,0,2.9088607997505913
17,0,18,0,0,4.697891732587051e-30
18,0,19,0,0,2.796524108679981
19,0,20,0,0,4.030224213829324
20,0,21,0,0,4.030224213829323
21,0,22,0,0,3.9745533391070147
22,0,23,0,0,4.438281725461601
23,0,24,0,0,4.4139311466315325
24,0,25,0,0,4.9609888211098445
25,0,26,0,0,3.0590170056986947
26,0,27,0,0,3.3401460190927557
27,0,28,0,0,3.9345286130687023
28,0,29,0,0,4.489972665334024
29,0,30,0,0,4.547412693543151
30,0,31,0,0,4.496006418152238
31,1,2,0,0,4.779956163744469
32,1,3,0,0,5.955766842313923
33,1,4,0,0,5.015733574508681
34,1,5,0,0,4.025777934648223
35,1,6,0,0,3.722887364666175
36,1,7,0,0,4.369262825743776
37,1,8,0,0,3.9931025092597188
38,1,9,0,0,4.387615004332099
39,1,10,0,0,3.38749451493504
40,1,11,0,0,3.3874945149350353
41,1,12,0,0,5.67147607496306
42,1,13,0,0,3.9547272291482063
43,1,14,0,0,4.366260727955023
44,1,15,0,0,4.366260727955023
45,1,16,0,0,4.7713249481960895
46,1,17,0,0,4.963614549656124
47,1,18,0,0,4.31219111712181
48,1,19,0,0,4.779956163744466
49,1,20,0,0,4.0257779346482225
50,1,21,0,0,4.025777934648222
51,1,22,0,0,4.369262825743776
52,1,23,0,0,4.3876150043321
53,1,24,0,0,3.7228873646661698
54,1,25,0,0,4.929564546380911
55,1,26,0,0,3.8098209940367638
56,1,27,0,0,3.3874945149350344
57,1,28,0,0,4.562229852231638
58,1,29,0,0,0.5509753390001014
59,1,30,0,0,2.6558760803647288
60,1,31,0,0,4.620903370222629
61,2,3,0,0,4.312191117121815
62,2,4,0,0,5.1114816862939385
63,2,5,0,0,5.152205705071856
64,2,6,0,0,4.960988821109849
65,2,7,0,0,3.9745533391070174
66,2,8,0,0,4.438281725461602
67,2,9,0,0,4.385810899003908
68,2,10,0,0,3.8138970513382766
69,2,11,0,0,3.8138970513382704
70,2,12,0,0,4.489972665334026
71,2,13,0,0,4.415325451258859
72,2,14,0,0,4.511943861740323
73,2,15,0,0,4.511943861740323
74,2,16,0,0,4.804490446379366
75,2,17,0,0,2.908860799750594
76,2,18,0,0,2.7965241086799826
77,2,19,0,0,8.982373848384362e-30
78,2,20,0,0,5.152205705071853
79,2,21,0,0,5.152205705071852
80,2,22,0,0,3.9745533391070147
81,2,23,0,0,4.385810899003909
82,2,24,0,0,4.960988821109846
83,2,25,0,0,4.4139311466315325
84,2,26,0,0,3.059017005698696
85,2,27,0,0,3.8138970513382704
86,2,28,0,0,3.934528613068704
87,2,29,0,0,4.586869932938447
88,2,30,0,0,4.496006418152239
89,2,31,0,0,4.547412693543155
90,3,4,0,0,5.015733574508682
91,3,5,0,0,5.1270311724265625
92,3,6,0,0,4.929564546380913
93,3,7,0,0,4.36926282574378
94,3,8,0,0,4.3876150043320985
95,3,9,0,0,3.993102509259718
96,3,10,0,0,3.058078254855882
97,3,11,0,0,3.0580782548558814
98,3,12,0,0,0.5509753390001025
99,3,13,0,0,4.366260727955033
100,3,14,0,0,3.9547272291482107
101,3,15,0,0,3.9547272291482107
102,3,16,0,0,2.907928313443292
103,3,17,0,0,4.963614549656124
104,3,18,0,0,4.779956163744467
105,3,19,0,0,4.312191117121812
106,3,20,0,0,5.127031172426561
107,3,21,0,0,5.127031172426558
108,3,22,0,0,4.369262825743781
109,3,23,0,0,3.9931025092597197
110,3,24,0,0,4.929564546380915
111,3,25,0,0,3.7228873646661715
112,3,26,0,0,3.809820994036767
113,3,27,0,0,3.0580782548558822
114,3,28,0,0,4.562229852231644
115,3,29,0,0,5.671476074963073
116,3,30,0,0,4.620903370222631
117,3,31,0,0,2.6558760803647323
118,4,5,0,0,3.4271913629575863
119,4,6,0,0,1.5927673488512981
120,4,7,0,0,3.7279207228307283
121,4,8,0,0,3.30436961623295
122,4,9,0,0,3.304369616232948
123,4,10,0,0,3.561981531490989
124,4,11,0,0,3.5619815314909924
125,4,12,0,0,4.474951682543726
126,4,13,0,0,4.680963497530552
127,4,14,0,0,4.680963497530557
128,4,15,0,0,4.680963497530561
129,4,16,0,0,3.9699604367351538
130,4,17,0,0,4.036548256281859
131,4,18,0,0,5.111481686293936
132,4,19,0,0,5.111481686293936
133,4,20,0,0,3.427191362957586
134,4,21,0,0,3.427191362957586
135,4,22,0,0,3.727920722830727
136,4,23,0,0,3.3043696162329494
137,4,24,0,0,1.5927673488512981
138,4,25,0,0,1.5927673488512981
139,4,26,0,0,2.6321135859287366
140,4,27,0,0,3.5619815314909906
141,4,28,0,0,4.043702052002007
142,4,29,0,0,4.474951682543731
143,4,30,0,0,3.365028020086228
144,4,31,0,0,3.3650280200862275
145,5,6,0,0,2.821039354451505
146,5,7,0,0,1.6102883152233074
147,5,8,0,0,2.7859033257791594
148,5,9,0,0,1.6224437958091222
149,5,10,0,0,3.5121722407010343
150,5,11,0,0,3.5121722407010365
151,5,12,0,0,4.5723646107439935
152,5,13,0,0,4.406058401764928
153,5,14,0,0,3.2928286051515627
154,5,15,0,0,3.292828605151563
155,5,16,0,0,4.032525380261714
