,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.9299593685538685
1,0,2,0,0,5.231714497865492
2,0,3,0,0,5.66886878871534
3,0,4,0,0,3.979618644950628
4,0,5,0,0,6.608656437700075e-30
5,0,6,0,0,5.878361940399387
6,0,7,0,0,5.92995936855387
7,0,8,0,0,4.044582886850807
8,0,9,0,0,5.111079316691234
9,0,10,0,0,3.7964758150387086
10,0,11,0,0,6.188071715214915
11,0,12,0,0,3.7964758150387103
12,0,13,0,0,6.224796185858137
13,0,14,0,0,6.681436221246167
14,0,15,0,0,3.7964758150387072
15,0,16,0,0,4.9244079870891175
16,0,17,0,0,4.6813944061943005
17,0,18,0,0,4.6813944061943005
18,0,19,0,0,3.9293735158749876
19,0,20,0,0,4.681394406194302
20,0,21,0,0,5.226528513496838
21,0,22,0,0,6.482242824742985
22,0,23,0,0,6.356906136452005
23,0,24,0,0,1.031275199014657
24,0,25,0,0,4.955884591382339
25,0,26,0,0,4.898277514833481
26,0,27,0,0,6.59380014144766
27,0,28,0,0,4.898277514833482
28,0,29,0,0,1.0312751990146574
29,0,30,0,0,6.593800141447659
30,0,31,0,0,4.898277514833481
31,1,2,0,0,5.668868788715341
32,1,3,0,0,5.2317144978654895
33,1,4,0,0,4.256799596599537
34,1,5,0,0,5.929959368553869
35,1,6,0,0,6.8616569843229085
36,1,7,0,0,1.158503362789147e-29
37,1,8,0,0,3.9738042281920873
38,1,9,0,0,6.188071715214912
39,1,10,0,0,6.2247961858581355
40,1,11,0,0,5.111079316691237
41,1,12,0,0,6.224796185858135
42,1,13,0,0,3.7964758150387037
43,1,14,0,0,2.5374279022529507
44,1,15,0,0,6.2247961858581355
45,1,16,0,0,5.47362697351123
46,1,17,0,0,8.024649683968027
47,1,18,0,0,8.024649683968024
48,1,19,0,0,4.809153456380332
49,1,20,0,0,8.024649683968027
50,1,21,0,0,6.356906136452003
51,1,22,0,0,4.206590801434206
52,1,23,0,0,5.226528513496836
53,1,24,0,0,6.781627994394349
54,1,25,0,0,6.593800141447656
55,1,26,0,0,4.4767320158634805
56,1,27,0,0,4.955884591382338
57,1,28,0,0,4.476732015863485
58,1,29,0,0,6.78162799439435
59,1,30,0,0,4.955884591382336
60,1,31,0,0,4.476732015863481
61,2,3,0,0,3.9413785473927065
62,2,4,0,0,6.786306782911729
63,2,5,0,0,5.231714497865493
64,2,6,0,0,4.12477243586264
65,2,7,0,0,5.668868788715342
66,2,8,0,0,6.506240667411429
67,2,9,0,0,4.082134108738771
68,2,10,0,0,6.182441973524457
69,2,11,0,0,3.8065203298929506
70,2,12,0,0,6.182441973524453
71,2,13,0,0,4.572081540187847
72,2,14,0,0,3.9746236982681054
73,2,15,0,0,6.182441973524456
74,2,16,0,0,4.682226819065547
75,2,17,0,0,4.938222072931326
76,2,18,0,0,4.9382220729313255
77,2,19,0,0,6.511124598764232
78,2,20,0,0,4.938222072931329
79,2,21,0,0,6.450506555163824
80,2,22,0,0,4.830020559949696
81,2,23,0,0,5.06865059590072
82,2,24,0,0,5.081059461632989
83,2,25,0,0,6.85841526680035
84,2,26,0,0,6.592351069565861
85,2,27,0,0,4.897928135849341
86,2,28,0,0,6.592351069565856
87,2,29,0,0,5.0810594616329885
88,2,30,0,0,4.897928135849341
89,2,31,0,0,6.5923510695658605
90,3,4,0,0,6.86741158382479
91,3,5,0,0,5.668868788715341
92,3,6,0,0,3.968641937506593
93,3,7,0,0,5.231714497865493
94,3,8,0,0,4.201250284208359
95,3,9,0,0,3.806520329892954
96,3,10,0,0,4.572081540187848
97,3,11,0,0,4.082134108738781
98,3,12,0,0,4.572081540187848
99,3,13,0,0,6.182441973524454
100,3,14,0,0,3.93373722696888
101,3,15,0,0,4.572081540187847
102,3,16,0,0,3.2151619402691374
103,3,17,0,0,4.890287966443959
104,3,18,0,0,4.890287966443954
105,3,19,0,0,6.469582391913112
106,3,20,0,0,4.890287966443955
107,3,21,0,0,5.06865059590072
108,3,22,0,0,2.7926093196833115
109,3,23,0,0,6.450506555163822
110,3,24,0,0,5.797630845311082
111,3,25,0,0,4.897928135849337
112,3,26,0,0,5.506100860364327
113,3,27,0,0,6.8584152668003515
114,3,28,0,0,5.506100860364324
115,3,29,0,0,5.797630845311078
116,3,30,0,0,6.85841526680035
117,3,31,0,0,5.506100860364328
118,4,5,0,0,3.9796186449506266
119,4,6,0,0,5.224245203176576
120,4,7,0,0,4.256799596599539
121,4,8,0,0,3.974647448861508
122,4,9,0,0,5.270290569853513
123,4,10,0,0,6.694429350658581
124,4,11,0,0,6.750098683575399
125,4,12,0,0,6.694429350658581
126,4,13,0,0,3.9412914293951506
127,4,14,0,0,4.418589036813631
128,4,15,0,0,6.69442935065858
129,4,16,0,0,6.441499730524654
130,4,17,0,0,4.952202703874751
131,4,18,0,0,4.95220270387475
132,4,19,0,0,1.8106302570581463
133,4,20,0,0,4.95220270387475
134,4,21,0,0,6.527972676367333
135,4,22,0,0,4.675349467919676
136,4,23,0,0,4.938489866592669
137,4,24,0,0,4.894780747339923
138,4,25,0,0,7.084755918692143
139,4,26,0,0,4.9057165486942065
140,4,27,0,0,4.549264639128517
141,4,28,0,0,4.905716548694208
142,4,29,0,0,4.894780747339924
143,4,30,0,0,4.549264639128515
144,4,31,0,0,4.905716548694207
145,5,6,0,0,5.878361940399387
146,5,7,0,0,5.929959368553869
147,5,8,0,0,4.0445828868508045
148,5,9,0,0,5.111079316691236
149,5,10,0,0,3.7964758150387112
150,5,11,0,0,6.188071715214917
151,5,12,0,0,3.7964758150387126
152,5,13,0,0,6.224796185858139
153,5,14,0,0,6.681436221246164
154,5,15,0,0,3.7964758150387086
155,5,16,0,0,4.9244079870891175
156,5,17,0,0,4.6813944061943005
157,5,18,0,0,4.6813944061943005
158,5,19,0,0,3.929373515874986
159,5,20,0,0,4.681394406194304
160,5,21,0,0,5.226528513496841
161,5,22,0,0,6.482242824742983
162,5,23,0,0,6.356906136452003
163,5,24,0,0,1.0312751990146578
164,5,25,0,0,4.9558845913823415
165,5,26,0,0,4.898277514833482
166,5,27,0,0,6.593800141447663
167,5,28,0,0,4.898277514833482
168,5,29,0,0,1.031275199014658
169,5,30,0,0,6.59380014144766
170,5,31,0,0,4.898277514833483
171,6,7,0,0,6.861656984322908
172,6,8,0,0,6.698751033212844
173,6,9,0,0,4.4159773737960855
174,6,10,0,0,3.9818603968043895
175,6,11,0,0,4.543152668337142
176,6,12,0,0,3.9818603968043877
177,6,13,0,0,5.9201202002022075
178,6,14,0,0,5.271776385281383
179,6,15,0,0,3.9818603968043913
180,6,16,0,0,6.30896080707729
181,6,17,0,0,1.8150307895102493
182,6,18,0,0,1.815030789510247
183,6,19,0,0,4.950160259203954
184,6,20,0,0,1.815030789510247
185,6,21,0,0,3.9300091135536506
186,6,22,0,0,4.928817068006946
187,6,23,0,0,4.671750072724291
188,6,24,0,0,6.58460121896504
189,6,25,0,0,4.250323989967125
190,6,26,0,0,7.068083832649788
191,6,27,0,0,6.3004564790641036
192,6,28,0,0,7.0680838326497835
193,6,29,0,0,6.584601218965038
194,6,30,0,0,6.300456479064099
195,6,31,0,0,7.068083832649787
196,7,8,0,0,3.973804228192091
197,7,9,0,0,6.188071715214916
198,7,10,0,0,6.22479618585814
199,7,11,0,0,5.111079316691239
200,7,12,0,0,6.224796185858137
201,7,13,0,0,3.7964758150387077
202,7,14,0,0,2.537427902252954
203,7,15,0,0,6.224796185858137
204,7,16,0,0,5.473626973511232
205,7,17,0,0,8.024649683968025
206,7,18,0,0,8.024649683968024
207,7,19,0,0,4.80915345638033
208,7,20,0,0,8.024649683968027
209,7,21,0,0,6.356906136452004
210,7,22,0,0,4.206590801434209
211,7,23,0,0,5.226528513496839
212,7,24,0,0,6.7816279943943485
213,7,25,0,0,6.5938001414476615
214,7,26,0,0,4.476732015863485
215,7,27,0,0,4.9558845913823415
216,7,28,0,0,4.476732015863488
217,7,29,0,0,6.781627994394349
218,7,30,0,0,4.95588459138234
219,7,31,0,0,4.476732015863485
220,8,9,0,0,6.71674662960976
221,8,10,0,0,4.6158999107934475
222,8,11,0,0,6.325219553820469
223,8,12,0,0,4.615899910793448
224,8,13,0,0,4.651168676691574
225,8,14,0,0,4.259019770911419
226,8,15,0,0,4.615899910793447
227,8,16,0,0,2.714783116016357
228,8,17,0,0,6.280002053663084
229,8,18,0,0,6.280002053663082
230,8,19,0,0,4.400877813132811
231,8,20,0,0,6.280002053663082
232,8,21,0,0,4.503484751037457
233,8,22,0,0,5.336241329173444
234,8,23,0,0,6.967333321138582
235,8,24,0,0,5.150064719117202
236,8,25,0,0,5.654201502785595
237,8,26,0,0,4.815244444361657
238,8,27,0,0,5.825616306626509
239,8,28,0,0,4.815244444361654
240,8,29,0,0,5.1500647191172035
241,8,30,0,0,5.825616306626506
242,8,31,0,0,4.8152444443616575
243,9,10,0,0,4.265335701809558
244,9,11,0,0,2.3467901293540114
245,9,12,0,0,4.265335701809556
246,9,13,0,0,3.865538792697557
247,9,14,0,0,5.717149756219438
248,9,15,0,0,4.265335701809559
249,9,16,0,0,5.752821756837342
250,9,17,0,0,4.503891275285826
251,9,18,0,0,4.503891275285824
252,9,19,0,0,6.977334600979575
253,9,20,0,0,4.503891275285825
254,9,21,0,0,4.4964521444385355
255,9,22,0,0,4.962561577004858
256,9,23,0,0,3.736783496475563
257,9,24,0,0,5.1586287523967185
258,9,25,0,0,4.354371867611929
259,9,26,0,0,4.00768116648374
260,9,27,0,0,3.8924493867685603
261,9,28,0,0,4.007681166483737
262,9,29,0,0,5.158628752396716
263,9,30,0,0,3.8924493867685586
264,9,31,0,0,4.00768116648374
265,10,11,0,0,3.8655387926975666
266,10,12,0,0,5.2315906295416e-30
267,10,13,0,0,4.923912181826545
268,10,14,0,0,6.715577460960947
269,10,15,0,0,2.8880676421274694e-30
270,10,16,0,0,5.161404973074584
271,10,17,0,0,4.403632599186623
