,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.598414412385335
1,0,2,0,0,5.5984144123853365
2,0,3,0,0,5.59716400983857
3,0,4,0,0,1.7495123079227037
4,0,5,0,0,5.597164009838573
5,0,6,0,0,5.597164009838571
6,0,7,0,0,1.7495123079227053
7,1,2,0,0,7.07796763016349e-30
8,1,3,0,0,3.509058399048728
9,1,4,0,0,3.506414611580143
10,1,5,0,0,3.509058399048729
11,1,6,0,0,3.5090583990487296
12,1,7,0,0,3.506414611580141
13,2,3,0,0,3.50905839904873
14,2,4,0,0,3.506414611580146
15,2,5,0,0,3.5090583990487327
16,2,6,0,0,3.5090583990487327
17,2,7,0,0,3.5064146115801433
18,3,4,0,0,3.5090583990487296
19,3,5,0,0,2.15010818991391e-30
20,3,6,0,0,6.0305885648922454e-30
21,3,7,0,0,3.5090583990487283
22,4,5,0,0,3.509058399048732
23,4,6,0,0,3.509058399048732
24,4,7,0,0,1.7512656068853536e-30
25,5,6,0,0,3.2414918363387305e-30
26,5,7,0,0,3.50905839904873
27,6,7,0,0,3.50905839904873
28,0,1,0,1,5.5471395170964115
29,0,2,0,1,5.547139517096412
30,0,3,0,1,5.037983867512034
31,0,4,0,1,4.3564241238561205
32,0,5,0,1,5.037983867512035
33,0,6,0,1,5.0379838675120325
34,0,7,0,1,4.3564241238561205
35,1,2,0,1,4.323422923403803
36,1,3,0,1,5.597196045840529
37,1,4,0,1,5.05217490816689
38,1,5,0,1,5.597196045840527
39,1,6,0,1,5.597196045840526
40,1,7,0,1,5.052174908166887
41,2,3,0,1,5.597196045840529
42,2,4,0,1,5.052174908166888
43,2,5,0,1,5.597196045840528
44,2,6,0,1,5.597196045840529
45,2,7,0,1,5.0521749081668865
46,3,4,0,1,5.552252954100872
47,3,5,0,1,1.7495090858990796
48,3,6,0,1,1.749509085899081
49,3,7,0,1,5.552252954100872
50,4,5,0,1,5.597196045840529
51,4,6,0,1,5.597196045840529
52,4,7,0,1,4.3234229234037995
53,5,6,0,1,1.7495090858990794
54,5,7,0,1,5.552252954100872
55,6,7,0,1,5.552252954100869
56,0,1,0,2,5.597164009838569
57,0,2,0,2,1.749512307922704
58,0,3,0,2,5.0867214270452425
59,0,4,0,2,5.598414412385336
60,0,5,0,2,2.7370096756202952e-30
61,0,6,0,2,1.7495123079227033
62,0,7,0,2,5.598414412385334
63,1,2,0,2,3.5064146115801424
64,1,3,0,2,1.7495123079227046
65,1,4,0,2,9.906475888760785e-30
66,1,5,0,2,5.598414412385332
67,1,6,0,2,3.5064146115801407
68,1,7,0,2,6.615026596894918e-30
69,2,3,0,2,1.7495123079227024
70,2,4,0,2,1.3969937116909948e-30
71,2,5,0,2,5.598414412385333
72,2,6,0,2,3.5064146115801442
73,2,7,0,2,1.9864449977004216e-30
74,3,4,0,2,3.509058399048729
75,3,5,0,2,5.597164009838568
76,3,6,0,2,3.5090583990487283
77,3,7,0,2,3.509058399048728
78,4,5,0,2,1.7495123079227022
79,4,6,0,2,2.3473934500353225e-30
80,4,7,0,2,3.506414611580144
81,5,6,0,2,3.5090583990487305
82,5,7,0,2,3.50905839904873
83,6,7,0,2,3.50905839904873
84,0,1,0,3,5.037983867512034
85,0,2,0,3,4.356424123856122
86,0,3,0,3,3.4392278222195904
87,0,4,0,3,5.5471395170964115
88,0,5,0,3,4.395018452860051
89,0,6,0,3,4.35642412385612
90,0,7,0,3,5.54713951709641
91,1,2,0,3,5.052174908166888
92,1,3,0,3,4.356216716855729
93,1,4,0,3,4.323422923403801
94,1,5,0,3,5.548992405284886
95,1,6,0,3,5.052174908166888
96,1,7,0,3,4.323422923403802
97,2,3,0,3,4.356216716855729
98,2,4,0,3,4.3234229234037995
99,2,5,0,3,5.548992405284885
100,2,6,0,3,5.052174908166887
101,2,7,0,3,4.3234229234037995
102,3,4,0,3,5.552252954100871
103,3,5,0,3,5.038570514066295
104,3,6,0,3,5.552252954100872
105,3,7,0,3,5.55225295410087
106,4,5,0,3,4.356216716855729
107,4,6,0,3,4.3234229234037995
108,4,7,0,3,5.052174908166886
109,5,6,0,3,5.5522529541008705
110,5,7,0,3,5.552252954100871
111,6,7,0,3,5.552252954100867
112,0,1,0,4,1.7495123079227064
113,0,2,0,4,5.597164009838574
114,0,3,0,4,6.807587492501236e-30
115,0,4,0,4,5.597164009838572
116,0,5,0,4,5.086721427045243
117,0,6,0,4,5.598414412385334
118,0,7,0,4,5.597164009838569
119,1,2,0,4,3.509058399048732
120,1,3,0,4,5.59841441238533
121,1,4,0,4,3.509058399048731
122,1,5,0,4,1.7495123079227046
123,1,6,0,4,1.2298737670348983e-29
124,1,7,0,4,3.5090583990487283
125,2,3,0,4,5.598414412385332
126,2,4,0,4,3.509058399048734
127,2,5,0,4,1.7495123079227017
