,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,1.3190745623033049
2,0,3,1.319074559890085
3,0,4,2.6233580154636544
4,0,5,2.623357980717214
5,0,6,2.712439824241243
6,0,7,2.712439813258797
7,0,8,2.9105263716658265
8,0,9,2.91052636298857
9,0,10,2.7386808658208683
10,0,11,2.7386808695965668
11,0,12,0.0
12,0,13,0.0
13,0,14,1.3190745623033049
14,0,15,1.3190745598900837
15,0,16,2.623358015463652
16,0,17,2.623357980717216
17,0,18,2.712439824241246
18,0,19,2.712439813258797
19,0,20,2.910526371665826
20,0,21,2.9105263629885707
21,0,22,2.7386808658208683
22,0,23,2.738680869596569
23,1,2,1.2228684557890317
24,1,3,1.222868460711899
25,1,4,2.691469762067296
26,1,5,2.6914697697425263
27,1,6,2.7049387683835464
28,1,7,2.7049387629735167
29,1,8,2.9084618272079314
30,1,9,2.908461828529477
31,1,10,2.742118740827992
32,1,11,2.7421187463747247
33,1,12,0.0
34,1,13,0.0
35,1,14,1.222868455789032
36,1,15,1.2228684607118971
37,1,16,2.691469762067297
38,1,17,2.6914697697425263
39,1,18,2.704938768383546
40,1,19,2.704938762973516
41,1,20,2.90846182720793
42,1,21,2.908461828529477
43,1,22,2.7421187408279954
44,1,23,2.7421187463747287
45,2,3,0.0
46,2,4,2.700258010051772
47,2,5,2.7002580230951674
48,2,6,2.712229726406693
49,2,7,2.712229727290849
50,2,8,2.7881699839677534
51,2,9,2.7881699728689404
52,2,10,2.880514273646878
53,2,11,2.8805142428775885
54,2,12,1.1870830492736058
55,2,13,1.1870830423687442
56,2,14,0.0
57,2,15,0.0
58,2,16,2.7002580100517743
59,2,17,2.700258023095168
60,2,18,2.712229726406691
61,2,19,2.71222972729085
62,2,20,2.788169983967753
63,2,21,2.788169972868939
64,2,22,2.880514273646878
65,2,23,2.880514242877587
66,3,4,2.7110548970991397
67,3,5,2.7110548946101645
68,3,6,2.5981927934334887
69,3,7,2.598192828914563
70,3,8,2.63349478609942
71,3,9,2.6334948073582765
72,3,10,2.902674782714348
73,3,11,2.902674793465384
74,3,12,1.266583223738848
75,3,13,1.2665832260247007
76,3,14,0.0
77,3,15,0.0
78,3,16,2.71105489709914
79,3,17,2.7110548946101667
80,3,18,2.5981927934334896
81,3,19,2.59819282891456
82,3,20,2.6334947860994213
83,3,21,2.6334948073582805
84,3,22,2.902674782714349
85,3,23,2.9026747934653843
86,4,5,0.0
87,4,6,1.5414353026397272
88,4,7,1.5414352901093653
89,4,8,1.0801231996769791
90,4,9,1.0801232001960464
91,4,10,0.8177183482115955
92,4,11,0.8177183606653342
93,4,12,2.721932005335832
