,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.5588955748371208e-30
1,0,2,0,0,1.4217843147634985e-30
2,0,3,0,0,5.928627384398636
3,0,4,0,0,5.249253323893
4,0,5,0,0,3.3236804728554423
5,0,6,0,0,3.3236804728554414
6,0,7,0,0,4.650948315189466
7,0,8,0,0,6.2251016531240094e-30
8,0,9,0,0,5.928627384398634
9,0,10,0,0,1.1796945377565909e-29
10,0,11,0,0,5.928915018611345
11,0,12,0,0,4.650948315189469
12,0,13,0,0,5.249253323892999
13,0,14,0,0,3.3236804728554423
14,0,15,0,0,5.249253323893001
15,1,2,0,0,1.81485494411024e-30
16,1,3,0,0,5.928627384398638
17,1,4,0,0,5.249253323893
18,1,5,0,0,3.3236804728554428
19,1,6,0,0,3.3236804728554428
20,1,7,0,0,4.650948315189468
21,1,8,0,0,7.135634641619522e-30
22,1,9,0,0,5.928627384398638
23,1,10,0,0,1.3445588099172156e-29
24,1,11,0,0,5.928915018611345
25,1,12,0,0,4.650948315189469
26,1,13,0,0,5.249253323892998
27,1,14,0,0,3.323680472855444
28,1,15,0,0,5.249253323893001
29,2,3,0,0,5.928627384398637
30,2,4,0,0,5.249253323892999
31,2,5,0,0,3.3236804728554428
32,2,6,0,0,3.3236804728554428
33,2,7,0,0,4.650948315189467
34,2,8,0,0,5.2461267499386196e-30
35,2,9,0,0,5.928627384398636
36,2,10,0,0,8.909982318270654e-30
37,2,11,0,0,5.928915018611345
38,2,12,0,0,4.650948315189468
39,2,13,0,0,5.249253323892999
40,2,14,0,0,3.3236804728554428
41,2,15,0,0,5.249253323893
42,3,4,0,0,3.3285289182014264
43,3,5,0,0,4.650948315189466
44,3,6,0,0,4.650948315189467
45,3,7,0,0,5.259345020722751
46,3,8,0,0,5.928627384398639
47,3,9,0,0,6.0994106504620655e-30
48,3,10,0,0,5.928627384398637
49,3,11,0,0,5.925699099112785
50,3,12,0,0,5.259345020722752
51,3,13,0,0,3.3285289182014237
52,3,14,0,0,4.650948315189465
53,3,15,0,0,3.3285289182014255
54,4,5,0,0,5.928915018611345
55,4,6,0,0,5.928915018611345
56,4,7,0,0,5.925699099112788
57,4,8,0,0,5.249253323893001
58,4,9,0,0,3.328528918201425
59,4,10,0,0,5.249253323892998
60,4,11,0,0,4.647763654163332
61,4,12,0,0,5.925699099112787
62,4,13,0,0,1.8604308178240298e-30
63,4,14,0,0,5.928915018611344
64,4,15,0,0,2.8384297158865614e-30
65,5,6,0,0,1.0758464436921246e-30
66,5,7,0,0,5.928627384398636
67,5,8,0,0,3.3236804728554423
68,5,9,0,0,4.650948315189466
69,5,10,0,0,3.3236804728554445
70,5,11,0,0,5.249253323892998
71,5,12,0,0,5.928627384398639
72,5,13,0,0,5.928915018611345
73,5,14,0,0,2.797590608509479e-30
74,5,15,0,0,5.928915018611346
75,6,7,0,0,5.928627384398636
76,6,8,0,0,3.323680472855443
77,6,9,0,0,4.650948315189467
78,6,10,0,0,3.3236804728554454
79,6,11,0,0,5.249253323892998
80,6,12,0,0,5.928627384398639
81,6,13,0,0,5.928915018611345
82,6,14,0,0,3.637785480266647e-30
83,6,15,0,0,5.928915018611346
84,7,8,0,0,4.650948315189467
85,7,9,0,0,5.259345020722751
86,7,10,0,0,4.650948315189468
87,7,11,0,0,3.328528918201423
88,7,12,0,0,1.5022066809377348e-29
89,7,13,0,0,5.925699099112787
90,7,14,0,0,5.928627384398634
91,7,15,0,0,5.925699099112789
92,8,9,0,0,5.928627384398639
93,8,10,0,0,5.493580934883618e-30
94,8,11,0,0,5.928915018611346
95,8,12,0,0,4.650948315189468
96,8,13,0,0,5.249253323892999
97,8,14,0,0,3.323680472855443
98,8,15,0,0,5.249253323893001
99,9,10,0,0,5.928627384398637
100,9,11,0,0,5.925699099112784
101,9,12,0,0,5.259345020722754
102,9,13,0,0,3.3285289182014233
103,9,14,0,0,4.650948315189465
104,9,15,0,0,3.3285289182014246
105,10,11,0,0,5.928915018611345
106,10,12,0,0,4.65094831518947
107,10,13,0,0,5.249253323892998
108,10,14,0,0,3.323680472855446
109,10,15,0,0,5.249253323892998
110,11,12,0,0,3.3285289182014277
111,11,13,0,0,4.647763654163332
