,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,2.8063128771279287
4,0,5,2.806312877127929
5,0,6,2.806312877127929
6,0,7,2.806312877127929
7,0,8,2.2396513713519925
8,0,9,2.2396513713519925
9,0,10,2.239651371351989
10,0,11,2.239651371351993
11,0,12,3.259377877600566
12,0,13,3.2593778776005653
13,0,14,3.259377877600565
14,0,15,3.259377877600564
15,0,16,0.0
16,0,17,0.0
17,0,18,0.0
18,0,19,0.0
19,0,20,2.806312877127929
20,0,21,2.806312877127929
21,0,22,2.8063128771279287
22,0,23,2.80631287712793
23,0,24,2.2396513713519903
24,0,25,2.239651371351993
25,0,26,2.239651371351992
26,0,27,2.2396513713519943
27,0,28,3.259377877600566
28,0,29,3.2593778776005684
29,0,30,3.259377877600566
30,0,31,3.2593778776005697
31,1,2,0.0
32,1,3,0.0
33,1,4,2.78718798593155
34,1,5,2.7871879859315527
35,1,6,2.7871879859315527
36,1,7,2.7871879859315536
37,1,8,2.253913123409127
38,1,9,2.2539131234091268
39,1,10,2.2539131234091294
40,1,11,2.253913123409129
41,1,12,3.303159874683601
42,1,13,3.3031598746836024
43,1,14,3.3031598746836
44,1,15,3.3031598746836006
45,1,16,0.0
46,1,17,0.0
47,1,18,0.0
48,1,19,0.0
49,1,20,2.7871879859315536
50,1,21,2.787187985931551
51,1,22,2.787187985931553
52,1,23,2.787187985931556
53,1,24,2.2539131234091285
54,1,25,2.253913123409128
55,1,26,2.253913123409127
56,1,27,2.2539131234091268
57,1,28,3.303159874683599
58,1,29,3.303159874683601
59,1,30,3.3031598746836
60,1,31,3.3031598746836006
61,2,3,0.0
62,2,4,2.78718798593155
63,2,5,2.7871879859315527
64,2,6,2.787187985931552
65,2,7,2.7871879859315545
66,2,8,2.2539131234091303
67,2,9,2.2539131234091294
68,2,10,2.253913123409132
69,2,11,2.253913123409132
70,2,12,3.3031598746836006
71,2,13,3.303159874683603
72,2,14,3.3031598746836
73,2,15,3.3031598746836
74,2,16,0.0
75,2,17,0.0
76,2,18,0.0
77,2,19,0.0
78,2,20,2.787187985931553
79,2,21,2.787187985931552
80,2,22,2.7871879859315523
81,2,23,2.787187985931556
82,2,24,2.2539131234091325
83,2,25,2.253913123409131
84,2,26,2.25391312340913
85,2,27,2.2539131234091303
86,2,28,3.3031598746836
87,2,29,3.303159874683601
88,2,30,3.303159874683601
89,2,31,3.303159874683601
90,3,4,2.806312877127928
91,3,5,2.806312877127929
92,3,6,2.8063128771279287
93,3,7,2.8063128771279287
94,3,8,2.239651371351994
95,3,9,2.239651371351995
96,3,10,2.239651371351992
97,3,11,2.2396513713519948
98,3,12,3.25937787760057
99,3,13,3.259377877600569
100,3,14,3.259377877600568
101,3,15,3.259377877600567
102,3,16,0.0
103,3,17,0.0
104,3,18,0.0
105,3,19,0.0
106,3,20,2.806312877127928
107,3,21,2.806312877127929
108,3,22,2.806312877127928
109,3,23,2.806312877127929
110,3,24,2.2396513713519925
111,3,25,2.239651371351995
112,3,26,2.239651371351994
113,3,27,2.2396513713519965
114,3,28,3.25937787760057
115,3,29,3.2593778776005715
116,3,30,3.25937787760057
117,3,31,3.2593778776005724
118,4,5,0.0
119,4,6,0.0
120,4,7,0.0
121,4,8,3.4086074242399462
122,4,9,3.4086074242399467
123,4,10,3.4086074242399467
124,4,11,3.4086074242399462
125,4,12,2.432838468004254
126,4,13,2.4328384680042543
127,4,14,2.432838468004256
128,4,15,2.4328384680042543
129,4,16,2.7950555625529963
130,4,17,2.7950555625529963
131,4,18,2.7950555625529963
132,4,19,2.795055562552994
133,4,20,0.0
134,4,21,0.0
135,4,22,0.0
136,4,23,0.0
137,4,24,3.4086074242399493
138,4,25,3.4086074242399493
139,4,26,3.4086074242399453
140,4,27,3.408607424239945
141,4,28,2.432838468004256
142,4,29,2.432838468004256
143,4,30,2.4328384680042547
144,4,31,2.4328384680042525
145,5,6,0.0
146,5,7,0.0
147,5,8,3.408607424239949
148,5,9,3.408607424239949
149,5,10,3.4086074242399502
150,5,11,3.4086074242399493
151,5,12,2.432838468004256
152,5,13,2.432838468004256
153,5,14,2.4328384680042574
154,5,15,2.432838468004256
155,5,16,2.795055562552996
156,5,17,2.795055562552995
157,5,18,2.795055562552995
158,5,19,2.7950555625529927
159,5,20,0.0
160,5,21,0.0
161,5,22,0.0
162,5,23,0.0
163,5,24,3.4086074242399524
164,5,25,3.408607424239952
165,5,26,3.408607424239949
166,5,27,3.408607424239948
167,5,28,2.432838468004258
168,5,29,2.4328384680042574
169,5,30,2.432838468004256
170,5,31,2.432838468004254
171,6,7,0.0
172,6,8,3.4086074242399467
173,6,9,3.4086074242399467
174,6,10,3.408607424239948
175,6,11,3.408607424239947
176,6,12,2.4328384680042534
177,6,13,2.4328384680042543
178,6,14,2.432838468004256
179,6,15,2.4328384680042547
180,6,16,2.795055562552998
181,6,17,2.795055562552997
182,6,18,2.7950555625529976
183,6,19,2.795055562552996
184,6,20,0.0
185,6,21,0.0
186,6,22,0.0
187,6,23,0.0
188,6,24,3.40860742423995
189,6,25,3.4086074242399493
190,6,26,3.408607424239946
191,6,27,3.408607424239945
192,6,28,2.4328384680042565
193,6,29,2.432838468004256
194,6,30,2.4328384680042534
195,6,31,2.432838468004252
196,7,8,3.40860742423995
197,7,9,3.4086074242399507
198,7,10,3.408607424239952
199,7,11,3.40860742423995
200,7,12,2.4328384680042543
201,7,13,2.4328384680042547
202,7,14,2.4328384680042574
203,7,15,2.432838468004256
204,7,16,2.7950555625529963
205,7,17,2.795055562552996
206,7,18,2.7950555625529963
207,7,19,2.795055562552995
208,7,20,0.0
209,7,21,0.0
210,7,22,0.0
211,7,23,0.0
212,7,24,3.4086074242399533
213,7,25,3.4086074242399533
214,7,26,3.408607424239948
215,7,27,3.408607424239949
216,7,28,2.4328384680042574
217,7,29,2.432838468004257
218,7,30,2.4328384680042547
219,7,31,2.4328384680042534
220,8,9,0.0
221,8,10,0.0
222,8,11,0.0
223,8,12,2.956847081420076
224,8,13,2.956847081420074
225,8,14,2.956847081420072
226,8,15,2.956847081420072
227,8,16,2.255116308666286
228,8,17,2.255116308666285
229,8,18,2.255116308666288
230,8,19,2.2551163086662847
231,8,20,3.459732233709008
232,8,21,3.4597322337090053
233,8,22,3.4597322337090084
234,8,23,3.459732233709006
235,8,24,0.0
236,8,25,0.0
237,8,26,0.0
238,8,27,0.0
239,8,28,2.956847081420072
240,8,29,2.9568470814200705
241,8,30,2.956847081420072
242,8,31,2.956847081420072
243,9,10,0.0
244,9,11,0.0
245,9,12,2.93480566824141
246,9,13,2.9348056682414096
247,9,14,2.934805668241407
248,9,15,2.934805668241407
249,9,16,2.23083905739029
250,9,17,2.230839057390292
251,9,18,2.230839057390291
252,9,19,2.2308390573902908
253,9,20,3.4064755442417027
