,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.6806284354854566
1,0,2,0,0,3.693910631320873
2,0,3,0,0,3.7274188480047057
3,0,4,0,0,5.781551339632212
4,0,5,0,0,2.305443784571639
5,0,6,0,0,3.3178835882334963
6,0,7,0,0,4.610231779034385
7,0,8,0,0,5.122870454842373
8,0,9,0,0,3.741367257151835
9,0,10,0,0,4.092694352665981
10,0,11,0,0,5.122870454842368
11,0,12,0,0,3.312516024565044
12,0,13,0,0,3.436021353118348
13,0,14,0,0,4.546558995239819
14,0,15,0,0,4.664839485048476
15,0,16,0,0,3.8821728588688576e-30
16,0,17,0,0,8.402427099602379e-30
17,0,18,0,0,3.727418848004704
18,0,19,0,0,2.4775367069894534e-29
19,0,20,0,0,2.305443784571637
20,0,21,0,0,5.7252916281325685
21,0,22,0,0,4.6102317790343825
22,0,23,0,0,3.317883588233497
23,0,24,0,0,4.092694352665981
24,0,25,0,0,4.092694352665979
25,0,26,0,0,4.092694352665977
26,0,27,0,0,5.122870454842369
27,0,28,0,0,4.660196232658422
28,0,29,0,0,4.660196232658422
29,0,30,0,0,4.5465589952398195
30,0,31,0,0,4.546558995239814
31,1,2,0,0,5.721909402203956
32,1,3,0,0,3.724970869821773
33,1,4,0,0,5.655342527970332
34,1,5,0,0,4.713953954115911
35,1,6,0,0,4.432121615410045
36,1,7,0,0,2.3172619224609807
37,1,8,0,0,4.276041943316514
38,1,9,0,0,3.2362539650314184
39,1,10,0,0,3.5797315960080613
40,1,11,0,0,4.276041943316514
41,1,12,0,0,3.373332830281135
42,1,13,0,0,5.508780986014076
43,1,14,0,0,5.628348119576136
44,1,15,0,0,3.6684133635094867
45,1,16,0,0,3.680628435485458
46,1,17,0,0,3.680628435485457
47,1,18,0,0,3.7249708698217714
48,1,19,0,0,3.680628435485457
49,1,20,0,0,4.713953954115909
50,1,21,0,0,6.027843776869017
51,1,22,0,0,2.317261922460981
52,1,23,0,0,4.432121615410043
53,1,24,0,0,3.5797315960080605
54,1,25,0,0,3.579731596008059
55,1,26,0,0,3.579731596008061
56,1,27,0,0,4.276041943316511
57,1,28,0,0,4.5569553719298
58,1,29,0,0,4.556955371929798
59,1,30,0,0,5.628348119576137
60,1,31,0,0,5.628348119576137
61,2,3,0,0,5.332666364805762
62,2,4,0,0,4.7192222126148335
63,2,5,0,0,3.454990029184792
64,2,6,0,0,2.565931292354462
65,2,7,0,0,5.845344053794134
66,2,8,0,0,4.324017895394062
67,2,9,0,0,4.360370961150889
68,2,10,0,0,5.473904808153555
69,2,11,0,0,4.324017895394062
70,2,12,0,0,4.687234499670481
71,2,13,0,0,4.4938693860206325
72,2,14,0,0,3.550324924093354
73,2,15,0,0,4.89336822356567
74,2,16,0,0,3.6939106313208767
75,2,17,0,0,3.693910631320878
76,2,18,0,0,5.33266636480576
77,2,19,0,0,3.6939106313208767
78,2,20,0,0,3.454990029184795
79,2,21,0,0,4.6798718856917265
80,2,22,0,0,5.845344053794136
81,2,23,0,0,2.5659312923544633
82,2,24,0,0,5.473904808153556
83,2,25,0,0,5.473904808153555
84,2,26,0,0,5.47390480815356
85,2,27,0,0,4.324017895394061
86,2,28,0,0,3.211332542440812
87,2,29,0,0,3.2113325424408115
88,2,30,0,0,3.550324924093353
89,2,31,0,0,3.5503249240933497
90,3,4,0,0,6.068666289137056
91,3,5,0,0,4.376779989775746
92,3,6,0,0,5.21971436720393
93,3,7,0,0,4.783516772941258
94,3,8,0,0,6.904850588089162
95,3,9,0,0,3.610647665501967
96,3,10,0,0,4.0502165258001055
97,3,11,0,0,6.90485058808916
98,3,12,0,0,5.504009896588201
99,3,13,0,0,3.2591639949001214
100,3,14,0,0,6.99956699501236
101,3,15,0,0,5.174381583003777
102,3,16,0,0,3.727418848004706
103,3,17,0,0,3.727418848004705
104,3,18,0,0,4.047058724789465e-30
105,3,19,0,0,3.727418848004707
106,3,20,0,0,4.376779989775743
107,3,21,0,0,5.697590366392832
108,3,22,0,0,4.783516772941257
109,3,23,0,0,5.219714367203933
110,3,24,0,0,4.050216525800107
111,3,25,0,0,4.050216525800107
112,3,26,0,0,4.050216525800106
113,3,27,0,0,6.90485058808916
114,3,28,0,0,5.122446300687462
115,3,29,0,0,5.122446300687462
116,3,30,0,0,6.999566995012361
117,3,31,0,0,6.999566995012358
118,4,5,0,0,5.81919792573844
119,4,6,0,0,5.3322596028729725
120,4,7,0,0,5.3377072167647235
121,4,8,0,0,4.389129003900891
122,4,9,0,0,4.142648552315923
123,4,10,0,0,7.1345648749679125
124,4,11,0,0,4.389129003900892
125,4,12,0,0,4.338502167716417
126,4,13,0,0,3.744091643785577
127,4,14,0,0,4.09466075545777
128,4,15,0,0,5.874906262676482
129,4,16,0,0,5.781551339632212
130,4,17,0,0,5.78155133963221
131,4,18,0,0,6.068666289137054
132,4,19,0,0,5.781551339632213
133,4,20,0,0,5.81919792573844
134,4,21,0,0,5.483659039870297
135,4,22,0,0,5.337707216764721
136,4,23,0,0,5.332259602872971
137,4,24,0,0,7.134564874967912
138,4,25,0,0,7.13456487496791
139,4,26,0,0,7.134564874967917
140,4,27,0,0,4.389129003900892
141,4,28,0,0,5.236748302983941
142,4,29,0,0,5.236748302983941
143,4,30,0,0,4.0946607554577685
144,4,31,0,0,4.094660755457775
