,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.636244048222103e-16
1,0,2,0,0,5.942738466339534
2,0,3,0,0,2.3333351086284067
3,0,4,0,0,6.51516544027834
4,0,5,0,0,4.235632225582554
5,0,6,0,0,4.482292611265782
6,0,7,0,0,3.646139632745365
7,0,8,0,0,4.319499979577791
8,0,9,0,0,5.731775396865996
9,0,10,0,0,3.6067082199593377
10,0,11,0,0,3.606708195461603
11,0,12,0,0,4.411144599807997
12,0,13,0,0,5.950734893140453
13,0,14,0,0,1.9887056583395732
14,0,15,0,0,5.177417104335026
15,1,2,0,0,5.942738457255288
16,1,3,0,0,2.3333351027507074
17,1,4,0,0,6.51516542797425
18,1,5,0,0,4.235632241329466
19,1,6,0,0,4.48229260285381
20,1,7,0,0,3.6461396275926536
21,1,8,0,0,4.319499988681522
22,1,9,0,0,5.731775373420258
23,1,10,0,0,3.606708212148602
24,1,11,0,0,3.606708187650867
25,1,12,0,0,4.411144599417294
26,1,13,0,0,5.950734886638361
27,1,14,0,0,1.9887056571293757
28,1,15,0,0,5.17741710097645
29,2,3,0,0,6.150200606694288
30,2,4,0,0,5.335103347614255
31,2,5,0,0,8.058049322810756
32,2,6,0,0,3.5630795767796086
33,2,7,0,0,7.562771709148773
34,2,8,0,0,7.034588764907969
35,2,9,0,0,3.516576766982903
36,2,10,0,0,5.743054229056143
37,2,11,0,0,5.7430542474044906
38,2,12,0,0,5.68909387793904
39,2,13,0,0,1.9110927184219655
40,2,14,0,0,5.892663510990063
41,2,15,0,0,5.2840354940586565
42,3,4,0,0,8.00272879252684
43,3,5,0,0,4.389370073079179
44,3,6,0,0,3.5279742325366956
45,3,7,0,0,3.6700296024561276
46,3,8,0,0,5.301597122793632
47,3,9,0,0,4.311105783853279
48,3,10,0,0,4.634323446909349
49,3,11,0,0,4.634323448872698
50,3,12,0,0,5.8363367185570265
51,3,13,0,0,5.177417098238102
52,3,14,0,0,1.7578882117035295
53,3,15,0,0,5.950734885618764
54,4,5,0,0,4.78297810393456
55,4,6,0,0,7.021714904554877
56,4,7,0,0,4.933020045704722
57,4,8,0,0,4.245390521175366
58,4,9,0,0,6.961455967727844
59,4,10,0,0,6.3059209259013755
60,4,11,0,0,6.305920903616145
61,4,12,0,0,3.2172954390524
62,4,13,0,0,5.2102739954856565
63,4,14,0,0,7.235881613493504
64,4,15,0,0,4.315392600870491
65,5,6,0,0,5.891689892006316
66,5,7,0,0,3.909607824618623
67,5,8,0,0,3.0081623971862768
68,5,9,0,0,8.059318646704634
69,5,10,0,0,4.830803187347279
70,5,11,0,0,4.8308031759765155
71,5,12,0,0,2.340041790835222
72,5,13,0,0,6.879326381039025
73,5,14,0,0,4.254963585159172
74,5,15,0,0,5.42443137916712
75,6,7,0,0,5.6887856809885164
76,6,8,0,0,6.313399381357765
77,6,9,0,0,4.086295352789569
78,6,10,0,0,4.156634848914208
79,6,11,0,0,4.156634873750625
80,6,12,0,0,7.172987246690075
81,6,13,0,0,2.4499012392169046
82,6,14,0,0,3.443605716122964
83,6,15,0,0,5.485205127857325
84,7,8,0,0,4.299731156593211
85,7,9,0,0,5.041529916111659
86,7,10,0,0,2.61341059035434
87,7,11,0,0,2.6134105822774094
88,7,12,0,0,5.228986861758509
89,7,13,0,0,6.618395514576342
90,7,14,0,0,3.5778124428963287
91,7,15,0,0,3.2253613537857926
92,8,9,0,0,7.306701011069419
93,8,10,0,0,5.795511340646825
94,8,11,0,0,5.795511341300365
95,8,12,0,0,4.053598905960137
96,8,13,0,0,7.435482552171338
97,8,14,0,0,5.215099456341669
98,8,15,0,0,5.519752451783122
99,9,10,0,0,5.09062683342276
100,9,11,0,0,5.0906268776203065
101,9,12,0,0,7.39945484958399
102,9,13,0,0,4.0356333295221365
103,9,14,0,0,4.972553137586401
104,9,15,0,0,3.626337173983693
105,10,11,0,0,1.4991288472213088e-15
106,10,12,0,0,5.698776736237096
107,10,13,0,0,5.0620932753907875
108,10,14,0,0,4.21353521156957
109,10,15,0,0,4.300216011793451
110,11,12,0,0,5.698776705202446
111,11,13,0,0,5.06209331544654
112,11,14,0,0,4.213535209057825
113,11,15,0,0,4.300216065090346
114,12,13,0,0,5.8434376113406525
115,12,14,0,0,5.657838862212771
116,12,15,0,0,5.758097476650872
117,13,14,0,0,4.692348060652445
118,13,15,0,0,4.951503375108726
119,14,15,0,0,5.004687399938809
120,0,1,0,1,5.063437228030011
121,0,2,0,1,4.823337031110584
122,0,3,0,1,5.539149595632909
123,0,4,0,1,3.4771527354123446
124,0,5,0,1,4.13969613262492
125,0,6,0,1,5.632832411681062
126,0,7,0,1,6.889188085967075
127,0,8,0,1,3.2383215569982964
128,0,9,0,1,7.230591515521099
129,0,10,0,1,7.048241268727562
130,0,11,0,1,7.048241219737125
131,0,12,0,1,2.5842131464045157
132,0,13,0,1,5.553750802421985
133,0,14,0,1,5.6487850713000896
134,0,15,0,1,6.886967287783719
135,1,2,0,1,4.82333701679568
136,1,3,0,1,5.539149585682267
137,1,4,0,1,3.4771527169285124
138,1,5,0,1,4.139696127789904
139,1,6,0,1,5.632832407822329
140,1,7,0,1,6.889188076448917
141,1,8,0,1,3.2383215607761375
142,1,9,0,1,7.230591524278749
143,1,10,0,1,7.04824125449271
144,1,11,0,1,7.048241203216217
145,1,12,0,1,2.5842131309450935
146,1,13,0,1,5.55375078012877
147,1,14,0,1,5.648785061546012
148,1,15,0,1,6.886967284478108
149,2,3,0,1,6.204119555839973
150,2,4,0,1,4.437931364178442
151,2,5,0,1,6.892867148787256
152,2,6,0,1,5.867169525908172
153,2,7,0,1,4.142367487580883
154,2,8,0,1,6.98103998583815
155,2,9,0,1,4.3032102319941306
156,2,10,0,1,4.364417737306623
157,2,11,0,1,4.364417763122302
158,2,12,0,1,5.7881821330826
159,2,13,0,1,4.950086081967351
160,2,14,0,1,4.440493679303621
161,2,15,0,1,3.1402001552004384
162,3,4,0,1,3.603661626718087
163,3,5,0,1,4.468367783378896
164,3,6,0,1,6.7520481120019555
165,3,7,0,1,5.852473916259121
166,3,8,0,1,3.662802737007794
167,3,9,0,1,5.847432910561425
168,3,10,0,1,7.6876131628935225
169,3,11,0,1,7.687613128139145
170,3,12,0,1,2.9592181448589394
171,3,13,0,1,6.886967283554654
172,3,14,0,1,5.953377619059418
173,3,15,0,1,5.553750777318988
174,4,5,0,1,5.477690708532344
175,4,6,0,1,2.2496338372370346
176,4,7,0,1,4.990322371123685
177,4,8,0,1,6.960785772875448
178,4,9,0,1,4.0704619604335885
179,4,10,0,1,4.18652397275606
180,4,11,0,1,4.186523996638436
181,4,12,0,1,6.135342649886181
182,4,13,0,1,3.5037890258584796
183,4,14,0,1,2.4084010575195363
184,4,15,0,1,5.295793049330064
185,5,6,0,1,4.9771803676118
186,5,7,0,1,4.881804577089171
187,5,8,0,1,2.6074516519282973
188,5,9,0,1,7.240429278903092
189,5,10,0,1,5.8340220134173455
190,5,11,0,1,5.834022005586415
