,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.7980948638316105
1,0,2,0,0,4.7980948638316105
2,0,3,0,0,4.314802908176679
3,0,4,0,0,3.0135376657684785
4,0,5,0,0,4.798094863831607
5,0,6,0,0,4.798094863831607
6,0,7,0,0,4.798094863831607
7,0,8,0,0,4.321262876046738
8,0,9,0,0,5.089644174239014
9,0,10,0,0,4.321262876046738
10,0,11,0,0,5.089644174239016
11,0,12,0,0,2.89460480037536
12,0,13,0,0,5.089644174239017
13,0,14,0,0,2.89460480037536
14,0,15,0,0,5.089644174239017
15,0,16,0,0,5.184390082749914
16,0,17,0,0,5.1843900827499185
17,1,2,0,0,1.0530518043801676e-30
18,1,3,0,0,4.804143036435132
19,1,4,0,0,4.782043020567056
20,1,5,0,0,3.7401439894391806
21,1,6,0,0,1.984226676573568e-29
22,1,7,0,0,3.7401439894391797
23,1,8,0,0,5.860482741372096
24,1,9,0,0,5.691475747732323
25,1,10,0,0,2.9000078525224384
26,1,11,0,0,5.691475747732322
27,1,12,0,0,5.66618058343859
28,1,13,0,0,5.691475747732322
29,1,14,0,0,5.666180583438589
30,1,15,0,0,5.691475747732324
31,1,16,0,0,5.193747868476836
32,1,17,0,0,2.124138895098362
33,2,3,0,0,4.804143036435132
34,2,4,0,0,4.782043020567056
35,2,5,0,0,3.7401439894391815
36,2,6,0,0,2.085768706623279e-29
37,2,7,0,0,3.7401439894391797
38,2,8,0,0,5.860482741372097
39,2,9,0,0,5.691475747732324
40,2,10,0,0,2.9000078525224384
41,2,11,0,0,5.691475747732323
42,2,12,0,0,5.6661805834385905
43,2,13,0,0,5.691475747732323
44,2,14,0,0,5.66618058343859
45,2,15,0,0,5.691475747732324
46,2,16,0,0,5.193747868476837
47,2,17,0,0,2.1241388950983624
48,3,4,0,0,4.780418364877718
49,3,5,0,0,2.76271618705739
50,3,6,0,0,4.804143036435129
51,3,7,0,0,2.76271618705739
52,3,8,0,0,2.894555990086248
53,3,9,0,0,2.8875882650336435
54,3,10,0,0,5.170894512812585
55,3,11,0,0,2.8875882650336435
56,3,12,0,0,5.129324976344727
57,3,13,0,0,2.887588265033644
58,3,14,0,0,5.129324976344727
59,3,15,0,0,2.887588265033645
60,3,16,0,0,2.1325412772368284
61,3,17,0,0,5.1927758355658895
62,4,5,0,0,4.324982137644017
63,4,6,0,0,4.782043020567059
64,4,7,0,0,4.324982137644017
65,4,8,0,0,5.190846385439417
66,4,9,0,0,4.4249534227134655
67,4,10,0,0,5.8244533791514765
68,4,11,0,0,4.424953422713465
69,4,12,0,0,1.2931614788778747
70,4,13,0,0,4.424953422713465
71,4,14,0,0,1.2931614788778751
72,4,15,0,0,4.4249534227134655
73,4,16,0,0,5.197617831237885
74,4,17,0,0,5.196988125893967
75,5,6,0,0,3.7401439894391753
76,5,7,0,0,7.05287217937299e-31
77,5,8,0,0,2.9000078525224415
78,5,9,0,0,2.8780145065336105
79,5,10,0,0,5.860482741372095
80,5,11,0,0,2.878014506533612
81,5,12,0,0,5.886306876236182
82,5,13,0,0,2.878014506533611
83,5,14,0,0,5.886306876236182
84,5,15,0,0,2.8780145065336105
85,5,16,0,0,2.124138895098362
86,5,17,0,0,5.193747868476835
87,6,7,0,0,3.740143989439175
88,6,8,0,0,5.860482741372092
89,6,9,0,0,5.691475747732325
90,6,10,0,0,2.90000785252244
91,6,11,0,0,5.691475747732324
92,6,12,0,0,5.66618058343859
93,6,13,0,0,5.691475747732324
94,6,14,0,0,5.66618058343859
95,6,15,0,0,5.691475747732323
96,6,16,0,0,5.193747868476836
97,6,17,0,0,2.1241388950983624
98,7,8,0,0,2.900007852522442
99,7,9,0,0,2.8780145065336105
100,7,10,0,0,5.8604827413720955
101,7,11,0,0,2.8780145065336105
102,7,12,0,0,5.886306876236182
103,7,13,0,0,2.8780145065336105
104,7,14,0,0,5.886306876236182
105,7,15,0,0,2.8780145065336105
106,7,16,0,0,2.124138895098362
107,7,17,0,0,5.193747868476835
108,8,9,0,0,0.6650767082940408
109,8,10,0,0,4.7672029400375
110,8,11,0,0,0.665076708294041
111,8,12,0,0,5.637445233295231
112,8,13,0,0,0.6650767082940409
113,8,14,0,0,5.637445233295229
114,8,15,0,0,0.6650767082940408
115,8,16,0,0,1.3118358668878156
116,8,17,0,0,5.834834244424102
117,9,10,0,0,5.546325384374334
118,9,11,0,0,9.640876163184272e-31
119,9,12,0,0,4.880689597707338
120,9,13,0,0,3.3451762628338696e-30
121,9,14,0,0,4.880689597707339
122,9,15,0,0,3.5135769509029836e-30
123,9,16,0,0,1.3067674538118048
124,9,17,0,0,5.826980885679162
125,10,11,0,0,5.546325384374332
126,10,12,0,0,5.661089215582514
127,10,13,0,0,5.546325384374333
128,10,14,0,0,5.661089215582516
129,10,15,0,0,5.546325384374331
130,10,16,0,0,5.834834244424101
131,10,17,0,0,1.311835866887816
132,11,12,0,0,4.880689597707336
133,11,13,0,0,2.2047085375113167e-30
134,11,14,0,0,4.880689597707336
135,11,15,0,0,3.0758723080603132e-30
136,11,16,0,0,1.3067674538118048
137,11,17,0,0,5.82698088567916
138,12,13,0,0,4.880689597707336
139,12,14,0,0,1.07356368780681e-31
140,12,15,0,0,4.880689597707337
141,12,16,0,0,5.842913274955672
142,12,17,0,0,5.841986660613451
143,13,14,0,0,4.8806895977073355
144,13,15,0,0,8.03756222495443e-31
145,13,16,0,0,1.3067674538118046
146,13,17,0,0,5.826980885679161
147,14,15,0,0,4.880689597707336
148,14,16,0,0,5.842913274955672
149,14,17,0,0,5.841986660613451
150,15,16,0,0,1.3067674538118048
151,15,17,0,0,5.826980885679161
152,16,17,0,0,5.679851889471798
153,0,1,0,1,3.7020552259407955
154,0,2,0,1,3.702055225940797
155,0,3,0,1,4.779509270399627
156,0,4,0,1,3.013537665768477
157,0,5,0,1,3.7020552259407973
158,0,6,0,1,3.702055225940793
159,0,7,0,1,3.7020552259407955
160,0,8,0,1,5.6621106623615285
161,0,9,0,1,5.900408758590036
162,0,10,0,1,5.662110662361529
163,0,11,0,1,5.9004087585900376
164,0,12,0,1,2.8946048003753604
165,0,13,0,1,5.900408758590039
166,0,14,0,1,2.8946048003753604
167,0,15,0,1,5.900408758590039
168,0,16,0,1,5.184390082749914
169,0,17,0,1,5.1843900827499185
170,1,2,0,1,2.993148470115609
171,1,3,0,1,4.781777007052642
172,1,4,0,1,4.32498213764402
