,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.7541612691421156
1,0,2,0,0,3.7541612691421165
2,0,3,0,0,6.26262743179037
3,0,4,0,0,3.7541612691421156
4,0,5,0,0,4.915226973457007
5,0,6,0,0,6.079688230336962
6,0,7,0,0,1.1039995716192028
7,0,8,0,0,5.977211124675986e-31
8,0,9,0,0,6.079688230336963
9,0,10,0,0,1.1039995716192053
10,0,11,0,0,4.911286216341076
11,0,12,0,0,6.262627431790368
12,0,13,0,0,6.079688230336959
13,0,14,0,0,4.915226973457006
14,0,15,0,0,4.915226973457007
15,0,16,0,0,4.911286216341075
16,0,17,0,0,1.1039995716192021
17,0,18,0,0,3.7541612691421165
18,0,19,0,0,6.079688230336961
19,0,20,0,0,4.9112862163410735
20,0,21,0,0,1.1039995716192024
21,0,22,0,0,1.1039995716192024
22,0,23,0,0,1.1039995716192053
23,1,2,0,0,4.782915703480401e-31
24,1,3,0,0,6.262627431790367
25,1,4,0,0,4.1672411304327385e-30
26,1,5,0,0,6.079688230336959
27,1,6,0,0,4.915226973457007
28,1,7,0,0,4.911286216341074
29,1,8,0,0,3.754161269142115
30,1,9,0,0,4.915226973457007
31,1,10,0,0,4.911286216341077
32,1,11,0,0,1.1039995716192046
33,1,12,0,0,6.262627431790366
34,1,13,0,0,4.915226973457007
35,1,14,0,0,6.079688230336961
36,1,15,0,0,6.0796882303369575
37,1,16,0,0,1.103999571619202
38,1,17,0,0,4.911286216341075
39,1,18,0,0,5.096047108794542e-30
40,1,19,0,0,4.915226973457008
41,1,20,0,0,1.1039995716192017
42,1,21,0,0,4.911286216341074
43,1,22,0,0,4.911286216341075
44,1,23,0,0,4.911286216341078
45,2,3,0,0,6.262627431790368
46,2,4,0,0,5.030111729918176e-30
47,2,5,0,0,6.079688230336961
48,2,6,0,0,4.915226973457007
49,2,7,0,0,4.911286216341076
50,2,8,0,0,3.7541612691421156
51,2,9,0,0,4.915226973457007
52,2,10,0,0,4.911286216341078
53,2,11,0,0,1.1039995716192048
54,2,12,0,0,6.262627431790366
55,2,13,0,0,4.915226973457006
56,2,14,0,0,6.079688230336963
57,2,15,0,0,6.079688230336959
58,2,16,0,0,1.103999571619202
59,2,17,0,0,4.911286216341076
60,2,18,0,0,5.4404252684185304e-30
61,2,19,0,0,4.915226973457007
62,2,20,0,0,1.103999571619202
63,2,21,0,0,4.911286216341075
64,2,22,0,0,4.911286216341075
65,2,23,0,0,4.911286216341077
66,3,4,0,0,6.262627431790366
67,3,5,0,0,4.922088727492344
68,3,6,0,0,4.922088727492344
69,3,7,0,0,6.080514083118116
70,3,8,0,0,6.262627431790368
71,3,9,0,0,4.922088727492344
72,3,10,0,0,6.080514083118116
73,3,11,0,0,6.080514083118114
74,3,12,0,0,1.5574586929665313e-30
75,3,13,0,0,4.922088727492342
76,3,14,0,0,4.922088727492343
77,3,15,0,0,4.922088727492344
78,3,16,0,0,6.080514083118115
79,3,17,0,0,6.080514083118115
80,3,18,0,0,6.262627431790369
81,3,19,0,0,4.922088727492343
82,3,20,0,0,6.080514083118115
