,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.0
4,0,5,0.0
5,0,6,0.0
6,0,7,0.0
7,0,8,0.0
8,0,9,0.0
9,0,10,0.0
10,0,11,0.0
11,0,12,0.0
12,0,13,0.0
13,0,14,0.0
14,0,15,0.0
15,0,16,0.0
16,0,17,0.0
17,0,18,0.0
18,0,19,0.0
19,0,20,0.0
20,0,21,0.0
21,0,22,0.0
22,0,23,0.0
23,1,2,0.0
24,1,3,0.0
25,1,4,0.0
26,1,5,0.0
27,1,6,0.0
28,1,7,0.0
29,1,8,1.1039995716192013
30,1,9,0.0
31,1,10,0.0
32,1,11,0.0
33,1,12,0.0
34,1,13,0.0
35,1,14,0.0
36,1,15,0.0
37,1,16,0.0
38,1,17,0.0
39,1,18,0.0
40,1,19,0.0
41,1,20,0.0
42,1,21,0.0
43,1,22,0.0
44,1,23,0.0
45,2,3,0.0
46,2,4,0.0
47,2,5,0.0
48,2,6,0.0
49,2,7,0.0
50,2,8,1.1039995716192017
51,2,9,0.0
52,2,10,0.0
53,2,11,0.0
54,2,12,0.0
55,2,13,0.0
56,2,14,0.0
57,2,15,0.0
58,2,16,0.0
59,2,17,0.0
60,2,18,0.0
61,2,19,0.0
62,2,20,0.0
63,2,21,0.0
64,2,22,0.0
65,2,23,0.0
66,3,4,0.0
67,3,5,0.0
68,3,6,0.0
69,3,7,0.0
70,3,8,0.0
71,3,9,0.0
72,3,10,0.0
73,3,11,0.0
74,3,12,0.0
75,3,13,0.0
76,3,14,0.0
77,3,15,0.0
78,3,16,0.0
79,3,17,0.0
80,3,18,0.0
81,3,19,0.0
82,3,20,0.0
83,3,21,0.0
84,3,22,0.0
85,3,23,0.0
86,4,5,0.0
87,4,6,0.0
88,4,7,0.0
89,4,8,1.1039995716192028
90,4,9,0.0
91,4,10,0.0
92,4,11,0.0
93,4,12,0.0
94,4,13,0.0
95,4,14,0.0
96,4,15,0.0
97,4,16,0.0
98,4,17,0.0
99,4,18,0.0
100,4,19,0.0
101,4,20,0.0
102,4,21,0.0
103,4,22,0.0
104,4,23,0.0
105,5,6,0.0
106,5,7,0.0
107,5,8,0.0
108,5,9,0.0
109,5,10,0.0
110,5,11,0.0
111,5,12,0.0
112,5,13,0.0
113,5,14,0.0
114,5,15,0.0
115,5,16,0.0
116,5,17,0.0
117,5,18,0.0
118,5,19,0.0
119,5,20,0.0
120,5,21,0.0
121,5,22,0.0
122,5,23,0.0
123,6,7,0.0
124,6,8,0.0
125,6,9,0.0
126,6,10,0.0
127,6,11,0.0
128,6,12,0.0
129,6,13,0.0
130,6,14,0.0
131,6,15,0.0
132,6,16,0.0
133,6,17,0.0
134,6,18,0.0
135,6,19,0.0
136,6,20,0.0
137,6,21,0.0
138,6,22,0.0
139,6,23,0.0
140,7,8,0.0
141,7,9,0.0
142,7,10,0.0
143,7,11,0.0
144,7,12,0.0
145,7,13,0.0
146,7,14,0.0
147,7,15,0.0
148,7,16,0.0
149,7,17,0.0
150,7,18,0.0
151,7,19,0.0
152,7,20,0.0
153,7,21,0.0
154,7,22,0.0
155,7,23,0.0
156,8,9,0.0
157,8,10,0.0
158,8,11,0.0
159,8,12,0.0
160,8,13,0.0
161,8,14,0.0
162,8,15,0.0
163,8,16,0.0
164,8,17,0.0
165,8,18,0.0
166,8,19,0.0
167,8,20,0.0
168,8,21,0.0
169,8,22,0.0
170,8,23,0.0
171,9,10,0.0
172,9,11,0.0
173,9,12,0.0
174,9,13,0.0
175,9,14,0.0
176,9,15,0.0
177,9,16,0.0
178,9,17,0.0
179,9,18,0.0
180,9,19,0.0
181,9,20,0.0
182,9,21,0.0
183,9,22,0.0
184,9,23,0.0
185,10,11,0.0
186,10,12,0.0
187,10,13,0.0
188,10,14,0.0
189,10,15,0.0
190,10,16,0.0
191,10,17,0.0
192,10,18,0.0
193,10,19,0.0
194,10,20,0.0
195,10,21,0.0
196,10,22,0.0
197,10,23,0.0
198,11,12,0.0
199,11,13,0.0
200,11,14,0.0
201,11,15,0.0
202,11,16,0.0
203,11,17,0.0
204,11,18,0.0
205,11,19,0.0
206,11,20,0.0
207,11,21,0.0
208,11,22,0.0
209,11,23,0.0
210,12,13,0.0
211,12,14,0.0
212,12,15,0.0
213,12,16,0.0
214,12,17,0.0
215,12,18,0.0
216,12,19,0.0
217,12,20,0.0
218,12,21,0.0
219,12,22,0.0
220,12,23,0.0
221,13,14,0.0
222,13,15,0.0
223,13,16,0.0
224,13,17,0.0
225,13,18,0.0
226,13,19,0.0
227,13,20,0.0
228,13,21,0.0
229,13,22,0.0
230,13,23,0.0
231,14,15,0.0
232,14,16,0.0
233,14,17,0.0
234,14,18,0.0
235,14,19,0.0
236,14,20,0.0
237,14,21,0.0
238,14,22,0.0
239,14,23,0.0
240,15,16,0.0
241,15,17,0.0
242,15,18,0.0
243,15,19,0.0
244,15,20,0.0
245,15,21,0.0
246,15,22,0.0
247,15,23,0.0
248,16,17,0.0
249,16,18,0.0
250,16,19,0.0
251,16,20,0.0
252,16,21,0.0
253,16,22,0.0
254,16,23,0.0
255,17,18,0.0
256,17,19,0.0
257,17,20,0.0
258,17,21,0.0
259,17,22,0.0
260,17,23,0.0
261,18,19,0.0
262,18,20,0.0
263,18,21,0.0
264,18,22,0.0
265,18,23,0.0
266,19,20,0.0
267,19,21,0.0
268,19,22,0.0
269,19,23,0.0
270,20,21,0.0
271,20,22,0.0
272,20,23,0.0
273,21,22,0.0
274,21,23,0.0
275,22,23,0.0
