,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.0
4,0,5,0.0
5,0,6,0.0
6,0,7,0.0
7,0,8,2.473147536042047
8,0,9,2.4731475360420467
9,0,10,2.4731475360420467
10,0,11,2.473147536042045
11,0,12,2.473147536042048
12,0,13,2.4731475360420467
13,0,14,2.473147536042048
14,0,15,2.473147536042045
15,1,2,0.0
16,1,3,0.0
17,1,4,0.0
18,1,5,0.0
19,1,6,0.0
20,1,7,0.0
21,1,8,2.5480263129768947
22,1,9,2.548026312976895
23,1,10,2.548026312976895
24,1,11,2.548026312976895
25,1,12,2.5480263129768965
26,1,13,2.5480263129768965
27,1,14,2.5480263129768943
28,1,15,2.5480263129768943
29,2,3,0.0
30,2,4,0.0
31,2,5,0.0
32,2,6,0.0
33,2,7,0.0
34,2,8,2.471507565891854
35,2,9,2.4715075658918533
36,2,10,2.4715075658918537
37,2,11,2.471507565891853
38,2,12,2.471507565891854
39,2,13,2.4715075658918546
40,2,14,2.471507565891855
41,2,15,2.4715075658918515
42,3,4,0.0
43,3,5,0.0
44,3,6,0.0
45,3,7,0.0
46,3,8,2.548026312976896
47,3,9,2.548026312976895
48,3,10,2.548026312976896
49,3,11,2.548026312976896
50,3,12,2.5480263129768974
51,3,13,2.548026312976897
52,3,14,2.5480263129768943
53,3,15,2.548026312976895
54,4,5,0.0
55,4,6,0.0
56,4,7,0.0
57,4,8,2.548026312976896
58,4,9,2.548026312976895
59,4,10,2.548026312976896
60,4,11,2.548026312976896
61,4,12,2.548026312976898
62,4,13,2.5480263129768974
63,4,14,2.5480263129768943
64,4,15,2.548026312976895
65,5,6,0.0
66,5,7,0.0
67,5,8,2.566431682335207
68,5,9,2.5664316823352085
69,5,10,2.5664316823352085
70,5,11,2.566431682335208
71,5,12,2.5664316823352085
72,5,13,2.5664316823352085
73,5,14,2.5664316823352067
74,5,15,2.5664316823352067
75,6,7,0.0
76,6,8,2.5480263129768965
77,6,9,2.548026312976896
78,6,10,2.548026312976896
79,6,11,2.5480263129768965
80,6,12,2.5480263129768974
81,6,13,2.5480263129768983
82,6,14,2.5480263129768947
83,6,15,2.548026312976895
84,7,8,2.566431682335208
85,7,9,2.5664316823352085
86,7,10,2.5664316823352094
87,7,11,2.566431682335208
88,7,12,2.566431682335208
89,7,13,2.5664316823352085
90,7,14,2.566431682335207
91,7,15,2.5664316823352067
92,8,9,0.0
93,8,10,0.0
94,8,11,0.0
95,8,12,0.0
96,8,13,0.0
97,8,14,0.0
98,8,15,0.0
99,9,10,0.0
100,9,11,0.0
101,9,12,0.0
102,9,13,0.0
103,9,14,0.0
104,9,15,0.0
105,10,11,0.0
106,10,12,0.0
107,10,13,0.0
108,10,14,0.0
109,10,15,0.0
110,11,12,0.0
111,11,13,0.0
112,11,14,0.0
113,11,15,0.0
114,12,13,0.0
115,12,14,0.0
116,12,15,0.0
117,13,14,0.0
118,13,15,0.0
119,14,15,0.0
