,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.1701859198526098
2,0,3,0.1701859275645264
3,0,4,3.091424574995199
4,0,5,3.091424558278693
5,0,6,2.40983809840934
6,0,7,2.4098380936705253
7,0,8,2.3270292187234007
8,0,9,2.3270292138046464
9,0,10,2.15744805374161
10,0,11,2.1574480180913853
11,0,12,2.8860615870590065
12,0,13,2.8860615875923084
13,0,14,0.0
14,0,15,0.0
15,0,16,0.1701859198526088
16,0,17,0.1701859275645276
17,0,18,3.091424574997128
18,0,19,3.091424558278693
19,0,20,2.40983809841006
20,0,21,2.409838093671246
21,0,22,2.3270292187234007
22,0,23,2.3270292138046487
23,0,24,2.1574480537416107
24,0,25,2.1574480197756145
25,0,26,2.8860615870590083
26,0,27,2.8860615875923097
27,1,2,0.1701859111830977
28,1,3,0.1701859188950137
29,1,4,3.091424587022735
30,1,5,3.091424570306229
31,1,6,2.409838106661956
32,1,7,2.4098381019231403
33,1,8,2.32702922645832
34,1,9,2.327029219027974
35,1,10,2.157448070998284
36,1,11,2.1574480353480565
37,1,12,2.8860615832312284
38,1,13,2.886061583764528
39,1,14,0.0
40,1,15,0.0
41,1,16,0.1701859111830969
42,1,17,0.1701859188950149
43,1,18,3.091424587022736
44,1,19,3.091424570306228
45,1,20,2.4098381066619554
46,1,21,2.40983810192314
47,1,22,2.3270292264583192
48,1,23,2.327029219027977
49,1,24,2.157448070998284
50,1,25,2.1574480353480534
51,1,26,2.886061583231227
52,1,27,2.8860615837645285
53,2,3,0.0
54,2,4,2.989962508975338
55,2,5,2.98996251618762
56,2,6,2.6246793037361007
57,2,7,2.4883637580163187
58,2,8,2.637149149252459
59,2,9,2.6371491688748554
60,2,10,2.53066756106373
61,2,11,2.530667515868359
62,2,12,3.146004361592264
63,2,13,3.1460043678903777
64,2,14,0.1664320709807963
65,2,15,0.1664320707460252
66,2,16,0.0
67,2,17,0.0
68,2,18,2.9899625089753346
69,2,19,2.9899625161876173
70,2,20,2.4883637153282594
71,2,21,2.4883637580163205
72,2,22,2.6371491492524584
73,2,23,2.637149168874855
74,2,24,2.764507250428879
75,2,25,2.530667515868352
76,2,26,3.146004361592267
77,2,27,3.1460043678903773
78,3,4,2.984804000897067
79,3,5,2.9848040019516344
80,3,6,2.4764920931373258
81,3,7,2.47649207632484
82,3,8,2.6296281057510336
83,3,9,2.629628098406859
84,3,10,2.544589960659894
85,3,11,2.5445899496653923
86,3,12,3.128973571597555
87,3,13,3.128973570739156
88,3,14,0.169096377169995
89,3,15,0.1690963705985994
90,3,16,0.0
91,3,17,0.0
92,3,18,2.984804000897061
93,3,19,2.984804001951632
94,3,20,2.4764920939061503
95,3,21,2.476492075556016
96,3,22,2.629628106382198
97,3,23,2.6296280990380296
98,3,24,2.5445899606598967
99,3,25,2.544589949665391
100,3,26,3.128973571597556
101,3,27,3.128973570739157
102,4,5,0.0
103,4,6,0.832516941954499
104,4,7,0.8325169546132187
105,4,8,2.259286538864758
106,4,9,2.2592865179710384
107,4,10,3.038187217712292
108,4,11,3.03818719965936
109,4,12,2.4606195067096768
110,4,13,2.460619534873758
111,4,14,3.0921158794738286
112,4,15,3.092115882690583
113,4,16,3.01130400684512
114,4,17,3.0113040265249142
115,4,18,0.0
116,4,19,0.0
117,4,20,0.8325169419544983
118,4,21,0.8325169546132211
119,4,22,2.259286538864757
120,4,23,2.259286517971036
121,4,24,3.0381872177122795
122,4,25,3.0381871996593564
123,4,26,2.4606195067096777
124,4,27,2.4606195348737563
125,5,6,2.051108381912653
126,5,7,0.7986933480509835
127,5,8,2.2807506236443844
128,5,9,2.280750591840059
129,5,10,3.030794073633783
130,5,11,3.030794081695575
131,5,12,2.4671478866724006
132,5,13,2.467147869748636
133,5,14,3.0879530185523665
134,5,15,3.08795301213238
135,5,16,3.00381801342445
136,5,17,3.0038180512648647
137,5,18,0.0
138,5,19,0.0
139,5,20,0.7986934249849871
140,5,21,0.7986933480509812
141,5,22,2.280750623644383
142,5,23,2.2807505918400603
143,5,24,3.030794073633779
144,5,25,3.030794081695576
145,5,26,2.4671478866724
146,5,27,2.4671478697486395
147,6,7,0.0
148,6,8,1.416543208564075
149,6,9,1.4165431728932776
150,6,10,3.469782963596657
151,6,11,3.4697829539160403
152,6,12,2.5897676442112854
153,6,13,2.589767668672154
154,6,14,2.4116428606144176
155,6,15,2.411642860946722
156,6,16,2.475936907045443
157,6,17,2.47593688291907
158,6,18,0.7862827746125166
159,6,19,0.7862827773947452
160,6,20,0.0
161,6,21,0.0
162,6,22,1.4165432085640732
163,6,23,1.416543172893281
164,6,24,3.469782963596646
165,6,25,3.4697829539160394
166,6,26,2.589767644211284
167,6,27,2.5897676686721547
168,7,8,1.4165432192978893
169,7,9,1.4165431836270908
170,7,10,3.4697829057495406
171,7,11,3.469782896068924
172,7,12,2.589767615099993
173,7,13,2.5897676395608595
174,7,14,2.411642867518496
175,7,15,2.411642867850802
176,7,16,2.475936904912192
177,7,17,2.4759368815546283
178,7,18,0.7862827644076371
179,7,19,0.786282767189864
180,7,20,0.0
181,7,21,0.0
182,7,22,1.4165432192978886
183,7,23,1.4165431836270936
184,7,24,3.4697829057495286
185,7,25,3.469782896068923
186,7,26,2.58976761509999
187,7,27,2.589767639560859
188,8,9,0.0
189,8,10,2.294817537263857
190,8,11,2.294817520831011
191,8,12,2.406595590473123
192,8,13,2.406595597580748
193,8,14,2.316423628138468
194,8,15,2.316423632730492
195,8,16,2.6177341447032343
196,8,17,2.617734124001686
197,8,18,2.280750602614575
198,8,19,2.2807506236443853
199,8,20,1.4165432085640757
200,8,21,1.416543219297892
201,8,22,0.0
202,8,23,0.0
203,8,24,2.2948175372638566
204,8,25,2.294817520831008
205,8,26,2.406595590473116
206,8,27,2.4065955975807505
207,9,10,2.300066810820888
208,9,11,2.3000668029496416
209,9,12,2.4588389790459235
210,9,13,2.4588389935821287
211,9,14,2.328093733472918
212,9,15,2.328093738111865
213,9,16,2.624822291514638
