,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.129295407125976
1,0,2,0,0,7.501421263420778e-30
2,0,3,0,0,3.7629109567790615
3,0,4,0,0,5.813259187233589
4,0,5,0,0,5.103185558694945
5,0,6,0,0,5.103185558694942
6,0,7,0,0,5.813259187233592
7,0,8,0,0,6.3967470113116205
8,0,9,0,0,4.248825540671031
9,0,10,0,0,3.794752472087739
10,0,11,0,0,4.248825540671032
11,1,2,0,0,5.129295407125974
12,1,3,0,0,5.733833363020637
13,1,4,0,0,5.965115120964741
14,1,5,0,0,5.741094377465284
15,1,6,0,0,5.741094377465288
16,1,7,0,0,5.9651151209647395
17,1,8,0,0,5.389395083858275
18,1,9,0,0,4.96186446283194
19,1,10,0,0,5.442870192203387
20,1,11,0,0,4.961864462831939
21,2,3,0,0,3.7629109567790606
22,2,4,0,0,5.813259187233591
23,2,5,0,0,5.103185558694945
24,2,6,0,0,5.103185558694941
25,2,7,0,0,5.813259187233593
26,2,8,0,0,6.396747011311619
27,2,9,0,0,4.248825540671029
28,2,10,0,0,3.7947524720877372
29,2,11,0,0,4.24882554067103
30,3,4,0,0,5.093984506513489
31,3,5,0,0,2.673032721371624
32,3,6,0,0,2.6730327213716247
33,3,7,0,0,5.093984506513489
34,3,8,0,0,5.068928842610158
35,3,9,0,0,4.108553581516237
36,3,10,0,0,4.542103911249608
37,3,11,0,0,4.108553581516236
38,4,5,0,0,5.1134225549402865
39,4,6,0,0,5.113422554940286
40,4,7,0,0,1.465653338193505e-29
41,4,8,0,0,3.6068420043025062
42,4,9,0,0,6.394434381322369
43,4,10,0,0,6.484213895465354
44,4,11,0,0,6.394434381322368
45,5,6,0,0,2.4291001667516654e-29
46,5,7,0,0,5.113422554940281
47,5,8,0,0,4.728141405058882
48,5,9,0,0,4.54210391124961
49,5,10,0,0,4.108553581516239
50,5,11,0,0,4.542103911249609
51,6,7,0,0,5.113422554940279
52,6,8,0,0,4.72814140505888
53,6,9,0,0,4.542103911249607
54,6,10,0,0,4.108553581516237
