,isite_i,isite_j,distance
0,0,1,
1,0,2,0.0960117760548682
2,0,3,1.8215898733093712
3,0,4,
4,0,5,1.7124505896404432
5,0,6,
6,0,7,1.7124505881230394
7,0,8,1.82158004075536
8,0,9,
9,0,10,0.0960117757339905
10,0,11,0.0
11,0,12,
12,0,13,
13,0,14,
14,0,15,
15,0,16,
16,0,17,
17,1,2,
18,1,3,
19,1,4,2.1535159874100858
20,1,5,
21,1,6,2.1535926353859454
22,1,7,
23,1,8,
24,1,9,0.0
25,1,10,
26,1,11,
27,1,12,2.982239727189488
28,1,13,2.918381178760243
29,1,14,2.982239723619289
30,1,15,2.9182958470460822
31,1,16,2.9822397250140864
32,1,17,2.9822397236192866
33,2,3,1.7070473496925214
34,2,4,
35,2,5,1.5982293511071273
36,2,6,
37,2,7,1.5982293505347582
38,2,8,1.7070372583260978
39,2,9,
40,2,10,0.0
41,2,11,0.0960118393108651
42,2,12,
43,2,13,
44,2,14,
45,2,15,
46,2,16,
47,2,17,
48,3,4,
49,3,5,0.096011775563075
50,3,6,
51,3,7,0.0960117756783985
52,3,8,0.0
53,3,9,
54,3,10,1.716049886746562
55,3,11,1.8251389383668903
56,3,12,
57,3,13,
58,3,14,
59,3,15,
60,3,16,
61,3,17,
62,4,5,
63,4,6,0.0
64,4,7,
65,4,8,
66,4,9,2.1534303770722327
67,4,10,
68,4,11,
69,4,12,2.9927791221762776
70,4,13,2.9259919197194293
71,4,14,2.9927791188156694
72,4,15,2.9259088948121863
73,4,16,2.992779122209816
74,4,17,2.992779118815671
75,5,6,
76,5,7,0.0
77,5,8,0.0960118393108653
78,5,9,
79,5,10,1.6033113208199807
80,5,11,1.7124407729942743
81,5,12,
82,5,13,
83,5,14,
84,5,15,
85,5,16,
86,5,17,
87,6,7,
88,6,8,
89,6,9,2.153505913594372
90,6,10,
91,6,11,
92,6,12,2.992657558822986
93,6,13,2.925879661931113
94,6,14,2.992657555463193
95,6,15,2.9257965414672498
96,6,16,2.9926575588575965
97,6,17,2.9926575554631945
98,7,8,0.0960118389902838
99,7,9,
100,7,10,1.60331132527905
101,7,11,1.7124407781952138
102,7,12,
103,7,13,
104,7,14,
105,7,15,
106,7,16,
107,7,17,
108,8,9,
109,8,10,1.7070572823972414
110,8,11,1.8158733151582085
111,8,12,
112,8,13,
113,8,14,
114,8,15,
115,8,16,
116,8,17,
117,9,10,
118,9,11,
119,9,12,2.993196156993106
120,9,13,2.926324981031727
121,9,14,2.993196153455897
122,9,15,2.9262419426993613
123,9,16,2.993196156751409
124,9,17,2.9931961534558966
125,10,11,0.0960118391090688
126,10,12,
127,10,13,
128,10,14,
129,10,15,
130,10,16,
131,10,17,
132,11,12,
133,11,13,
134,11,14,
135,11,15,
136,11,16,
137,11,17,
138,12,13,0.1571102826069136
139,12,14,0.0
140,12,15,0.157110179341304
141,12,16,0.0
142,12,17,0.0
143,13,14,0.1571102814534575
144,13,15,0.0
145,13,16,0.1571102823164774
146,13,17,0.1571102814534575
147,14,15,0.1571101781875783
148,14,16,0.0
149,14,17,0.0
150,15,16,0.1571101792473213
151,15,17,0.1571101778931886
152,16,17,0.0
