,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,8.163722080025064
1,0,2,0,0,7.923326623368606
2,0,3,0,0,5.224225387489992
3,0,4,0,0,
4,0,5,0,0,
5,0,6,0,0,
6,0,7,0,0,
7,0,8,0,0,
8,0,9,0,0,
9,0,10,0,0,
10,0,11,0,0,
11,0,12,0,0,
12,0,13,0,0,
13,0,14,0,0,
14,0,15,0,0,
15,0,16,0,0,6.025097987266899
16,0,17,0,0,6.025097999916038
17,0,18,0,0,7.086105821327113
18,0,19,0,0,7.169366422418164
19,0,20,0,0,
20,0,21,0,0,
21,0,22,0,0,
22,0,23,0,0,
23,0,24,0,0,
24,0,25,0,0,
25,0,26,0,0,
26,0,27,0,0,
27,0,28,0,0,
28,0,29,0,0,
29,0,30,0,0,
30,0,31,0,0,
31,1,2,0,0,5.9145209892315895
32,1,3,0,0,5.17225785800269
33,1,4,0,0,
34,1,5,0,0,
35,1,6,0,0,
36,1,7,0,0,
37,1,8,0,0,
38,1,9,0,0,
39,1,10,0,0,
40,1,11,0,0,
41,1,12,0,0,
42,1,13,0,0,
43,1,14,0,0,
44,1,15,0,0,
45,1,16,0,0,4.983733539837024
46,1,17,0,0,4.983733527114733
47,1,18,0,0,5.162810445133625
48,1,19,0,0,3.7194038314169933
49,1,20,0,0,
50,1,21,0,0,
51,1,22,0,0,
52,1,23,0,0,
53,1,24,0,0,
54,1,25,0,0,
55,1,26,0,0,
56,1,27,0,0,
57,1,28,0,0,
58,1,29,0,0,
59,1,30,0,0,
60,1,31,0,0,
61,2,3,0,0,6.752396623229644
62,2,4,0,0,
63,2,5,0,0,
64,2,6,0,0,
65,2,7,0,0,
66,2,8,0,0,
67,2,9,0,0,
68,2,10,0,0,
69,2,11,0,0,
70,2,12,0,0,
71,2,13,0,0,
72,2,14,0,0,
73,2,15,0,0,
74,2,16,0,0,7.16936643692077
75,2,17,0,0,7.169366421920084
76,2,18,0,0,4.921176880960972
77,2,19,0,0,6.025097998189964
78,2,20,0,0,
79,2,21,0,0,
80,2,22,0,0,
81,2,23,0,0,
82,2,24,0,0,
83,2,25,0,0,
84,2,26,0,0,
85,2,27,0,0,
86,2,28,0,0,
87,2,29,0,0,
88,2,30,0,0,
89,2,31,0,0,
90,3,4,0,0,
91,3,5,0,0,
92,3,6,0,0,
93,3,7,0,0,
94,3,8,0,0,
95,3,9,0,0,
96,3,10,0,0,
97,3,11,0,0,
98,3,12,0,0,
99,3,13,0,0,
100,3,14,0,0,
101,3,15,0,0,
102,3,16,0,0,3.674780680743012
103,3,17,0,0,3.6747806909735505
104,3,18,0,0,6.334616518204489
105,3,19,0,0,4.879180934683775
106,3,20,0,0,
107,3,21,0,0,
108,3,22,0,0,
109,3,23,0,0,
110,3,24,0,0,
111,3,25,0,0,
112,3,26,0,0,
113,3,27,0,0,
114,3,28,0,0,
115,3,29,0,0,
116,3,30,0,0,
117,3,31,0,0,
118,4,5,0,0,6.40852651166444
119,4,6,0,0,6.481532275557345
120,4,7,0,0,6.184542171742934
121,4,8,0,0,
122,4,9,0,0,
123,4,10,0,0,
124,4,11,0,0,
125,4,12,0,0,
126,4,13,0,0,
127,4,14,0,0,
128,4,15,0,0,
129,4,16,0,0,
130,4,17,0,0,
131,4,18,0,0,
132,4,19,0,0,
133,4,20,0,0,5.780793355054375
134,4,21,0,0,3.322370014784628e-17
135,4,22,0,0,6.963470331241975
136,4,23,0,0,4.513229405916272
137,4,24,0,0,
138,4,25,0,0,
139,4,26,0,0,
140,4,27,0,0,
141,4,28,0,0,
142,4,29,0,0,
143,4,30,0,0,
144,4,31,0,0,
145,5,6,0,0,2.3449571008109587
146,5,7,0,0,6.647634177794494
147,5,8,0,0,
148,5,9,0,0,
149,5,10,0,0,
150,5,11,0,0,
151,5,12,0,0,
152,5,13,0,0,
153,5,14,0,0,
154,5,15,0,0,
155,5,16,0,0,
156,5,17,0,0,
157,5,18,0,0,
158,5,19,0,0,
159,5,20,0,0,6.422180224005738
160,5,21,0,0,6.40852651515813
161,5,22,0,0,4.513229411738096
162,5,23,0,0,4.027249713027116
163,5,24,0,0,
164,5,25,0,0,
165,5,26,0,0,
166,5,27,0,0,
167,5,28,0,0,
168,5,29,0,0,
169,5,30,0,0,
170,5,31,0,0,
171,6,7,0,0,6.477415178748138
172,6,8,0,0,
173,6,9,0,0,
174,6,10,0,0,
175,6,11,0,0,
176,6,12,0,0,
177,6,13,0,0,
178,6,14,0,0,
179,6,15,0,0,
180,6,16,0,0,
181,6,17,0,0,
182,6,18,0,0,
183,6,19,0,0,
184,6,20,0,0,6.688960301818707
185,6,21,0,0,6.481532270502467
186,6,22,0,0,4.195217772769676
187,6,23,0,0,4.656563939550764
188,6,24,0,0,
189,6,25,0,0,
190,6,26,0,0,
191,6,27,0,0,
192,6,28,0,0,
193,6,29,0,0,
194,6,30,0,0,
195,6,31,0,0,
196,7,8,0,0,
197,7,9,0,0,
198,7,10,0,0,
199,7,11,0,0,
200,7,12,0,0,
201,7,13,0,0,
202,7,14,0,0,
203,7,15,0,0,
204,7,16,0,0,
205,7,17,0,0,
206,7,18,0,0,
207,7,19,0,0,
208,7,20,0,0,4.4537913827886175
209,7,21,0,0,6.184542165824309
210,7,22,0,0,4.827117671328313
211,7,23,0,0,7.611006037767276
212,7,24,0,0,
213,7,25,0,0,
214,7,26,0,0,
215,7,27,0,0,
216,7,28,0,0,
217,7,29,0,0,
218,7,30,0,0,
219,7,31,0,0,
220,8,9,0,0,4.3093744727537193e-16
221,8,10,0,0,7.098868896837918
222,8,11,0,0,4.705664208852853
223,8,12,0,0,
224,8,13,0,0,
225,8,14,0,0,
226,8,15,0,0,
227,8,16,0,0,
228,8,17,0,0,
229,8,18,0,0,
230,8,19,0,0,
231,8,20,0,0,
232,8,21,0,0,
233,8,22,0,0,
234,8,23,0,0,
235,8,24,0,0,4.927257645064563
236,8,25,0,0,6.036838266480458
237,8,26,0,0,4.705664195086461
238,8,27,0,0,4.705664208852855
239,8,28,0,0,
240,8,29,0,0,
241,8,30,0,0,
242,8,31,0,0,
243,9,10,0,0,7.098868890535184
244,9,11,0,0,4.705664228960626
245,9,12,0,0,
246,9,13,0,0,
247,9,14,0,0,
248,9,15,0,0,
249,9,16,0,0,
250,9,17,0,0,
251,9,18,0,0,
252,9,19,0,0,
253,9,20,0,0,
254,9,21,0,0,
255,9,22,0,0,
256,9,23,0,0,
257,9,24,0,0,4.9272576223935225
258,9,25,0,0,6.036838241118482
259,9,26,0,0,4.705664215194234
260,9,27,0,0,4.705664228960628
261,9,28,0,0,
262,9,29,0,0,
263,9,30,0,0,
264,9,31,0,0,
265,10,11,0,0,5.570273177206342
266,10,12,0,0,
267,10,13,0,0,
268,10,14,0,0,
269,10,15,0,0,
270,10,16,0,0,
271,10,17,0,0,
272,10,18,0,0,
273,10,19,0,0,
274,10,20,0,0,
275,10,21,0,0,
276,10,22,0,0,
277,10,23,0,0,
278,10,24,0,0,4.609508715652104
279,10,25,0,0,3.721289740024893
280,10,26,0,0,5.570273174432238
281,10,27,0,0,5.570273177206342
282,10,28,0,0,
283,10,29,0,0,
284,10,30,0,0,
285,10,31,0,0,
286,11,12,0,0,
287,11,13,0,0,
288,11,14,0,0,
289,11,15,0,0,
290,11,16,0,0,
291,11,17,0,0,
292,11,18,0,0,
293,11,19,0,0,
294,11,20,0,0,
295,11,21,0,0,
296,11,22,0,0,
297,11,23,0,0,
298,11,24,0,0,4.923082162726583
299,11,25,0,0,7.253142047917868
300,11,26,0,0,2.5779747502975246e-16
301,11,27,0,0,1.212121069492344e-17
302,11,28,0,0,
303,11,29,0,0,
304,11,30,0,0,
305,11,31,0,0,
306,12,13,0,0,7.123744111631212
