,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,3.675625822281119
2,0,3,3.675625829253743
3,0,4,
4,0,5,
5,0,6,
6,0,7,
7,0,8,
8,0,9,
9,0,10,
10,0,11,
11,0,12,
12,0,13,
13,0,14,
14,0,15,
15,0,16,0.0
16,0,17,0.0
17,0,18,3.675625822281118
18,0,19,3.675625829253743
19,0,20,
20,0,21,
21,0,22,
22,0,23,
23,0,24,
24,0,25,
25,0,26,
26,0,27,
27,0,28,
28,0,29,
29,0,30,
30,0,31,
31,1,2,3.719403812857268
32,1,3,3.719403831416993
33,1,4,
34,1,5,
35,1,6,
36,1,7,
37,1,8,
38,1,9,
39,1,10,
40,1,11,
41,1,12,
42,1,13,
43,1,14,
44,1,15,
45,1,16,0.0
46,1,17,0.0
47,1,18,3.719403812857268
48,1,19,3.719403831416993
49,1,20,
50,1,21,
51,1,22,
52,1,23,
53,1,24,
54,1,25,
55,1,26,
56,1,27,
57,1,28,
58,1,29,
59,1,30,
60,1,31,
61,2,3,0.0
62,2,4,
63,2,5,
64,2,6,
65,2,7,
66,2,8,
67,2,9,
68,2,10,
69,2,11,
70,2,12,
71,2,13,
72,2,14,
73,2,15,
74,2,16,3.675625830118849
75,2,17,3.67562582059672
76,2,18,0.0
77,2,19,0.0
78,2,20,
79,2,21,
80,2,22,
81,2,23,
82,2,24,
83,2,25,
84,2,26,
85,2,27,
86,2,28,
87,2,29,
88,2,30,
89,2,31,
90,3,4,
91,3,5,
92,3,6,
93,3,7,
94,3,8,
95,3,9,
96,3,10,
97,3,11,
98,3,12,
99,3,13,
100,3,14,
101,3,15,
102,3,16,3.674780680743012
103,3,17,3.674780690973551
104,3,18,0.0
105,3,19,0.0
106,3,20,
107,3,21,
108,3,22,
109,3,23,
110,3,24,
111,3,25,
112,3,26,
113,3,27,
114,3,28,
115,3,29,
116,3,30,
117,3,31,
118,4,5,0.0
119,4,6,2.789785075920028
120,4,7,2.789785073932765
121,4,8,
122,4,9,
123,4,10,
124,4,11,
125,4,12,
126,4,13,
127,4,14,
128,4,15,
129,4,16,
130,4,17,
131,4,18,
132,4,19,
133,4,20,0.0
134,4,21,0.0
135,4,22,2.789785075920028
136,4,23,2.789785073932765
137,4,24,
138,4,25,
139,4,26,
140,4,27,
141,4,28,
142,4,29,
143,4,30,
144,4,31,
145,5,6,2.3449571008109587
146,5,7,2.3449571106048217
147,5,8,
148,5,9,
149,5,10,
150,5,11,
151,5,12,
152,5,13,
153,5,14,
154,5,15,
155,5,16,
156,5,17,
157,5,18,
158,5,19,
159,5,20,0.0
160,5,21,0.0
161,5,22,2.3449571008109613
162,5,23,2.344957112253184
163,5,24,
164,5,25,
165,5,26,
166,5,27,
167,5,28,
168,5,29,
169,5,30,
170,5,31,
171,6,7,0.0
172,6,8,
173,6,9,
174,6,10,
175,6,11,
176,6,12,
177,6,13,
178,6,14,
179,6,15,
180,6,16,
181,6,17,
182,6,18,
183,6,19,
184,6,20,2.34495711198468
185,6,21,2.3449571015367305
186,6,22,0.0
187,6,23,0.0
188,6,24,
189,6,25,
190,6,26,
191,6,27,
192,6,28,
193,6,29,
194,6,30,
195,6,31,
196,7,8,
197,7,9,
198,7,10,
199,7,11,
200,7,12,
201,7,13,
202,7,14,
203,7,15,
204,7,16,
205,7,17,
206,7,18,
207,7,19,
208,7,20,2.7737276408885907
209,7,21,2.773727618919827
210,7,22,0.0
