,isite_i,isite_j,distance
0,0,1,2.961039542489954
1,0,2,2.961039542489953
2,0,3,0.0
3,0,4,2.961039542489952
4,0,5,0.0
5,0,6,0.0
6,0,7,2.9610395424899525
7,0,8,2.826236389806242
8,0,9,4.053694569476266
9,0,10,4.053694569476266
10,0,11,2.8262363898062373
11,0,12,4.053694569476267
12,0,13,2.8262363898062404
13,0,14,2.8262363898062386
14,0,15,4.0536945694762645
15,0,16,4.245107916416645
16,0,17,3.764163587063783
17,0,18,3.7641635870637855
18,0,19,4.245107916416643
19,0,20,3.7641635870637833
20,0,21,4.245107916416643
21,0,22,4.245107916416645
22,0,23,3.764163587063787
23,1,2,0.0
24,1,3,2.9184276706252223
25,1,4,0.0
26,1,5,2.918427670625221
27,1,6,2.9184276706252223
28,1,7,0.0
29,1,8,4.119544050024797
30,1,9,2.7848126759965037
31,1,10,2.784812675996504
32,1,11,4.119544050024799
33,1,12,2.7848126759965037
34,1,13,4.119544050024795
35,1,14,4.119544050024798
36,1,15,2.784812675996503
37,1,16,3.7661773481407774
38,1,17,4.10661328963379
39,1,18,4.106613289633791
40,1,19,3.7661773481407783
41,1,20,4.106613289633791
42,1,21,3.7661773481407774
43,1,22,3.766177348140779
44,1,23,4.10661328963379
45,2,3,2.961039542489954
46,2,4,0.0
47,2,5,2.961039542489952
48,2,6,2.961039542489953
49,2,7,0.0
50,2,8,4.073298079979276
51,2,9,2.767324496431764
52,2,10,2.76732449643176
53,2,11,4.073298079979275
54,2,12,2.7673244964317645
55,2,13,4.073298079979272
56,2,14,4.073298079979277
57,2,15,2.7673244964317583
58,2,16,3.620282739657663
59,2,17,4.130084618315521
60,2,18,4.130084618315521
61,2,19,3.620282739657665
62,2,20,4.1300846183155215
63,2,21,3.620282739657666
64,2,22,3.620282739657663
65,2,23,4.130084618315521
66,3,4,3.0280066155168828
67,3,5,0.0
68,3,6,0.0
69,3,7,3.028006615516885
70,3,8,2.765053637183384
71,3,9,4.069372471983339
72,3,10,4.06937247198335
73,3,11,2.7650536371833843
74,3,12,4.069372471983342
75,3,13,2.7650536371833856
76,3,14,2.765053637183382
77,3,15,4.069372471983347
78,3,16,4.039804620846339
79,3,17,3.769189329514708
80,3,18,3.7691893295147096
81,3,19,4.039804620846339
82,3,20,3.769189329514708
83,3,21,4.03980462084634
84,3,22,4.039804620846339
85,3,23,3.769189329514708
86,4,5,3.0234106762770687
87,4,6,3.0234106762770674
88,4,7,0.0
89,4,8,4.09794636265317
90,4,9,2.9376984883055237
91,4,10,2.937698488305532
92,4,11,4.097946362653169
93,4,12,2.937698488305521
94,4,13,4.097946362653167
95,4,14,4.09794636265317
96,4,15,2.9376984883055317
97,4,16,3.907210531894628
98,4,17,4.290491181940154
99,4,18,4.290491181940156
100,4,19,3.907210531894628
101,4,20,4.290491181940154
102,4,21,3.907210531894629
103,4,22,3.907210531894628
104,4,23,4.290491181940155
105,5,6,0.0
106,5,7,2.961039542489953
107,5,8,2.76732449643176
108,5,9,4.073298079979272
109,5,10,4.07329807997928
110,5,11,2.767324496431755
111,5,12,4.073298079979275
112,5,13,2.76732449643176
113,5,14,2.7673244964317574
114,5,15,4.073298079979278
115,5,16,4.130084618315518
116,5,17,3.620282739657663
117,5,18,3.620282739657663
118,5,19,4.13008461831552
119,5,20,3.620282739657664
120,5,21,4.130084618315521
121,5,22,4.1300846183155215
122,5,23,3.620282739657661
123,6,7,2.918427670625222
124,6,8,2.784812675996504
125,6,9,4.119544050024797
126,6,10,4.119544050024799
127,6,11,2.7848126759965037
128,6,12,4.119544050024797
129,6,13,2.784812675996501
130,6,14,2.7848126759965024
131,6,15,4.119544050024798
132,6,16,4.106613289633787
133,6,17,3.7661773481407774
134,6,18,3.766177348140779
135,6,19,4.106613289633788
136,6,20,3.766177348140777
137,6,21,4.106613289633788
138,6,22,4.106613289633788
139,6,23,3.7661773481407783
140,7,8,4.119544050024797
141,7,9,2.784812675996504
142,7,10,2.784812675996504
143,7,11,4.119544050024798
144,7,12,2.784812675996504
145,7,13,4.1195440500247935
146,7,14,4.119544050024799
147,7,15,2.784812675996503
148,7,16,3.76617734814078
149,7,17,4.10661328963379
150,7,18,4.106613289633789
151,7,19,3.766177348140779
152,7,20,4.106613289633789
153,7,21,3.7661773481407783
154,7,22,3.766177348140779
155,7,23,4.10661328963379
156,8,9,2.803655552646981
157,8,10,2.803655552646988
158,8,11,0.0
159,8,12,2.8036555526469784
160,8,13,0.0
161,8,14,0.0
162,8,15,2.803655552646988
163,8,16,3.654556898284553
164,8,17,2.7298809884131088
165,8,18,2.729880988413109
166,8,19,3.6545568982845538
167,8,20,2.7298809884131088
168,8,21,3.654556898284552
169,8,22,3.654556898284554
170,8,23,2.7298809884131106
171,9,10,0.0
172,9,11,2.8022094984648485
173,9,12,0.0
174,9,13,2.8022094984648453
175,9,14,2.802209498464849
176,9,15,0.0
177,9,16,2.8082174123172234
178,9,17,3.69785455347167
179,9,18,3.697854553471669
180,9,19,2.8082174123172265
181,9,20,3.697854553471671
182,9,21,2.8082174123172248
183,9,22,2.8082174123172265
184,9,23,3.697854553471668
185,10,11,2.8153514840473197
186,10,12,0.0
187,10,13,2.8153514840473206
188,10,14,2.81535148404732
189,10,15,0.0
190,10,16,2.757793857808828
191,10,17,3.5698108492878955
192,10,18,3.569810849287894
193,10,19,2.757793857808827
194,10,20,3.5698108492878924
195,10,21,2.757793857808828
196,10,22,2.757793857808827
197,10,23,3.5698108492878946
198,11,12,2.802209498464845
199,11,13,0.0
200,11,14,0.0
201,11,15,2.802209498464848
202,11,16,3.697854553471666
203,11,17,2.8082174123172248
204,11,18,2.808217412317226
205,11,19,3.697854553471667
206,11,20,2.8082174123172274
207,11,21,3.697854553471665
208,11,22,3.697854553471668
209,11,23,2.8082174123172248
210,12,13,2.802209498464844
211,12,14,2.8022094984648462
212,12,15,0.0
213,12,16,2.808217412317225
214,12,17,3.6978545534716663
215,12,18,3.697854553471666
216,12,19,2.808217412317228
217,12,20,3.697854553471669
218,12,21,2.8082174123172265
219,12,22,2.8082174123172274
220,12,23,3.6978545534716663
221,13,14,0.0
222,13,15,2.815351484047316
223,13,16,3.5698108492878937
224,13,17,2.7577938578088226
225,13,18,2.7577938578088244
226,13,19,3.5698108492878924
227,13,20,2.7577938578088235
228,13,21,3.5698108492878924
229,13,22,3.5698108492878924
230,13,23,2.757793857808825
231,14,15,2.815351484047321
232,14,16,3.784748709816408
233,14,17,2.7166592924032145
234,14,18,2.716659292403216
235,14,19,3.78474870981641
236,14,20,2.716659292403216
237,14,21,3.784748709816408
238,14,22,3.7847487098164128
239,14,23,2.716659292403216
240,15,16,2.697284742635965
241,15,17,3.7380761382439847
242,15,18,3.738076138243984
243,15,19,2.697284742635965
244,15,20,3.7380761382439855
245,15,21,2.697284742635965
246,15,22,2.697284742635964
247,15,23,3.738076138243987
248,16,17,3.1382496058116787
249,16,18,3.1382496058116782
250,16,19,0.0
251,16,20,3.1382496058116818
252,16,21,0.0
253,16,22,0.0
254,16,23,3.1382496058116773
255,17,18,0.0
256,17,19,3.0508934631428897
257,17,20,0.0
258,17,21,3.0508934631428897
259,17,22,3.050893463142889
260,17,23,0.0
261,18,19,3.494937634595663
262,18,20,0.0
263,18,21,3.494937634595662
264,18,22,3.494937634595661
265,18,23,0.0
266,19,20,3.1382496058116858
267,19,21,0.0
268,19,22,0.0
269,19,23,3.1382496058116813
270,20,21,3.494937634595665
271,20,22,3.494937634595664
272,20,23,0.0
273,21,22,0.0
274,21,23,3.0508934631428937
275,22,23,3.138249605811682
