,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,1.957499815956563
2,0,3,1.957499815956562
3,0,4,0.1778682855467438
4,0,5,0.1778682855467444
5,0,6,0.1778682855467447
6,0,7,0.1778682855467454
7,0,8,0.8072098958429711
8,0,9,0.8072098958429708
9,0,10,0.8072098958429691
10,0,11,0.8072098958429708
11,0,12,2.356347761611623
12,0,13,2.356347761611622
13,0,14,2.356347761611622
14,0,15,2.356347761611623
15,0,16,1.6370928036240828
16,0,17,1.6370928036240824
17,0,18,1.637092803624082
18,0,19,1.6370928036240824
19,0,20,2.508763864433896
20,0,21,2.508763864433895
21,0,22,2.508763864433896
22,0,23,2.5087638644338965
23,0,24,2.400294917048036
24,0,25,2.400294917048036
25,0,26,2.4002949170480354
26,0,27,2.4002949170480354
27,1,2,1.957499815956563
28,1,3,1.9574998159565624
29,1,4,0.1778682855467428
30,1,5,0.1778682855467434
31,1,6,0.1778682855467437
32,1,7,0.1778682855467444
33,1,8,0.8072098958429718
34,1,9,0.8072098958429716
35,1,10,0.8072098958429696
36,1,11,0.8072098958429713
37,1,12,2.356347761611623
38,1,13,2.356347761611623
39,1,14,2.356347761611623
40,1,15,2.356347761611623
41,1,16,1.6370928036240833
42,1,17,1.6370928036240824
43,1,18,1.6370928036240824
44,1,19,1.6370928036240826
45,1,20,2.508763864433896
46,1,21,2.508763864433895
47,1,22,2.5087638644338965
48,1,23,2.5087638644338965
49,1,24,2.4002949170480363
50,1,25,2.4002949170480363
51,1,26,2.4002949170480363
52,1,27,2.400294917048036
53,2,3,0.0
54,2,4,2.1493568953238302
55,2,5,2.149356895323833
56,2,6,2.1493568953238325
57,2,7,2.149356895323835
58,2,8,2.8371249290593425
59,2,9,2.8371249290593417
60,2,10,2.837124929059339
61,2,11,2.8371249290593425
62,2,12,1.453505184463335
63,2,13,1.453505184463337
64,2,14,1.45350518446334
65,2,15,1.4535051844633389
66,2,16,1.7695936736838864
67,2,17,1.7695936736838855
68,2,18,1.7695936736838898
69,2,19,1.7695936736838864
70,2,20,1.6586441506260696
71,2,21,1.6586441506260694
72,2,22,1.6586441506260707
73,2,23,1.6586441506260703
74,2,24,0.2526176211064206
75,2,25,0.2526176211064201
76,2,26,0.2526176211064201
77,2,27,0.2526176211064203
78,3,4,2.182267016524883
79,3,5,2.1822670165248845
80,3,6,2.1822670165248828
81,3,7,2.182267016524884
82,3,8,2.904188231511366
83,3,9,2.9041882315113643
84,3,10,2.904188231511354
85,3,11,2.9041882315113616
86,3,12,1.4967833917643116
87,3,13,1.496783391764313
88,3,14,1.496783391764314
89,3,15,1.496783391764314
90,3,16,1.7859695044327246
91,3,17,1.7859695044327246
92,3,18,1.785969504432723
93,3,19,1.785969504432721
94,3,20,1.6630862761056728
95,3,21,1.6630862761056733
96,3,22,1.6630862761056728
97,3,23,1.6630862761056746
98,3,24,0.2527447588128975
99,3,25,0.252744758812897
100,3,26,0.2527447588128974
101,3,27,0.2527447588128972
102,4,5,0.0
103,4,6,0.0
104,4,7,0.0
105,4,8,0.6439566633297634
106,4,9,0.6439566633297645
107,4,10,0.6439566633297648
108,4,11,0.6439566633297642
109,4,12,2.785017123876481
110,4,13,2.7850171238764823
111,4,14,2.7850171238764845
112,4,15,2.7850171238764854
113,4,16,1.5867065407791032
114,4,17,1.586706540779102
115,4,18,1.5867065407791012
116,4,19,1.5867065407791032
117,4,20,2.622954146579465
118,4,21,2.622954146579468
119,4,22,2.622954146579468
120,4,23,2.622954146579469
121,4,24,2.7324172783631377
122,4,25,2.732417278363137
123,4,26,2.7324172783631377
124,4,27,2.7324172783631377
125,5,6,0.0
126,5,7,0.0
127,5,8,0.642164546144071
128,5,9,0.6421645461440721
129,5,10,0.642164546144073
130,5,11,0.6421645461440726
131,5,12,2.766380112520015
132,5,13,2.766380112520016
133,5,14,2.7663801125200203
134,5,15,2.766380112520018
135,5,16,1.562904881174086
136,5,17,1.562904881174086
137,5,18,1.562904881174085
138,5,19,1.5629048811740855
139,5,20,2.609362887559893
140,5,21,2.609362887559893
141,5,22,2.609362887559891
142,5,23,2.609362887559892
143,5,24,2.718898807294783
144,5,25,2.718898807294781
145,5,26,2.7188988072947806
146,5,27,2.718898807294781
147,6,7,0.0
148,6,8,0.6439566633297625
149,6,9,0.6439566633297634
150,6,10,0.6439566633297633
151,6,11,0.6439566633297629
152,6,12,2.78501712387648
153,6,13,2.7850171238764805
154,6,14,2.785017123876483
155,6,15,2.7850171238764827
156,6,16,1.5867065407791008
157,6,17,1.5867065407791003
158,6,18,1.586706540779099
159,6,19,1.586706540779101
160,6,20,2.622954146579467
161,6,21,2.622954146579467
162,6,22,2.622954146579468
163,6,23,2.622954146579467
164,6,24,2.732417278363138
165,6,25,2.732417278363137
166,6,26,2.732417278363137
167,6,27,2.732417278363137
168,7,8,0.6421645461440707
169,7,9,0.6421645461440716
170,7,10,0.6421645461440727
171,7,11,0.6421645461440721
172,7,12,2.7663801125200176
173,7,13,2.766380112520019
174,7,14,2.7663801125200225
175,7,15,2.7663801125200203
176,7,16,1.5629048811740862
177,7,17,1.5629048811740864
178,7,18,1.562904881174086
179,7,19,1.5629048811740864
180,7,20,2.6093628875598944
181,7,21,2.609362887559894
182,7,22,2.609362887559893
183,7,23,2.609362887559893
184,7,24,2.7188988072947824
185,7,25,2.718898807294783
186,7,26,2.718898807294783
187,7,27,2.7188988072947837
188,8,9,0.0
189,8,10,0.0
190,8,11,0.0
191,8,12,3.4780066896758703
192,8,13,3.478006689675873
193,8,14,3.4780066896758703
194,8,15,3.478006689675873
195,8,16,1.0100317064357076
196,8,17,1.0100317064357065
197,8,18,1.0100317064357087
198,8,19,1.0100317064357067
199,8,20,3.3427556363046658
200,8,21,3.342755636304665
201,8,22,3.3427556363046667
202,8,23,3.3427556363046675
203,8,24,3.446318645329701
204,8,25,3.446318645329704
205,8,26,3.446318645329701
206,8,27,3.446318645329701
207,9,10,0.0
208,9,11,0.0
209,9,12,3.5127314215000016
210,9,13,3.5127314215000034
211,9,14,3.5127314215000016
212,9,15,3.5127314215000047
213,9,16,1.0088708777687192
214,9,17,1.0088708777687196
215,9,18,1.0088708777687232
216,9,19,1.0088708777687183
217,9,20,3.3866761531293674
218,9,21,3.3866761531293674
219,9,22,3.3866761531293665
220,9,23,3.3866761531293705
221,9,24,3.478206254744819
222,9,25,3.47820625474482
223,9,26,3.4782062547448165
224,9,27,3.478206254744818
225,10,11,0.0
226,10,12,3.478006689675869
227,10,13,3.47800668967587
228,10,14,3.478006689675869
229,10,15,3.478006689675871
230,10,16,1.0100317064357085
231,10,17,1.0100317064357076
232,10,18,1.0100317064357096
233,10,19,1.0100317064357076
234,10,20,3.342755636304662
235,10,21,3.342755636304661
236,10,22,3.342755636304662
237,10,23,3.342755636304664
238,10,24,3.446318645329699
239,10,25,3.446318645329702
240,10,26,3.4463186453296983
241,10,27,3.4463186453296983
242,11,12,3.482311304358672
243,11,13,3.4823113043586726
244,11,14,3.4823113043586744
245,11,15,3.482311304358675
246,11,16,1.0083438445411828
247,11,17,1.0083438445411828
248,11,18,1.008343844541183
249,11,19,1.0083438445411823
250,11,20,3.3696612867875912
251,11,21,3.369661286787589
252,11,22,3.3696612867875886
253,11,23,3.369661286787589
254,11,24,3.463278183386689
255,11,25,3.4632781833866897
256,11,26,3.4632781833866866
257,11,27,3.463278183386689
258,12,13,0.0
259,12,14,0.0
260,12,15,0.0
261,12,16,3.08792474522924
262,12,17,3.08792474522924
263,12,18,3.087924745229252
264,12,19,3.087924745229242
265,12,20,0.1829128438889792
266,12,21,0.1829128438889791
267,12,22,0.1829128438889783
268,12,23,0.182912843888978
269,12,24,1.5051693238515458
270,12,25,1.5051693238515482
271,12,26,1.5056384440426285
272,12,27,1.5051693238515464
273,13,14,0.0
274,13,15,0.0
275,13,16,3.0932754282669594
276,13,17,3.093275428266957
277,13,18,3.0932754282669443
278,13,19,3.0932754282669555
279,13,20,0.1574196506895665
280,13,21,0.1574196506895657
281,13,22,0.157419650689565
282,13,23,0.1574196506895668
283,13,24,1.465746859509317
284,13,25,1.465746859509317
285,13,26,1.4657468595093175
286,13,27,1.465746859509318
287,14,15,0.0
288,14,16,3.0879247452292424
289,14,17,3.08792474522924
290,14,18,3.087924745229251
291,14,19,3.087924745229241
292,14,20,0.1829128438889787
293,14,21,0.1829128438889784
294,14,22,0.182912843888978
295,14,23,0.1829128438889777
296,14,24,1.5051693238515464
297,14,25,1.505169323851547
298,14,26,1.505169323851548
299,14,27,1.505169323851547
300,15,16,3.087924745229245
301,15,17,3.087924745229244
302,15,18,3.087924745229253
303,15,19,3.087924745229244
304,15,20,0.1829128438889797
305,15,21,0.1829128438889795
306,15,22,0.182912843888979
307,15,23,0.1829128438889787
308,15,24,1.505169323851549
309,15,25,1.5051693238515498
310,15,26,1.5051693238515509
311,15,27,1.5051693238515498
312,16,17,0.0
313,16,18,0.0
314,16,19,0.0
315,16,20,2.8594996441081952
316,16,21,2.859499644108195
317,16,22,2.8594996441081952
318,16,23,2.859499644108198
319,16,24,2.3057885150049997
320,16,25,2.305788515005
321,16,26,2.3057885150049984
322,16,27,2.3057885150049984
323,17,18,0.0
324,17,19,0.0
325,17,20,2.8594996441081952
326,17,21,2.8594996441081943
327,17,22,2.8594996441081952
328,17,23,2.859499644108198
329,17,24,2.305788515004999
330,17,25,2.305788515004999
331,17,26,2.305788515004998
332,17,27,2.305788515004997
333,18,19,0.0
334,18,20,2.8157892382485614
335,18,21,2.8157892382485588
336,18,22,2.815789238248557
337,18,23,2.8157892382485614
338,18,24,2.296828730690508
339,18,25,2.2968287306905077
340,18,26,2.2968287306905064
341,18,27,2.296828730690507
342,19,20,2.859499644108196
343,19,21,2.859499644108195
344,19,22,2.859499644108196
345,19,23,2.859499644108198
346,19,24,2.305788515004999
347,19,25,2.305788515005
348,19,26,2.3057885150049984
349,19,27,2.3057885150049984
350,20,21,0.0
351,20,22,0.0
352,20,23,0.0
353,20,24,1.7220164778987088
354,20,25,1.7220164778987088
355,20,26,1.7220164778987082
356,20,27,1.7220164778987082
357,21,22,0.0
358,21,23,0.0
359,21,24,1.7024637799743614
360,21,25,1.7024637799743616
361,21,26,1.702463779974362
362,21,27,1.7024637799743625
363,22,23,0.0
364,22,24,1.7024637799743616
365,22,25,1.7024637799743616
366,22,26,1.7024637799743614
367,22,27,1.7024637799743607
368,23,24,1.7203628848450598
369,23,25,1.7203628848450594
370,23,26,1.7203628848450598
371,23,27,1.7203628848450587
