,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.456018276177401e-31
1,0,2,0,0,3.878655189328391
2,0,3,0,0,6.129382934887964e-30
3,0,4,0,0,2.7587058495832992
4,0,5,0,0,6.504888769165886
5,0,6,0,0,6.02778567048714
6,0,7,0,0,4.472293315557949
7,0,8,0,0,5.954333360542701
8,0,9,0,0,5.95363853670553
9,1,2,0,0,3.8786551893283905
10,1,3,0,0,6.005749904760997e-30
11,1,4,0,0,2.758705849583299
12,1,5,0,0,6.504888769165885
13,1,6,0,0,6.027785670487139
14,1,7,0,0,4.472293315557949
15,1,8,0,0,5.954333360542702
16,1,9,0,0,5.9536385367055304
17,2,3,0,0,3.878655189328392
18,2,4,0,0,6.511392808232255
19,2,5,0,0,2.758799287095977
20,2,6,0,0,7.598738599654129
21,2,7,0,0,0.7652898515053999
22,2,8,0,0,5.963944742631292
23,2,9,0,0,5.962602185868789
24,3,4,0,0,2.758705849583298
25,3,5,0,0,6.504888769165886
26,3,6,0,0,6.027785670487139
27,3,7,0,0,4.472293315557949
28,3,8,0,0,5.954333360542699
29,3,9,0,0,5.953638536705527
30,4,5,0,0,8.56705421349149
31,4,6,0,0,4.930867963709844
32,4,7,0,0,6.647376141345317
33,4,8,0,0,4.95358914693949
34,4,9,0,0,4.954421974824569
35,5,6,0,0,8.567054213491488
36,5,7,0,0,2.0313823179755484
37,5,8,0,0,4.968503548027047
38,5,9,0,0,4.966911908742337
39,6,7,0,0,7.980114296053102
40,6,8,0,0,4.953589146939488
41,6,9,0,0,4.954421974824565
42,7,8,0,0,6.340663633116073
43,7,9,0,0,6.339318513890135
44,8,9,0,0,1.7153773912798717e-06
45,0,1,0,1,7.700894226489866
46,0,2,0,1,7.683539213510674
47,0,3,0,1,7.700894226489866
48,0,4,0,1,6.02778567048714
49,0,5,0,1,7.6008415941035965
50,0,6,0,1,2.7587058495832983
51,0,7,0,1,8.124523783419345
52,0,8,0,1,5.9543333605427
53,0,9,0,1,5.953638536705529
54,1,2,0,1,7.683539213510674
55,1,3,0,1,7.700894226489866
56,1,4,0,1,6.02778567048714
57,1,5,0,1,7.6008415941035965
58,1,6,0,1,2.758705849583298
59,1,7,0,1,8.124523783419344
60,1,8,0,1,5.954333360542701
61,1,9,0,1,5.95363853670553
62,2,3,0,1,7.677838208678812
63,2,4,0,1,7.598738599654129
64,2,5,0,1,6.02552810442217
65,2,6,0,1,6.511392808232254
66,2,7,0,1,8.11871279459042
67,2,8,0,1,5.96394474263129
68,2,9,0,1,5.962602185868788
69,3,4,0,1,6.027785670487138
70,3,5,0,1,7.600841594103591
71,3,6,0,1,2.7587058495832975
72,3,7,0,1,8.124523783419344
73,3,8,0,1,5.954333360542699
74,3,9,0,1,5.953638536705527
75,4,5,0,1,8.569418221488943
76,4,6,0,1,4.127874830561896e-30
77,4,7,0,1,7.99952907539865
78,4,8,0,1,4.953589146939489
79,4,9,0,1,4.954421974824567
80,5,6,0,1,8.56705421349149
81,5,7,0,1,6.647184901668274
82,5,8,0,1,4.968503548027048
83,5,9,0,1,4.966911908742335
84,6,7,0,1,6.661836146415475
85,6,8,0,1,4.953589146939488
86,6,9,0,1,4.954421974824565
87,7,8,0,1,6.340663633116071
88,7,9,0,1,6.3393185138901345
89,8,9,0,1,1.7153773912796462e-06
90,0,1,0,2,5.883674273734234
91,0,2,0,2,5.8836742737342345
92,0,3,0,2,2.0325737399227553
93,0,4,0,2,0.7657870961014801
94,0,5,0,2,7.635974842642992
95,0,6,0,2,7.635974842642992
96,0,7,0,2,6.525287966626173
97,0,8,0,2,5.971098842794793
98,0,9,0,2,4.1660693650778144
99,1,2,0,2,5.8836742737342345
100,1,3,0,2,2.0325737399227553
101,1,4,0,2,0.76578709610148
102,1,5,0,2,7.635974842642992
103,1,6,0,2,7.635974842642993
104,1,7,0,2,6.525287966626173
105,1,8,0,2,5.971098842794793
106,1,9,0,2,4.166069365077814
107,2,3,0,2,5.891604463075952
108,2,4,0,2,4.47183124253837
109,2,5,0,2,6.036109061139278
110,2,6,0,2,6.036109061139278
111,2,7,0,2,2.759052712895668
112,2,8,0,2,5.961880366130207
113,2,9,0,2,4.161046427332337
114,3,4,0,2,0.7657870961014801
115,3,5,0,2,7.635974842642994
116,3,6,0,2,7.635974842642991
117,3,7,0,2,6.525287966626175
118,3,8,0,2,5.9710988427947935
119,3,9,0,2,4.1660693650778144
120,4,5,0,2,6.641411621768958
121,4,6,0,2,6.641411621768957
122,4,7,0,2,7.980114296053104
123,4,8,0,2,6.338859459020124
124,4,9,0,2,6.339538522791668
125,5,6,0,2,6.637514748881184
126,5,7,0,2,2.031382317975548
127,5,8,0,2,6.341239618722926
128,5,9,0,2,6.341239618722923
129,6,7,0,2,6.647376141345317
130,6,8,0,2,6.3395385227916705
131,6,9,0,2,6.3388594590201235
132,7,8,0,2,6.34079140441685
133,7,9,0,2,4.965845189682086
134,8,9,0,2,6.289178080496414
135,0,1,0,3,7.222438359553709
136,0,2,0,3,7.22243835955371
137,0,3,0,3,5.895754639894697
138,0,4,0,3,8.143688278883472
139,0,5,0,3,2.7590248174334064
140,0,6,0,3,2.759024817433405
141,0,7,0,3,6.012185017993012
142,0,8,0,3,5.973056607722171
143,0,9,0,3,4.165719657959706
144,1,2,0,3,7.222438359553707
145,1,3,0,3,5.8957546398946965
146,1,4,0,3,8.143688278883472
147,1,5,0,3,2.7590248174334056
148,1,6,0,3,2.759024817433405
149,1,7,0,3,6.012185017993011
150,1,8,0,3,5.973056607722171
151,1,9,0,3,4.165719657959706
152,2,3,0,3,7.227351408343403
153,2,4,0,3,8.115955841721355
154,2,5,0,3,6.516593749908274
155,2,6,0,3,6.516593749908274
156,2,7,0,3,7.598599146237838
157,2,8,0,3,5.964001950931376
158,2,9,0,3,4.162624773022521
159,3,4,0,3,8.143688278883472
160,3,5,0,3,2.759024817433405
161,3,6,0,3,2.759024817433404
162,3,7,0,3,6.0121850179930085
163,3,8,0,3,5.973056607722172
164,3,9,0,3,4.165719657959706
165,4,5,0,3,2.0311657056954173
166,4,6,0,3,2.031165705695417
167,4,7,0,3,6.6618361464154745
168,4,8,0,3,6.338603433168964
169,4,9,0,3,6.339797431348198
170,5,6,0,3,7.972214765510458
171,5,7,0,3,6.647184901668275
172,5,8,0,3,6.341661621333929
173,5,9,0,3,6.341661621333929
174,6,7,0,3,7.999529075398648
175,6,8,0,3,6.339797431348197
