,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,1.15897781118486
4,0,5,1.1589778111848554
5,0,6,1.158977811184858
6,0,7,1.1589778111848563
7,0,8,1.088062682014285
8,0,9,1.0880626820142834
9,0,10,1.0880626820142816
10,0,11,1.0880626820142811
11,0,12,0.0
12,0,13,0.0
13,0,14,0.0
14,0,15,0.0
15,0,16,2.601387975130707
16,0,17,2.601387975130707
17,0,18,2.601387975130708
18,0,19,2.601387975130708
19,0,20,3.25772472171342
20,0,21,3.25772472171342
21,0,22,3.257724721713422
22,0,23,3.257724721713417
23,1,2,0.0
24,1,3,0.0
25,1,4,1.1681666623631275
26,1,5,1.168166662363124
27,1,6,1.1681666623631255
28,1,7,1.1681666623631275
29,1,8,1.0881034690897642
30,1,9,1.0881034690897635
31,1,10,1.0881034690897626
32,1,11,1.0881034690897655
33,1,12,0.0
34,1,13,0.0
35,1,14,0.0
36,1,15,0.0
37,1,16,2.599715402664451
38,1,17,2.599715402664452
39,1,18,2.599715402664451
40,1,19,2.5997154026644536
41,1,20,3.2528490961175454
42,1,21,3.252849096117545
43,1,22,3.2528490961175467
44,1,23,3.252849096117542
45,2,3,0.0
46,2,4,1.160441571450492
47,2,5,1.16044157145049
48,2,6,1.160441571450492
49,2,7,1.160441571450491
50,2,8,1.0907839096135932
51,2,9,1.0907839096135918
52,2,10,1.090783909613592
53,2,11,1.090783909613592
54,2,12,0.0505166450157661
55,2,13,0.0505166450157663
56,2,14,0.050516645015767
57,2,15,0.0505166450157667
58,2,16,2.604364199725573
59,2,17,2.6043641997255738
60,2,18,2.6043641997255738
61,2,19,2.6043641997255738
62,2,20,3.238170070771994
63,2,21,3.238170070771991
64,2,22,3.2381700707719943
65,2,23,3.238170070771993
66,3,4,1.1681001002396163
67,3,5,1.1681001002396163
68,3,6,1.168100100239617
69,3,7,1.1681001002396172
70,3,8,1.089617493919829
71,3,9,1.089617493919831
72,3,10,1.0896174939198309
73,3,11,1.089617493919831
74,3,12,0.0
75,3,13,0.0
76,3,14,0.0
77,3,15,0.0
78,3,16,2.595124913397973
79,3,17,2.595124913397972
80,3,18,2.59512491339798
81,3,19,2.5951249133979744
82,3,20,3.235351510721087
83,3,21,3.2353515107210877
84,3,22,3.235351510721088
85,3,23,3.2353515107210864
86,4,5,0.0
87,4,6,0.0
88,4,7,0.0
89,4,8,0.0
90,4,9,0.0
91,4,10,0.0
92,4,11,0.0
93,4,12,1.089617493919833
94,4,13,1.0896174939198335
95,4,14,1.0896174939198326
96,4,15,1.0896174939198338
97,4,16,2.595124913397975
98,4,17,2.595124913397973
99,4,18,2.595124913397981
100,4,19,2.5951249133979752
101,4,20,3.235351510721086
102,4,21,3.2353515107210886
103,4,22,3.235351510721088
104,4,23,3.235351510721087
105,5,6,0.0
106,5,7,0.0
107,5,8,0.0
108,5,9,0.0
109,5,10,0.0
110,5,11,0.0
111,5,12,1.08961749391983
112,5,13,1.0896174939198304
113,5,14,1.089617493919829
114,5,15,1.0896174939198304
115,5,16,2.595124913397973
116,5,17,2.595124913397972
117,5,18,2.59512491339798
118,5,19,2.5951249133979744
119,5,20,3.235351510721086
120,5,21,3.235351510721087
121,5,22,3.2353515107210864
122,5,23,3.2353515107210846
123,6,7,0.0
124,6,8,0.0
125,6,9,0.0
126,6,10,0.0
127,6,11,0.0
128,6,12,1.0881034690897629
129,6,13,1.0881034690897673
130,6,14,1.0881034690897646
131,6,15,1.0881034690897635
132,6,16,2.599715402664452
133,6,17,2.599715402664452
134,6,18,2.599715402664452
135,6,19,2.599715402664453
136,6,20,3.252849096117544
137,6,21,3.252849096117546
138,6,22,3.252849096117545
139,6,23,3.2528490961175427
140,7,8,0.0
141,7,9,0.0
142,7,10,0.0
143,7,11,0.0
144,7,12,1.0880626820142805
145,7,13,1.0880626820142811
146,7,14,1.0880626820142836
147,7,15,1.088062682014283
148,7,16,2.601387975130705
149,7,17,2.6013879751307063
150,7,18,2.601387975130707
151,7,19,2.601387975130708
152,7,20,3.2577247217134206
153,7,21,3.257724721713419
154,7,22,3.257724721713422
155,7,23,3.2577247217134184
156,8,9,0.0
157,8,10,0.0
158,8,11,0.0
159,8,12,1.016817661086103
160,8,13,1.0168176610861024
161,8,14,1.0168176610861022
162,8,15,1.0168176610861022
163,8,16,2.4944213430506
164,8,17,2.4944213430506
165,8,18,2.494421343050605
166,8,19,2.494421343050602
167,8,20,3.2729346460918816
168,8,21,3.27293464609188
169,8,22,3.2729346460918816
170,8,23,3.27293464609188
171,9,10,0.0
172,9,11,0.0
173,9,12,1.016817661086102
174,9,13,1.016817661086101
175,9,14,1.016817661086101
176,9,15,1.016817661086101
177,9,16,2.494421343050599
178,9,17,2.494421343050599
179,9,18,2.4944213430506044
180,9,19,2.4944213430506017
181,9,20,3.27293464609188
182,9,21,3.27293464609188
183,9,22,3.272934646091882
184,9,23,3.27293464609188
185,10,11,0.0
186,10,12,1.0176133814984556
187,10,13,1.0176133814984585
188,10,14,1.017613381498458
189,10,15,1.0176133814984567
190,10,16,2.4883637812473456
191,10,17,2.488363781247344
192,10,18,2.488363781247352
193,10,19,2.488363781247348
194,10,20,3.275120957982339
195,10,21,3.2751209579823444
196,10,22,3.275120957982342
197,10,23,3.275120957982341
198,11,12,1.0214780108089383
199,11,13,1.0214780108089392
200,11,14,1.021478010808941
201,11,15,1.02147801080894
202,11,16,2.493418671150505
203,11,17,2.493418671150504
204,11,18,2.493418671150504
205,11,19,2.4934186711505046
206,11,20,3.269880061043513
207,11,21,3.269880061043509
208,11,22,3.2698800610435144
209,11,23,3.2698800610435126
210,12,13,0.0
211,12,14,0.0
212,12,15,0.0
213,12,16,2.491813975022055
214,12,17,2.491813975022056
215,12,18,2.491813975022056
216,12,19,2.491813975022058
217,12,20,3.29223137315928
218,12,21,3.292231373159281
219,12,22,3.292231373159281
220,12,23,3.292231373159276
221,13,14,0.0
222,13,15,0.0
223,13,16,2.4885192418523387
224,13,17,2.4885192418523374
225,13,18,2.488519241852344
226,13,19,2.488519241852341
227,13,20,3.273978029411132
228,13,21,3.273978029411133
229,13,22,3.2739780294111336
230,13,23,3.273978029411132
231,14,15,0.0
232,14,16,2.494421343050601
233,14,17,2.494421343050599
234,14,18,2.4944213430506053
235,14,19,2.4944213430506017
236,14,20,3.27293464609188
237,14,21,3.27293464609188
238,14,22,3.272934646091881
239,14,23,3.272934646091878
240,15,16,2.4883629985282667
241,15,17,2.4883629985282667
242,15,18,2.488362998528273
243,15,19,2.48836299852827
244,15,20,3.2775923799553794
245,15,21,3.2775923799553834
246,15,22,3.2775923799553817
247,15,23,3.2775923799553777
248,16,17,0.0
249,16,18,0.0
250,16,19,0.0
251,16,20,1.8230907194652015
252,16,21,1.8230907194652
253,16,22,1.8230907194652015
