,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.0
4,0,5,0.0
5,0,6,1.409916211225253
6,0,7,1.409916209703687
7,0,8,1.4099162117837614
8,0,9,1.4099162104190526
9,0,10,1.4099162097598692
10,0,11,1.4099162100220222
11,0,12,1.4099162097598688
12,0,13,1.4099162100220226
13,0,14,1.4099162104190537
14,0,15,1.4099162097036873
15,0,16,1.409916211783761
16,0,17,1.4099162112252532
17,0,18,0.0
18,0,19,0.0
19,0,20,0.0
20,0,21,0.0
21,0,22,0.0
22,0,23,0.0
23,1,2,0.0
24,1,3,0.0
25,1,4,0.0
26,1,5,0.0
27,1,6,1.4048822092868718
28,1,7,1.404882211477813
29,1,8,1.4048822089919313
30,1,9,1.4048822084599568
31,1,10,1.4048822093526274
32,1,11,1.40488221194511
33,1,12,1.4048822093526263
34,1,13,1.4048822119451103
35,1,14,1.4048822084599573
36,1,15,1.404882211477814
37,1,16,1.4048822089919302
38,1,17,1.4048822092868725
39,1,18,0.0
40,1,19,0.0
41,1,20,0.0
42,1,21,0.0
43,1,22,0.0
44,1,23,0.0
45,2,3,0.0
46,2,4,0.0
47,2,5,0.0
48,2,6,1.4048822108467882
49,2,7,1.4048822130377292
50,2,8,1.404882210551847
51,2,9,1.4048822100198737
52,2,10,1.4048822109125445
53,2,11,1.4048822135050258
54,2,12,1.4048822109125425
55,2,13,1.404882213505026
56,2,14,1.4048822100198732
57,2,15,1.4048822130377303
58,2,16,1.404882210551846
59,2,17,1.404882210846789
60,2,18,0.0
61,2,19,0.0
62,2,20,0.0
63,2,21,0.0
64,2,22,0.0
65,2,23,0.0
66,3,4,0.0
67,3,5,0.0
68,3,6,1.4068326998782803
69,3,7,1.4068327034772392
70,3,8,1.4068327013937036
71,3,9,1.4068326990566469
72,3,10,1.406832700368015
73,3,11,1.406832702116375
74,3,12,1.4068327003680146
75,3,13,1.406832702116375
76,3,14,1.4068326990566469
77,3,15,1.4068327034772394
78,3,16,1.4068327013937028
79,3,17,1.4068326998782803
80,3,18,0.0
81,3,19,0.0
82,3,20,0.0
83,3,21,0.0
84,3,22,0.0
85,3,23,0.0
86,4,5,0.0
87,4,6,1.4032100584613088
88,4,7,1.4032100567157908
89,4,8,1.4032100508343417
90,4,9,1.4032100576329083
91,4,10,1.4032100567341017
92,4,11,1.4032100618395835
93,4,12,1.4032100567341006
94,4,13,1.403210061839584
95,4,14,1.4032100576329098
96,4,15,1.4032100567157906
97,4,16,1.4032100508343388
98,4,17,1.4032100584613127
99,4,18,0.0
100,4,19,0.0
101,4,20,0.0
102,4,21,0.0
103,4,22,0.0
104,4,23,0.0
105,5,6,1.4116008483795066
106,5,7,1.4116008467675183
107,5,8,1.4116008519277732
108,5,9,1.4116008475687905
109,5,10,1.41160084681084
110,5,11,1.4116008454861042
111,5,12,1.4116008468108387
112,5,13,1.4116008454861042
113,5,14,1.411600847568791
114,5,15,1.4116008467675198
115,5,16,1.411600851927772
116,5,17,1.4116008483795062
117,5,18,0.0
118,5,19,0.0
119,5,20,0.0
120,5,21,0.0
121,5,22,0.0
122,5,23,0.0
123,6,7,0.0
124,6,8,0.0
125,6,9,0.0
126,6,10,0.0
127,6,11,0.0
128,6,12,0.0
129,6,13,0.0
130,6,14,0.0
131,6,15,0.0
132,6,16,0.0
133,6,17,0.0
134,6,18,1.4116008483795062
135,6,19,1.4116008476215558
136,6,20,1.4116008462968204
137,6,21,1.4116008491902223
138,6,22,1.411600847578234
139,6,23,1.411600852738488
140,7,8,0.0
141,7,9,0.0
142,7,10,0.0
143,7,11,0.0
144,7,12,0.0
145,7,13,0.0
146,7,14,0.0
147,7,15,0.0
148,7,16,0.0
149,7,17,0.0
150,7,18,1.4099162104190526
151,7,19,1.4099162097598688
152,7,20,1.4099162100220226
153,7,21,1.4099162112252528
154,7,22,1.409916209703687
155,7,23,1.4099162117837607
156,8,9,0.0
157,8,10,0.0
158,8,11,0.0
159,8,12,0.0
160,8,13,0.0
161,8,14,0.0
162,8,15,0.0
163,8,16,0.0
164,8,17,0.0
165,8,18,1.4068327009129824
166,8,19,1.40683270222435
167,8,20,1.4068327039727095
168,8,21,1.4068327017346158
169,8,22,1.4068327053335734
170,8,23,1.4068327032500385
171,9,10,0.0
172,9,11,0.0
173,9,12,0.0
174,9,13,0.0
175,9,14,0.0
176,9,15,0.0
177,9,16,0.0
178,9,17,0.0
179,9,18,1.411600847568791
180,9,19,1.41160084681084
181,9,20,1.4116008454861049
182,9,21,1.4116008483795068
183,9,22,1.411600846767519
184,9,23,1.4116008519277723
185,10,11,0.0
186,10,12,0.0
187,10,13,0.0
188,10,14,0.0
189,10,15,0.0
190,10,16,0.0
191,10,17,0.0
192,10,18,1.4032100503683531
193,10,19,1.403210053803469
194,10,20,1.4032100567341022
195,10,21,1.4032100511967536
196,10,22,1.4032100554909386
197,10,23,1.4032100462491786
198,11,12,0.0
199,11,13,0.0
200,11,14,0.0
201,11,15,0.0
202,11,16,0.0
203,11,17,0.0
204,11,18,1.4032100554738347
205,11,19,1.4032100589089511
206,11,20,1.403210061839584
207,11,21,1.4032100563022354
208,11,22,1.4032100605964204
209,11,23,1.40321005135466
210,12,13,0.0
211,12,14,0.0
212,12,15,0.0
213,12,16,0.0
214,12,17,0.0
215,12,18,1.4099162104752343
216,12,19,1.409916209816051
217,12,20,1.4099162100782046
218,12,21,1.409916211281435
219,12,22,1.4099162097598688
220,12,23,1.4099162118399426
221,13,14,0.0
222,13,15,0.0
223,13,16,0.0
224,13,17,0.0
225,13,18,1.4032100554738345
226,13,19,1.4032100589089511
227,13,20,1.4032100618395835
228,13,21,1.4032100563022352
229,13,22,1.4032100605964204
230,13,23,1.40321005135466
231,14,15,0.0
232,14,16,0.0
233,14,17,0.0
234,14,18,1.4048822091929574
235,14,19,1.4048822100856269
236,14,20,1.4048822126781106
237,14,21,1.4048822100198732
238,14,22,1.4048822122108136
239,14,23,1.4048822097249312
240,15,16,0.0
241,15,17,0.0
242,15,18,1.4099162104190528
243,15,19,1.409916209759869
244,15,20,1.4099162100220226
245,15,21,1.409916211225253
246,15,22,1.4099162097036868
247,15,23,1.409916211783761
248,16,17,0.0
249,16,18,1.409916212499126
250,16,19,1.4099162118399422
251,16,20,1.4099162121020954
252,16,21,1.4099162133053262
253,16,22,1.40991621178376
254,16,23,1.4099162138638357
255,17,18,1.4032100520955648
256,17,19,1.4032100555306808
257,17,20,1.4032100584613134
258,17,21,1.4032100529239648
259,17,22,1.4032100572181498
260,17,23,1.4032100479763905
261,18,19,0.0
262,18,20,0.0
263,18,21,0.0
264,18,22,0.0
265,18,23,0.0
266,19,20,0.0
267,19,21,0.0
268,19,22,0.0
269,19,23,0.0
270,20,21,0.0
271,20,22,0.0
272,20,23,0.0
273,21,22,0.0
