,neighbor_num,isite,atom,x,y,z,front_index
0,0,18,Si1,0.0,0.0,0.0,
1,1,54,O1,1.5206972167200288,-2.5100116830417422e-17,-0.5368700897251095,0.0
2,1,42,O1,-0.7585987052479524,-1.3093724028033502,-0.5406730556311012,0.0
3,1,59,O1,1.1102230246251565e-16,-1.8184992995993314e-16,1.6086202457930832,0.0
4,1,61,O1,-0.751713691053989,1.3165545339450282,-0.5355959751682394,0.0
5,2,21,Si1,2.817575597535743,0.4127523310670891,0.3246482554342127,1.0
6,2,2,Si1,-1.5171974104959047,-2.618744805606701,-1.0813461112622027,2.0
7,2,15,Si1,0.04133699088044107,0.02314778945300374,3.216542671845967,3.0
8,2,13,Si1,-1.494042439450776,2.6355337885151764,-1.0782690978699963,4.0
9,3,69,O1,3.5655946980656594,-0.9070666744655878,0.8548228256625057,5.0
10,3,71,O1,2.3369178844408918,1.308621697076468,1.5691701698137681,5.0
11,3,55,O1,3.824545508456567,1.290103465514064,-0.5757619099122638,5.0
12,3,38,O1,-0.7654837194419158,-3.9352993395517295,-0.5457501360939633,6.0
13,3,26,O1,-3.0378946272159326,-2.6187448056067013,-0.5444760215370934,6.0
14,3,34,O1,-1.5171974104959052,-2.618744805606701,-2.6899663570552863,6.0
15,3,63,O1,0.7847832837583415,-1.2980363023826262,3.7522782109622455,7.0
16,3,51,O1,0.8492902604252166,1.3271399286388679,3.7141022495398013,7.0
17,3,67,O1,-1.4570640059436484,0.06865088812236084,3.7953166852919953,7.0
18,3,57,O1,-1.9952489843092631,3.5196765338076608,0.1686241215008879,8.0
19,3,41,O1,-2.7538476895572153,2.210304131004311,-1.980669179923296,8.0
20,3,49,O1,-0.4625802736833784,3.498558474604815,-1.9682262372715522,8.0
21,4,22,Si1,4.310819937392794,-2.2213735868345634,1.4023413548544912,9.0
22,4,23,Si1,1.8562601713460414,2.204491063085845,2.8136920841933244,10.0
23,4,19,Si1,4.6324987780013425,2.5940956046999295,-0.07820233221842887,11.0
24,4,5,Si1,-0.02315497104512793,-5.254278594121877,-0.0030770133922064574,12.0
25,4,11,Si1,-4.334773008031647,-3.0314971366737895,-1.4059943666964159,13.0
26,4,7,Si1,-1.5585344013763451,-2.641892595059703,-4.297888783108168,14.0
27,4,16,Si1,1.5353794303312174,-2.6123859990621736,4.294811769715962,15.0
28,4,23,Si1,1.8562601713460425,2.2044910630858436,2.813692084193325,16.0
29,4,7,Si1,-2.9554650027677365,0.11415398679171727,4.374090698738025,17.0
30,4,16,Si1,-2.4551185382873086,4.426967068553148,1.4148195211315717,18.0
31,4,5,Si1,-4.013652939663654,1.785074473493444,-2.8830692619765976,19.0
32,4,22,Si1,0.3203219687742691,4.817979480780758,-1.4776508937298984,20.0
