,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.108195349906693
1,0,2,0,0,2.5884202149041964
2,0,3,0,0,3.9138236428571265
3,0,4,0,0,4.108195349906693
4,0,5,0,0,4.479244259082128
5,0,6,0,0,3.9138236428571265
6,0,7,0,0,2.8654106697863715
7,0,8,0,0,4.504077774218699
8,0,9,0,0,4.954126419001819
9,0,10,0,0,4.504077774218701
10,0,11,0,0,5.571926740435116
11,0,12,0,0,4.261404538811337
12,0,13,0,0,2.8654106697863706
13,0,14,0,0,4.690122368526615
14,0,15,0,0,3.0692038608662053
15,0,16,0,0,2.5884202149041933
16,0,17,0,0,3.9138236428571256
17,0,18,0,0,4.2614045388113375
18,0,19,0,0,2.5884202149041977
19,0,20,0,0,5.388005205342885
20,0,21,0,0,5.388005205342886
21,0,22,0,0,5.3880052053428855
22,0,23,0,0,4.504077774218699
23,1,2,0,0,4.480414552951051
24,1,3,0,0,2.5685069533600697
25,1,4,0,0,1.939528997733662e-30
26,1,5,0,0,2.9396376835278546
27,1,6,0,0,2.568506953360068
28,1,7,0,0,4.261404538811337
29,1,8,0,0,3.423267654763707
30,1,9,0,0,5.375900459693353
31,1,10,0,0,3.42326765476371
32,1,11,0,0,1.7125864040843133
33,1,12,0,0,3.828262213544199
34,1,13,0,0,4.261404538811337
35,1,14,0,0,4.0210055305172645
36,1,15,0,0,2.522937805442811
37,1,16,0,0,4.480414552951052
38,1,17,0,0,2.5685069533600653
39,1,18,0,0,3.828262213544199
40,1,19,0,0,4.480414552951052
41,1,20,0,0,5.602422294845027
42,1,21,0,0,5.602422294845026
43,1,22,0,0,5.6024222948450255
44,1,23,0,0,3.4232676547637078
45,2,3,0,0,4.681184079592334
46,2,4,0,0,4.4804145529510535
47,2,5,0,0,4.110309358978055
48,2,6,0,0,4.681184079592334
49,2,7,0,0,3.069203860866203
50,2,8,0,0,4.478635690097076
51,2,9,0,0,3.344497807672881
52,2,10,0,0,4.478635690097077
53,2,11,0,0,5.521614628903151
54,2,12,0,0,2.522937805442811
55,2,13,0,0,3.069203860866203
56,2,14,0,0,3.902913361356462
57,2,15,0,0,3.0390931993970973
58,2,16,0,0,5.110754716452785e-30
59,2,17,0,0,4.681184079592335
60,2,18,0,0,2.5229378054428113
61,2,19,0,0,2.8455504673188465e-30
62,2,20,0,0,5.472244920729524
63,2,21,0,0,5.472244920729524
64,2,22,0,0,5.472244920729524
65,2,23,0,0,4.478635690097075
66,3,4,0,0,2.5685069533600706
67,3,5,0,0,4.0207703413130425
68,3,6,0,0,4.487431360800626e-30
69,3,7,0,0,2.5222941226661466
70,3,8,0,0,4.963867592273335
71,3,9,0,0,5.509658740871351
72,3,10,0,0,4.963867592273336
73,3,11,0,0,3.605036768802171
74,3,12,0,0,4.020764786597375
75,3,13,0,0,2.522294122666146
76,3,14,0,0,3.827852851140571
77,3,15,0,0,4.2544087646959
78,3,16,0,0,4.6811840795923345
79,3,17,0,0,2.5267006283131774e-29
80,3,18,0,0,4.020764786597375
81,3,19,0,0,4.681184079592334
82,3,20,0,0,5.579771408918286
83,3,21,0,0,5.579771408918289
84,3,22,0,0,5.579771408918286
85,3,23,0,0,4.963867592273335
86,4,5,0,0,2.9396376835278564
87,4,6,0,0,2.5685069533600697
88,4,7,0,0,4.2614045388113375
