,isite_i,isite_j,distance
0,0,1,2.5222941226661475
1,0,2,2.522294122666146
2,0,3,0.0
3,0,4,2.5222941226661497
4,0,5,0.0
5,0,6,0.0
6,0,7,2.5222941226661484
7,0,8,1.7401433209333763
8,0,9,1.7401433209333772
9,0,10,1.7401433209333774
10,0,11,1.7401433209333768
11,0,12,0.0
12,0,13,2.5222941226661466
13,0,14,2.522294122666147
14,0,15,0.0
15,0,16,2.5222941226661475
16,0,17,0.0
17,0,18,0.0
18,0,19,2.5222941226661484
19,0,20,1.740143320933377
20,0,21,1.7401433209333763
21,0,22,1.7401433209333763
22,0,23,1.7401433209333768
23,1,2,0.0
24,1,3,2.5229378054428104
25,1,4,0.0
26,1,5,2.5229378054428118
27,1,6,2.522937805442812
28,1,7,0.0
29,1,8,1.712586404084313
30,1,9,1.712586404084313
31,1,10,1.7125864040843135
32,1,11,1.7125864040843133
33,1,12,2.522937805442812
34,1,13,0.0
35,1,14,0.0
36,1,15,2.522937805442811
37,1,16,0.0
38,1,17,2.522937805442813
39,1,18,2.522937805442812
40,1,19,0.0
41,1,20,1.712586404084313
42,1,21,1.712586404084313
43,1,22,1.7125864040843135
44,1,23,1.7125864040843128
45,2,3,2.5229378054428104
46,2,4,0.0
47,2,5,2.5229378054428118
48,2,6,2.5229378054428127
49,2,7,0.0
50,2,8,1.7586318032772357
51,2,9,1.7586318032772368
52,2,10,1.7586318032772372
53,2,11,1.7586318032772357
54,2,12,2.522937805442811
55,2,13,0.0
56,2,14,0.0
57,2,15,2.5229378054428118
58,2,16,0.0
59,2,17,2.522937805442812
60,2,18,2.5229378054428118
61,2,19,0.0
62,2,20,1.7586318032772372
63,2,21,1.758631803277236
64,2,22,1.758631803277236
65,2,23,1.7586318032772366
66,3,4,2.522294122666149
67,3,5,0.0
68,3,6,0.0
69,3,7,2.5222941226661466
70,3,8,1.7082026587112966
71,3,9,1.7082026587112964
72,3,10,1.708202658711297
73,3,11,1.7082026587112968
74,3,12,0.0
75,3,13,2.522294122666146
76,3,14,2.522294122666147
77,3,15,0.0
78,3,16,2.5222941226661475
79,3,17,0.0
80,3,18,0.0
81,3,19,2.5222941226661484
82,3,20,1.7082026587112955
83,3,21,1.7082026587112968
84,3,22,1.7082026587112966
85,3,23,1.708202658711297
86,4,5,2.522937805442812
87,4,6,2.5229378054428127
88,4,7,0.0
89,4,8,1.7125864040843135
90,4,9,1.7125864040843135
91,4,10,1.7125864040843142
92,4,11,1.7125864040843135
93,4,12,2.5229378054428127
94,4,13,0.0
95,4,14,0.0
96,4,15,2.522937805442812
97,4,16,0.0
98,4,17,2.5229378054428144
99,4,18,2.522937805442812
100,4,19,0.0
101,4,20,1.7125864040843133
102,4,21,1.7125864040843135
103,4,22,1.7125864040843142
104,4,23,1.7125864040843135
105,5,6,0.0
106,5,7,2.522582750240125
107,5,8,1.7080450858752347
108,5,9,1.708045085875235
109,5,10,1.7080450858752352
110,5,11,1.708045085875235
111,5,12,0.0
112,5,13,2.522582750240124
113,5,14,2.522582750240124
114,5,15,0.0
115,5,16,2.522582750240125
116,5,17,0.0
117,5,18,0.0
118,5,19,2.522582750240124
119,5,20,1.7080450858752334
120,5,21,1.7080450858752338
121,5,22,1.7080450858752336
122,5,23,1.7080450858752347
123,6,7,2.5222941226661493
124,6,8,1.708202658711297
125,6,9,1.708202658711297
126,6,10,1.708202658711297
127,6,11,1.708202658711297
128,6,12,0.0
129,6,13,2.5222941226661484
130,6,14,2.5222941226661493
131,6,15,0.0
132,6,16,2.5222941226661493
133,6,17,0.0
134,6,18,0.0
135,6,19,2.52229412266615
136,6,20,1.7082026587112962
137,6,21,1.7082026587112968
138,6,22,1.708202658711297
139,6,23,1.7082026587112975
140,7,8,1.7401433209333768
141,7,9,1.7401433209333763
142,7,10,1.7401433209333776
143,7,11,1.7401433209333772
144,7,12,2.522294122666148
145,7,13,0.0
146,7,14,0.0
147,7,15,2.5222941226661484
148,7,16,0.0
149,7,17,2.522294122666149
150,7,18,2.5222941226661475
151,7,19,0.0
152,7,20,1.7401433209333768
153,7,21,1.7401433209333768
154,7,22,1.7401433209333768
155,7,23,1.7401433209333776
156,8,9,0.0
157,8,10,0.0
158,8,11,0.0
159,8,12,1.758631803277236
160,8,13,1.710218681510219
161,8,14,1.7102186815102207
162,8,15,1.758631803277235
163,8,16,1.7102186815102198
164,8,17,1.758631803277237
165,8,18,1.7586318032772366
166,8,19,1.7102186815102205
167,8,20,0.0
168,8,21,0.0
169,8,22,0.0
170,8,23,0.0
171,9,10,0.0
172,9,11,0.0
173,9,12,1.7125864040843135
174,9,13,1.7298937473571077
175,9,14,1.7298937473571083
176,9,15,1.7125864040843144
177,9,16,1.7298937473571072
178,9,17,1.712586404084314
179,9,18,1.7125864040843133
180,9,19,1.7298937473571092
181,9,20,0.0
182,9,21,0.0
183,9,22,0.0
184,9,23,0.0
185,10,11,0.0
186,10,12,1.7586318032772374
187,10,13,1.7102186815102194
188,10,14,1.7102186815102205
189,10,15,1.758631803277236
190,10,16,1.71021868151022
191,10,17,1.758631803277239
192,10,18,1.758631803277238
193,10,19,1.710218681510221
194,10,20,0.0
195,10,21,0.0
196,10,22,0.0
197,10,23,0.0
198,11,12,1.729893747357108
199,11,13,1.7125864040843122
200,11,14,1.7125864040843135
201,11,15,1.729893747357108
202,11,16,1.7125864040843128
203,11,17,1.7298937473571068
204,11,18,1.729893747357108
205,11,19,1.712586404084314
206,11,20,0.0
207,11,21,0.0
208,11,22,0.0
209,11,23,0.0
210,12,13,2.522937805442811
211,12,14,2.522937805442811
212,12,15,0.0
213,12,16,2.5229378054428104
214,12,17,0.0
215,12,18,0.0
216,12,19,2.522937805442811
217,12,20,1.712586404084313
218,12,21,1.7125864040843135
219,12,22,1.712586404084313
220,12,23,1.7125864040843135
221,13,14,0.0
222,13,15,2.5222941226661484
223,13,16,0.0
224,13,17,2.5222941226661484
225,13,18,2.522294122666147
226,13,19,0.0
227,13,20,1.7401433209333754
228,13,21,1.740143320933376
229,13,22,1.7401433209333754
230,13,23,1.7401433209333763
231,14,15,2.522582750240123
232,14,16,0.0
233,14,17,2.522582750240123
234,14,18,2.522582750240122
235,14,19,0.0
236,14,20,1.7080450858752334
237,14,21,1.7080450858752343
238,14,22,1.7080450858752354
239,14,23,1.7080450858752347
240,15,16,2.522937805442811
241,15,17,0.0
242,15,18,0.0
243,15,19,2.5229378054428118
