,neighbor_num,isite,atom,x,y,z,front_index
0,0,29,Si1,0.0,0.0,0.0,
1,1,81,O1,-0.7621882019993141,-1.3117476690652952,-0.5398306724664798,0.0
2,1,91,O1,1.516703489860395,-7.338910555339544e-18,-0.5358009061363556,0.0
3,1,93,O1,-0.7497904435488612,1.3169236723840527,-0.5367104849064765,0.0
4,1,86,O1,0.0,-1.3583069967385026e-17,1.6074633973730048,0.0
5,2,21,Si1,-0.7185151158232601,-2.7201198278689493,-1.3183656270109696,1.0
6,2,27,Si1,2.819631145455835,-0.7473342489186502,-1.1114250298916117,2.0
7,2,25,Si1,-1.4995808870977227,2.6338473447681032,-1.0734209698129538,3.0
8,2,28,Si1,-0.08621853440791116,-0.14617227336971397,3.2059434894343495,4.0
9,3,64,O1,-2.118707347387825,-3.4839556995211214,-1.1095418293986956,5.0
10,3,75,O1,0.4819843745264189,-3.6172518543021175,-0.7285534903845354,5.0
11,3,70,O1,-0.46861886168269573,-2.455318860825347,-2.8851945682625186,5.0
12,3,85,O1,2.8648105743468832,-0.5893924746626445,-2.7104721802420655,6.0
13,3,95,O1,4.135817356077823,-0.08420738550792874,-0.46920354572681244,6.0
14,3,79,O1,2.759774129096103,-2.30935642363331,-0.7247289983720346,6.0
15,3,89,O1,-3.0162843769581174,2.633847344768105,-0.5376200636765971,7.0
16,3,77,O1,-0.7373926850984098,3.945595013833401,-0.533590297346473,7.0
17,3,84,O1,-1.4995808870977232,2.633847344768105,-2.6808843671859584,7.0
18,3,92,O1,-0.8669351913856966,1.118320040088246,3.819190995303238,8.0
19,3,80,O1,-0.8730539913520956,-1.4997061466700465,3.582594488403993,8.0
20,3,90,O1,1.3995587420235593,-0.1986036322958069,3.82010057407336,8.0
21,4,0,Si1,-3.5038113354310063,-4.2222114233335954,-1.4617581424374324,9.0
22,4,19,Si1,1.9579681873824804,-3.551324281613314,-0.08742277435230372,10.0
23,4,20,Si1,-0.6334680288937174,-2.5759335908221934,-4.480750101643222,11.0
24,4,26,Si1,2.905849679863746,-0.601161975548936,-4.317368519325961,12.0
25,4,31,Si1,5.45200356669981,0.5789194779027901,0.17301793843798485,13.0
26,4,19,Si1,1.9579681873824804,-3.551324281613314,-0.08742277435230372,14.0
27,4,31,Si1,-4.31921203255356,3.381181593686754,0.03800406007865842,15.0
28,4,17,Si1,-0.7810657712744626,5.353967172637056,0.2449446571980169,16.0
29,4,24,Si1,-1.4133623526898125,2.7800196181378167,-4.279364459247303,17.0
30,4,24,Si1,-1.647651848363483,2.3828123535462047,4.432438501172125,18.0
31,4,20,Si1,-0.8677575245673887,-2.9731408554138072,4.231052858776205,19.0
32,4,26,Si1,2.671560184190075,-0.9983692401405502,4.394434441093466,20.0
