,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.9375647694226056
4,0,5,0.9375647694226056
5,0,6,0.9375647694226068
6,0,7,0.9375647694226056
7,0,8,0.937564769422604
8,0,9,0.9375647694226042
9,0,10,0.9375647694226044
10,0,11,0.9375647694226046
11,0,12,0.0
12,0,13,0.0
13,0,14,0.0
14,0,15,0.0
15,0,16,5.435496282186463
16,0,17,5.4354962821864605
17,0,18,5.380961331523018
18,0,19,5.380961331523019
19,1,2,0.0
20,1,3,0.0
21,1,4,0.933548752767666
22,1,5,0.9335487527676656
23,1,6,0.9335487527676656
24,1,7,0.9335487527676658
25,1,8,0.9335487527676668
26,1,9,0.9335487527676666
27,1,10,0.9335487527676668
28,1,11,0.933548752767666
29,1,12,0.0
30,1,13,0.0
31,1,14,0.0
32,1,15,0.0
33,1,16,5.439967511597107
34,1,17,5.439967511597106
35,1,18,5.377519058289719
36,1,19,5.377519058289717
37,2,3,0.0
38,2,4,0.933548752767666
39,2,5,0.9335487527676654
40,2,6,0.9335487527676652
41,2,7,0.9335487527676656
42,2,8,0.9335487527676666
43,2,9,0.9335487527676666
44,2,10,0.9335487527676668
45,2,11,0.933548752767666
46,2,12,0.0
47,2,13,0.0
48,2,14,0.0
49,2,15,0.0
50,2,16,5.439967511597109
51,2,17,5.439967511597108
52,2,18,5.37751905828972
53,2,19,5.37751905828972
54,3,4,0.9375647694226058
55,3,5,0.937564769422606
56,3,6,0.937564769422607
57,3,7,0.937564769422606
58,3,8,0.9375647694226044
59,3,9,0.9375647694226048
60,3,10,0.937564769422605
61,3,11,0.937564769422605
62,3,12,0.0
63,3,13,0.0
64,3,14,0.0
65,3,15,0.0
66,3,16,5.435496282186463
67,3,17,5.435496282186462
68,3,18,5.380961331523019
69,3,19,5.380961331523021
70,4,5,0.0
71,4,6,0.0
72,4,7,0.0
73,4,8,0.0
74,4,9,0.0
75,4,10,0.0
76,4,11,0.0
77,4,12,0.9335487527676656
78,4,13,0.9335487527676658
79,4,14,0.9335487527676664
80,4,15,0.933548752767666
81,4,16,5.377519058289719
82,4,17,5.377519058289718
83,4,18,5.43996751159711
84,4,19,5.439967511597109
85,5,6,0.0
86,5,7,0.0
87,5,8,0.0
88,5,9,0.0
89,5,10,0.0
90,5,11,0.0
91,5,12,0.9335487527676656
92,5,13,0.9335487527676656
93,5,14,0.9335487527676648
94,5,15,0.9335487527676656
95,5,16,5.386840478753509
96,5,17,5.386840478753507
97,5,18,5.43983733446508
98,5,19,5.439837334465079
99,6,7,0.0
100,6,8,0.0
101,6,9,0.0
102,6,10,0.0
103,6,11,0.0
104,6,12,0.9335487527676664
105,6,13,0.9335487527676668
106,6,14,0.9335487527676672
107,6,15,0.9335487527676668
108,6,16,5.377519058289719
109,6,17,5.377519058289718
110,6,18,5.439967511597108
111,6,19,5.439967511597109
112,7,8,0.0
113,7,9,0.0
114,7,10,0.0
115,7,11,0.0
116,7,12,0.9259801593557964
117,7,13,0.9259801593557966
118,7,14,0.9259801593557964
119,7,15,0.925980159355797
120,7,16,5.387526337443734
121,7,17,5.387526337443732
122,7,18,5.428009684157308
123,7,19,5.428009684157308
124,8,9,0.0
125,8,10,0.0
126,8,11,0.0
127,8,12,0.9386873599614886
128,8,13,0.9386873599614888
129,8,14,0.9386873599614888
130,8,15,0.9386873599614892
131,8,16,5.388107474923936
132,8,17,5.388107474923936
133,8,18,5.443720155310602
134,8,19,5.443720155310603
135,9,10,0.0
136,9,11,0.0
137,9,12,0.9386873599614892
138,9,13,0.9386873599614896
139,9,14,0.9386873599614896
140,9,15,0.9386873599614896
141,9,16,5.388107474923937
142,9,17,5.388107474923936
143,9,18,5.4437201553106025
144,9,19,5.443720155310603
145,10,11,0.0
146,10,12,0.9335487527676648
147,10,13,0.9335487527676656
148,10,14,0.9335487527676658
149,10,15,0.9335487527676656
150,10,16,5.377519058289719
151,10,17,5.377519058289717
152,10,18,5.439967511597109
153,10,19,5.439967511597108
154,11,12,0.9386873599614892
155,11,13,0.9386873599614896
156,11,14,0.9386873599614898
157,11,15,0.93868735996149
158,11,16,5.388107474923935
159,11,17,5.388107474923934
160,11,18,5.443720155310602
161,11,19,5.443720155310603
162,12,13,0.0
163,12,14,0.0
164,12,15,0.0
165,12,16,5.440177821591236
166,12,17,5.440177821591236
167,12,18,5.3794387147459695
168,12,19,5.379438714745969
169,13,14,0.0
170,13,15,0.0
171,13,16,5.440177821591239
172,13,17,5.440177821591236
173,13,18,5.3794387147459695
174,13,19,5.37943871474597
175,14,15,0.0
176,14,16,5.443720155310603
177,14,17,5.443720155310602
178,14,18,5.388107474923935
179,14,19,5.388107474923934
180,15,16,5.440177821591238
181,15,17,5.440177821591236
182,15,18,5.3794387147459695
183,15,19,5.3794387147459695
184,16,17,0.0
185,16,18,1.875623745959196
186,16,19,1.875623745959196
187,17,18,1.875623745959196
188,17,19,1.875623745959196
189,18,19,0.0
