,isite_i,isite_j,distance
0,0,1,2.5396322629433787
1,0,2,2.5396322629433787
2,0,3,0.0
3,0,4,2.5396322629433765
4,0,5,0.0
5,0,6,0.0
6,0,7,2.5396322629433783
7,0,8,2.9518870201434737
8,0,9,2.951887020143474
9,0,10,2.9518870201434724
10,0,11,2.9518870201434724
11,1,2,0.0
12,1,3,2.5392664357640835
13,1,4,0.0
14,1,5,2.539266435764084
15,1,6,2.539266435764084
16,1,7,0.0
17,1,8,2.9492639377714944
18,1,9,2.949263937771495
19,1,10,2.949263937771493
20,1,11,2.9492639377714926
21,2,3,2.540418465392483
22,2,4,0.0
23,2,5,2.540418465392484
24,2,6,2.5404184653924835
25,2,7,0.0
26,2,8,2.95557741201585
27,2,9,2.95557741201585
28,2,10,2.9555774120158493
29,2,11,2.955577412015852
30,3,4,2.5404184653924826
31,3,5,0.0
32,3,6,0.0
33,3,7,2.5404184653924844
34,3,8,2.955577412015849
35,3,9,2.955577412015849
36,3,10,2.95557741201585
37,3,11,2.9555774120158502
38,4,5,2.5404184653924835
39,4,6,2.540418465392482
40,4,7,0.0
41,4,8,2.955577412015851
42,4,9,2.95557741201585
43,4,10,2.95557741201585
44,4,11,2.955577412015852
45,5,6,0.0
46,5,7,2.53941549659553
47,5,8,2.9495954781811315
48,5,9,2.949595478181133
49,5,10,2.949595478181132
50,5,11,2.9495954781811315
51,6,7,2.539415496595529
52,6,8,2.9495954781811307
53,6,9,2.9495954781811315
54,6,10,2.9495954781811315
55,6,11,2.9495954781811307
56,7,8,2.95628202654039
57,7,9,2.9562820265403897
58,7,10,2.9562820265403924
59,7,11,2.95628202654039
60,8,9,0.0
61,8,10,0.0
62,8,11,0.0
63,9,10,0.0
64,9,11,0.0
65,10,11,0.0
