,neighbor_num,isite,atom,x,y,z,front_index
0,0,20,Si1,0.0,0.0,0.0,
1,1,70,O1,0.0,5.551115123125783e-17,1.6072251023886484,0.0
2,1,68,O1,-0.7585762333920398,-1.3102574779141583,-0.5408479029739306,0.0
3,1,54,O1,-0.7558237896204001,1.3164144109742681,-0.5329525198746112,0.0
4,1,52,O1,1.5179645919377929,0.0,-0.5329525198746112,0.0
5,2,22,Si1,-5.551115123125783e-16,-8.881784197001252e-16,3.2144502047772963,1.0
6,2,21,Si1,-1.5184464187395856,-2.6227499457359,-1.074411242962353,2.0
7,2,14,Si1,-1.2173708304395023,2.5941241097541283,-1.3975887354225933,3.0
8,2,12,Si1,2.8558374941000584,0.23593186072446637,-1.3975887354225938,4.0
9,3,58,O1,0.7558237896203996,-1.3164144109742693,3.7474027246519084,5.0
10,3,69,O1,0.7585762333920388,1.3102574779141565,3.755298107751228,5.0
11,3,56,O1,-1.5179645919377933,-1.0547118733938987e-15,3.7474027246519084,5.0
12,3,53,O1,-0.5093315338287184,-3.5016650823005455,-1.9674119275009756,6.0
13,3,55,O1,-2.7831199153869117,-2.185250671326277,-1.9674119275009758,6.0
14,3,71,O1,-2.025675585298273,-3.4988659895089382,0.17391234496821967,6.0
15,3,37,O1,-2.8058848264359817,2.7931310853989935,-1.2455918768110072,7.0
16,3,50,O1,-0.8462693568094868,2.355028132395689,-2.945626763553987,7.0
17,3,65,O1,-0.4579858770752707,3.905778456360525,-0.8612936843146057,7.0
18,3,64,O1,3.6152224474642902,1.547586207330864,-0.8612936843146061,8.0
19,3,48,O1,2.4637093011930578,0.4387092520846624,-2.945626763553988,8.0
20,3,60,O1,3.8193726955867264,-1.0425752402836048,-1.2455918768110075,8.0
21,4,18,Si1,1.2173708304395015,-2.594124109754129,4.612038940199891,9.0
22,4,23,Si1,1.518446418739585,2.622749945735899,4.288861447739649,10.0
23,4,16,Si1,-2.8558374941000593,-0.2359318607244677,4.612038940199891,11.0
24,4,13,Si1,0.3229327422430972,-4.139050172557509,-3.189803007301097,12.0
25,4,15,Si1,-3.7502755822964637,-1.7808579235278468,-3.189803007301096,13.0
26,4,23,Si1,-2.532904751856962,-4.374982033281977,1.4222359328987926,14.0
27,4,1,Si1,-4.276649194481337,3.1955221426340286,-1.7564902498806685,15.0
28,4,16,Si1,-1.2383975497164885,2.557805523755884,-4.493664791685381,16.0
29,4,15,Si1,0.30107558830008396,5.216874055490028,-0.3231774924602404,17.0
30,4,13,Si1,4.374283912839644,2.8586818064603667,-0.3231774924602408,18.0
31,4,18,Si1,2.8348107748230724,0.19961327472622253,-4.493664791685381,19.0
32,4,3,Si1,4.900657525024519,-2.1176982597015095,-1.7564902498806685,20.0
