,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.105160232801235
1,0,2,0,0,4.884368375600551
2,0,3,0,0,9.9232373154283e-30
3,0,4,0,0,3.796905078145055
4,0,5,0,0,5.12828680230874
5,0,6,0,0,3.796905078145056
6,0,7,0,0,2.4016204568478683
7,0,8,0,0,3.7969050781450555
8,0,9,0,0,5.1282868023087405
9,0,10,0,0,5.12828680230874
10,0,11,0,0,4.498284997171088
11,0,12,0,0,4.874513787887535
12,0,13,0,0,4.884368375600552
13,0,14,0,0,1.3430075608892818e-29
14,0,15,0,0,4.19532494085129
15,0,16,0,0,4.111477705320463
16,0,17,0,0,3.3365973061410856
17,0,18,0,0,2.6483658770578233
18,0,19,0,0,3.336597306141088
19,0,20,0,0,4.914877126497496
20,0,21,0,0,3.668883753526483
21,0,22,0,0,4.914877126497492
22,0,23,0,0,4.914877126497492
23,1,2,0,0,4.2084400929356125
24,1,3,0,0,4.105160232801231
25,1,4,0,0,3.540433062189588
26,1,5,0,0,3.273821425692408
27,1,6,0,0,3.5404330621895865
28,1,7,0,0,5.198465969054422
29,1,8,0,0,3.540433062189591
30,1,9,0,0,3.273821425692409
31,1,10,0,0,3.273821425692408
32,1,11,0,0,3.7969050781450555
33,1,12,0,0,4.877771091541576
34,1,13,0,0,4.208440092935612
35,1,14,0,0,4.10516023280123
36,1,15,0,0,1.5865558804975368
37,1,16,0,0,5.173117386265514
38,1,17,0,0,2.634921456396783
39,1,18,0,0,4.843299677601165
40,1,19,0,0,2.634921456396787
41,1,20,0,0,3.6652488274657817
42,1,21,0,0,4.665621612187448
43,1,22,0,0,3.6652488274657813
44,1,23,0,0,3.6652488274657813
45,2,3,0,0,4.884368375600545
46,2,4,0,0,5.1984659690544195
47,2,5,0,0,3.5306876921484642
48,2,6,0,0,5.198465969054422
49,2,7,0,0,3.3041124411984906
50,2,8,0,0,5.1984659690544195
51,2,9,0,0,3.5306876921484656
52,2,10,0,0,3.530687692148464
53,2,11,0,0,2.401620456847869
54,2,12,0,0,3.6976024513087373
55,2,13,0,0,1.343831114796183e-30
56,2,14,0,0,4.884368375600545
57,2,15,0,0,4.872709973318197
58,2,16,0,0,2.6418096908108777
59,2,17,0,0,4.1058337639044264
60,2,18,0,0,3.339189638671256
61,2,19,0,0,4.105833763904427
62,2,20,0,0,4.667198802667376
63,2,21,0,0,4.706806628614176
64,2,22,0,0,4.667198802667375
65,2,23,0,0,4.667198802667374
66,3,4,0,0,3.796905078145057
67,3,5,0,0,5.128286802308739
68,3,6,0,0,3.7969050781450564
69,3,7,0,0,2.4016204568478674
70,3,8,0,0,3.796905078145057
71,3,9,0,0,5.1282868023087405
72,3,10,0,0,5.12828680230874
73,3,11,0,0,4.498284997171087
74,3,12,0,0,4.874513787887529
75,3,13,0,0,4.884368375600545
76,3,14,0,0,1.4078081001362964e-30
77,3,15,0,0,4.19532494085129
78,3,16,0,0,4.111477705320461
79,3,17,0,0,3.336597306141084
80,3,18,0,0,2.648365877057821
81,3,19,0,0,3.336597306141087
82,3,20,0,0,4.91487712649749
83,3,21,0,0,3.6688837535264827
84,3,22,0,0,4.914877126497489
85,3,23,0,0,4.9148771264974895
86,4,5,0,0,4.219339925757856
87,4,6,0,0,5.901174826856443e-30
88,4,7,0,0,4.2084400929356125
89,4,8,0,0,5.855739020774972e-30
90,4,9,0,0,4.219339925757855
91,4,10,0,0,4.219339925757853
92,4,11,0,0,4.105160232801232
93,4,12,0,0,5.135172873608153
94,4,13,0,0,5.198465969054422
95,4,14,0,0,3.796905078145057
96,4,15,0,0,2.5902749134327188
97,4,16,0,0,4.703002671867566
98,4,17,0,0,4.6656216121874445
99,4,18,0,0,3.409845086468943
100,4,19,0,0,4.665621612187444
101,4,20,0,0,4.1048783203229755
102,4,21,0,0,2.634921456396787
103,4,22,0,0,4.104878320322973
104,4,23,0,0,4.104878320322974
105,5,6,0,0,4.219339925757854
106,5,7,0,0,4.187197038091342
107,5,8,0,0,4.219339925757858
108,5,9,0,0,3.614025049096688e-30
109,5,10,0,0,1.410323481366693e-30
110,5,11,0,0,3.6879606056903382
111,5,12,0,0,2.3972046495100483
112,5,13,0,0,3.530687692148464
113,5,14,0,0,5.128286802308742
114,5,15,0,0,2.3355690699250045
115,5,16,0,0,4.6463200900693895
116,5,17,0,0,3.6564112525631858
117,5,18,0,0,4.911771793536942
118,5,19,0,0,3.6564112525631858
119,5,20,0,0,2.624811141721409
120,5,21,0,0,5.169608651556509
121,5,22,0,0,2.624811141721409
122,5,23,0,0,2.6248111417214095
123,6,7,0,0,4.208440092935613
124,6,8,0,0,1.9141201364968614e-29
125,6,9,0,0,4.219339925757852
126,6,10,0,0,4.219339925757852
127,6,11,0,0,4.105160232801234
128,6,12,0,0,5.135172873608156
129,6,13,0,0,5.19846596905442
130,6,14,0,0,3.7969050781450573
131,6,15,0,0,2.590274913432715
132,6,16,0,0,4.703002671867569
133,6,17,0,0,4.665621612187443
134,6,18,0,0,3.409845086468943
135,6,19,0,0,4.6656216121874445
136,6,20,0,0,4.104878320322978
137,6,21,0,0,2.634921456396789
138,6,22,0,0,4.1048783203229755
139,6,23,0,0,4.1048783203229755
140,7,8,0,0,4.208440092935612
141,7,9,0,0,4.187197038091343
142,7,10,0,0,4.187197038091342
143,7,11,0,0,4.884368375600547
144,7,12,0,0,3.8053550658078747
145,7,13,0,0,3.3041124411984897
146,7,14,0,0,2.4016204568478683
147,7,15,0,0,5.153751976981927
148,7,16,0,0,3.6658743004289636
149,7,17,0,0,4.706806628614177
150,7,18,0,0,1.531391095709775
151,7,19,0,0,4.706806628614177
152,7,20,0,0,5.173286648024633
153,7,21,0,0,4.105833763904425
154,7,22,0,0,5.173286648024632
155,7,23,0,0,5.173286648024632
156,8,9,0,0,4.219339925757856
157,8,10,0,0,4.219339925757855
158,8,11,0,0,4.105160232801234
159,8,12,0,0,5.1351728736081546
160,8,13,0,0,5.198465969054423
161,8,14,0,0,3.7969050781450577
162,8,15,0,0,2.5902749134327228
163,8,16,0,0,4.703002671867567
164,8,17,0,0,4.665621612187447
165,8,18,0,0,3.4098450864689425
166,8,19,0,0,4.665621612187449
167,8,20,0,0,4.104878320322977
168,8,21,0,0,2.6349214563967873
169,8,22,0,0,4.104878320322974
170,8,23,0,0,4.104878320322974
171,9,10,0,0,3.102060344516441e-30
172,9,11,0,0,3.6879606056903413
173,9,12,0,0,2.3972046495100496
174,9,13,0,0,3.530687692148466
175,9,14,0,0,5.128286802308743
176,9,15,0,0,2.335569069925005
177,9,16,0,0,4.646320090069391
178,9,17,0,0,3.656411252563188
179,9,18,0,0,4.911771793536943
180,9,19,0,0,3.656411252563188
181,9,20,0,0,2.6248111417214113
182,9,21,0,0,5.169608651556509
183,9,22,0,0,2.6248111417214117
184,9,23,0,0,2.624811141721412
185,10,11,0,0,3.6879606056903396
186,10,12,0,0,2.3972046495100483
187,10,13,0,0,3.530687692148464
188,10,14,0,0,5.128286802308742
189,10,15,0,0,2.3355690699250045
190,10,16,0,0,4.646320090069389
191,10,17,0,0,3.6564112525631858
192,10,18,0,0,4.911771793536941
193,10,19,0,0,3.6564112525631853
194,10,20,0,0,2.62481114172141
195,10,21,0,0,5.1696086515565085
196,10,22,0,0,2.6248111417214104
197,10,23,0,0,2.6248111417214104
198,11,12,0,0,3.5152565952013464
199,11,13,0,0,2.40162045684787
200,11,14,0,0,4.498284997171088
201,11,15,0,0,3.794121762336265
202,11,16,0,0,1.5276184341352024
203,11,17,0,0,3.668883753526482
204,11,18,0,0,4.714788345129173
205,11,19,0,0,3.668883753526481
206,11,20,0,0,2.859896967958695
207,11,21,0,0,3.3365973061410874
208,11,22,0,0,2.859896967958694
209,11,23,0,0,2.859896967958693
210,12,13,0,0,3.697602451308738
211,12,14,0,0,4.874513787887531
212,12,15,0,0,4.10680354790749
213,12,16,0,0,2.8530416532608145
214,12,17,0,0,4.112066528195948
215,12,18,0,0,5.177801345525584
216,12,19,0,0,4.1120665281959505
217,12,20,0,0,1.5259615608091728
218,12,21,0,0,4.9110563217575685
219,12,22,0,0,1.525961560809174
220,12,23,0,0,1.5259615608091743
221,13,14,0,0,4.884368375600545
222,13,15,0,0,4.872709973318199
223,13,16,0,0,2.6418096908108777
224,13,17,0,0,4.1058337639044264
225,13,18,0,0,3.339189638671257
226,13,19,0,0,4.105833763904428
227,13,20,0,0,4.667198802667377
228,13,21,0,0,4.706806628614178
229,13,22,0,0,4.667198802667375
230,13,23,0,0,4.667198802667375
231,14,15,0,0,4.1953249408512905
232,14,16,0,0,4.111477705320463
233,14,17,0,0,3.3365973061410856
234,14,18,0,0,2.6483658770578216
235,14,19,0,0,3.336597306141088
236,14,20,0,0,4.914877126497493
237,14,21,0,0,3.6688837535264853
238,14,22,0,0,4.914877126497491
239,14,23,0,0,4.91487712649749
240,15,16,0,0,5.178859029195135
241,15,17,0,0,2.8608250282522523
242,15,18,0,0,4.114514158937482
243,15,19,0,0,2.860825028252254
244,15,20,0,0,3.4019882203358653
245,15,21,0,0,4.66903564046327
246,15,22,0,0,3.401988220335864
247,15,23,0,0,3.401988220335864
248,16,17,0,0,4.027033500143752
249,16,18,0,0,4.022820827521802
250,16,19,0,0,4.027033500143752
251,16,20,0,0,2.7970390915974
252,16,21,0,0,2.406470090113013
253,16,22,0,0,2.7970390915974
254,16,23,0,0,2.7970390915974
255,17,18,0,0,4.022323220298592
256,17,19,0,0,8.059771698904024e-30
257,17,20,0,0,3.419142181245798
258,17,21,0,0,2.802844142468385
259,17,22,0,0,3.4191421812457965
260,17,23,0,0,3.4191421812457965
261,18,19,0,0,4.022323220298594
262,18,20,0,0,6.123639040038499
263,18,21,0,0,3.418322969694734
264,18,22,0,0,6.123639040038497
265,18,23,0,0,6.123639040038497
266,19,20,0,0,3.4191421812457987
267,19,21,0,0,2.802844142468386
268,19,22,0,0,3.4191421812457974
269,19,23,0,0,3.419142181245798
270,20,21,0,0,4.021856225128992
271,20,22,0,0,4.078134771672422e-30
272,20,23,0,0,5.134945057519818e-30
273,21,22,0,0,4.021856225128991
274,21,23,0,0,4.021856225128992
275,22,23,0,0,7.267467464388501e-31
276,0,1,0,1,4.8749860874933795
277,0,2,0,1,4.106802418244464
278,0,3,0,1,3.788822325242787
279,0,4,0,1,2.3442224102343987
280,0,5,0,1,5.151057859664797
281,0,6,0,1,2.344222410234399
282,0,7,0,1,2.5692460721742565
283,0,8,0,1,2.3442224102343983
284,0,9,0,1,5.151057859664798
285,0,10,0,1,5.151057859664796
286,0,11,0,1,5.182415318496361
287,0,12,0,1,4.196109424117754
288,0,13,0,1,4.106802418244463
289,0,14,0,1,3.7888223252427866
290,0,15,0,1,4.888252527566134
291,0,16,0,1,4.833610188229489
292,0,17,0,1,5.177349210872331
293,0,18,0,1,2.648365877057825
294,0,19,0,1,5.177349210872332
295,0,20,0,1,4.914877126497497
296,0,21,0,1,3.4021027429671653
297,0,22,0,1,4.914877126497492
298,0,23,0,1,4.914877126497495
299,1,2,0,1,4.123894838148842
300,1,3,0,1,4.869937152223046
301,1,4,0,1,2.3963910358593767
302,1,5,0,1,3.7802965339187855
303,1,6,0,1,2.396391035859377
304,1,7,0,1,5.151254937915813
305,1,8,0,1,2.3963910358593754
306,1,9,0,1,3.7802965339187855
307,1,10,0,1,3.7802965339187837
308,1,11,0,1,2.339801771191573
309,1,12,0,1,4.860271339651134
310,1,13,0,1,4.123894838148842
311,1,14,0,1,4.869937152223047
312,1,15,0,1,3.780182115307166
313,1,16,0,1,3.3368455228206213
314,1,17,0,1,2.866227020126721
315,1,18,0,1,4.843299677601165
316,1,19,0,1,2.8662270201267184
317,1,20,0,1,3.6652488274657826
318,1,21,0,1,1.5275087843980484
319,1,22,0,1,3.665248827465782
320,1,23,0,1,3.665248827465781
321,2,3,0,1,4.122969027537094
322,2,4,0,1,5.131144315064786
323,2,5,0,1,2.5382887211459755
324,2,6,0,1,5.1311443150647875
325,2,7,0,1,2.3383165384848494
326,2,8,0,1,5.131144315064785
327,2,9,0,1,2.538288721145979
328,2,10,0,1,2.538288721145975
329,2,11,0,1,2.595863139764233
330,2,12,0,1,3.7818844918330035
331,2,13,0,1,1.600580352041038
332,2,14,0,1,4.122969027537095
333,2,15,0,1,4.892880883191083
334,2,16,0,1,2.867097709312781
335,2,17,0,1,4.846844765170014
336,2,18,0,1,3.339189638671255
337,2,19,0,1,4.8468447651700135
338,2,20,0,1,4.667198802667376
339,2,21,0,1,4.9206055348892805
340,2,22,0,1,4.667198802667374
341,2,23,0,1,4.667198802667376
342,3,4,0,1,2.344222410234398
343,3,5,0,1,5.151057859664795
344,3,6,0,1,2.344222410234397
345,3,7,0,1,2.569246072174253
346,3,8,0,1,2.344222410234398
347,3,9,0,1,5.151057859664794
348,3,10,0,1,5.151057859664795
349,3,11,0,1,5.182415318496358
350,3,12,0,1,4.1961094241177515
351,3,13,0,1,4.106802418244462
352,3,14,0,1,3.7888223252427853
353,3,15,0,1,4.888252527566135
354,3,16,0,1,4.833610188229486
355,3,17,0,1,5.177349210872327
356,3,18,0,1,2.648365877057822
357,3,19,0,1,5.17734921087233
358,3,20,0,1,4.914877126497492
359,3,21,0,1,3.4021027429671644
360,3,22,0,1,4.914877126497489
361,3,23,0,1,4.9148771264974895
362,4,5,0,1,4.871159559731853
363,4,6,0,1,3.7098795545266623
364,4,7,0,1,4.123894838148841
365,4,8,0,1,3.7098795545266645
366,4,9,0,1,4.871159559731854
367,4,10,0,1,4.871159559731853
368,4,11,0,1,4.869937152223042
369,4,12,0,1,4.493238142967816
370,4,13,0,1,5.151254937915813
371,4,14,0,1,2.339801771191573
372,4,15,0,1,2.525979998110432
373,4,16,0,1,4.919702109706119
374,4,17,0,1,1.5275087843980464
375,4,18,0,1,3.409845086468943
376,4,19,0,1,1.527508784398049
377,4,20,0,1,4.1048783203229755
378,4,21,0,1,2.866227020126721
379,4,22,0,1,4.104878320322973
380,4,23,0,1,4.104878320322975
381,5,6,0,1,4.878867562831662
382,5,7,0,1,4.865687780390718
383,5,8,0,1,4.878867562831665
384,5,9,0,1,3.7582322147897065
385,5,10,0,1,3.758232214789703
386,5,11,0,1,1.5696678227406629
387,5,12,0,1,2.5196762090298233
388,5,13,0,1,2.5568588647410193
389,5,14,0,1,5.1500977168462825
390,5,15,0,1,3.786964351993248
391,5,16,0,1,1.517621850478858
392,5,17,0,1,3.4095064226587346
393,5,18,0,1,4.911771793536941
394,5,19,0,1,3.4095064226587364
395,5,20,0,1,2.6248111417214117
396,5,21,0,1,3.3296515844492998
397,5,22,0,1,2.6248111417214086
398,5,23,0,1,2.62481114172141
399,6,7,0,1,4.123894838148839
400,6,8,0,1,3.709879554526665
401,6,9,0,1,4.871159559731856
402,6,10,0,1,4.871159559731854
403,6,11,0,1,4.869937152223042
404,6,12,0,1,4.49323814296782
405,6,13,0,1,5.151254937915816
406,6,14,0,1,2.339801771191572
407,6,15,0,1,2.5259799981104334
408,6,16,0,1,4.919702109706117
409,6,17,0,1,1.5275087843980453
410,6,18,0,1,3.409845086468943
411,6,19,0,1,1.527508784398048
412,6,20,0,1,4.104878320322978
413,6,21,0,1,2.866227020126719
414,6,22,0,1,4.1048783203229755
415,6,23,0,1,4.104878320322977
416,7,8,0,1,4.114396460262881
417,7,9,0,1,4.851199972927976
418,7,10,0,1,4.851199972927973
419,7,11,0,1,4.122969027537096
420,7,12,0,1,3.783240111306299
421,7,13,0,1,2.3383165384848486
422,7,14,0,1,2.5958631397642344
423,7,15,0,1,4.492080529730172
424,7,16,0,1,3.4099831761100634
425,7,17,0,1,4.920605534889279
426,7,18,0,1,1.5313910957097734
427,7,19,0,1,4.920605534889282
428,7,20,0,1,5.173286648024633
429,7,21,0,1,4.846844765170014
430,7,22,0,1,5.1732866480246305
431,7,23,0,1,5.173286648024632
432,8,9,0,1,4.871159559731857
433,8,10,0,1,4.871159559731856
434,8,11,0,1,4.869937152223044
435,8,12,0,1,4.493238142967815
436,8,13,0,1,5.151254937915814
437,8,14,0,1,2.3398017711915733
438,8,15,0,1,2.5259799981104325
439,8,16,0,1,4.919702109706119
440,8,17,0,1,1.5275087843980477
441,8,18,0,1,3.4098450864689425
442,8,19,0,1,1.5275087843980497
443,8,20,0,1,4.104878320322978
444,8,21,0,1,2.866227020126722
445,8,22,0,1,4.104878320322975
446,8,23,0,1,4.104878320322976
447,9,10,0,1,3.7582322147897047
448,9,11,0,1,1.5696678227406649
449,9,12,0,1,2.519676209029826
450,9,13,0,1,2.556858864741021
451,9,14,0,1,5.150097716846283
452,9,15,0,1,3.786964351993248
453,9,16,0,1,1.5176218504788594
454,9,17,0,1,3.409506422658735
455,9,18,0,1,4.911771793536941
456,9,19,0,1,3.409506422658736
457,9,20,0,1,2.624811141721415
458,9,21,0,1,3.329651584449299
459,9,22,0,1,2.6248111417214117
460,9,23,0,1,2.6248111417214126
461,10,11,0,1,1.5696678227406629
462,10,12,0,1,2.519676209029825
463,10,13,0,1,2.55685886474102
464,10,14,0,1,5.150097716846282
465,10,15,0,1,3.7869643519932468
466,10,16,0,1,1.5176218504788583
467,10,17,0,1,3.4095064226587337
468,10,18,0,1,4.911771793536939
469,10,19,0,1,3.409506422658735
470,10,20,0,1,2.624811141721412
471,10,21,0,1,3.329651584449298
472,10,22,0,1,2.62481114172141
473,10,23,0,1,2.624811141721411
474,11,12,0,1,2.564172942838617
475,11,13,0,1,2.5692460721742534
476,11,14,0,1,5.182415318496359
477,11,15,0,1,3.2743866669382893
478,11,16,0,1,4.662260266035088
479,11,17,0,1,3.4021027429671644
480,11,18,0,1,4.714788345129173
481,11,19,0,1,3.4021027429671644
482,11,20,0,1,2.859896967958695
483,11,21,0,1,5.177349210872332
484,11,22,0,1,2.8598969679586936
485,11,23,0,1,2.859896967958694
486,12,13,0,1,3.7879439154334333
487,12,14,0,1,4.197205901768019
488,12,15,0,1,4.189674330417887
489,12,16,0,1,2.648957034181161
490,12,17,0,1,4.830292752799845
491,12,18,0,1,5.177801345525586
492,12,19,0,1,4.830292752799847
493,12,20,0,1,1.525961560809173
494,12,21,0,1,4.715761408985306
495,12,22,0,1,1.525961560809174
496,12,23,0,1,1.5259615608091723
497,13,14,0,1,4.122969027537096
498,13,15,0,1,4.892880883191085
499,13,16,0,1,2.867097709312781
500,13,17,0,1,4.846844765170015
501,13,18,0,1,3.339189638671256
502,13,19,0,1,4.846844765170014
503,13,20,0,1,4.667198802667378
504,13,21,0,1,4.9206055348892805
505,13,22,0,1,4.667198802667375
506,13,23,0,1,4.667198802667377
507,14,15,0,1,4.888252527566136
508,14,16,0,1,4.83361018822949
509,14,17,0,1,5.177349210872328
510,14,18,0,1,2.6483658770578224
511,14,19,0,1,5.177349210872331
512,14,20,0,1,4.914877126497494
513,14,21,0,1,3.4021027429671657
514,14,22,0,1,4.914877126497491
515,14,23,0,1,4.914877126497491
516,15,16,0,1,3.3384910560986945
517,15,17,0,1,2.6619528063802393
518,15,18,0,1,4.1145141589374825
519,15,19,0,1,2.661952806380236
520,15,20,0,1,3.4019882203358667
521,15,21,0,1,1.530868269661867
522,15,22,0,1,3.401988220335864
523,15,23,0,1,3.401988220335865
524,16,17,0,1,4.0209954197611415
525,16,18,0,1,4.0228208275218025
526,16,19,0,1,4.020995419761143
527,16,20,0,1,2.797039091597398
528,16,21,0,1,6.12364569273336
529,16,22,0,1,2.7970390915974
530,16,23,0,1,2.797039091597398
531,17,18,0,1,4.022323220298593
532,17,19,0,1,4.907042826597806
533,17,20,0,1,3.419142181245798
534,17,21,0,1,2.7968855757037527
535,17,22,0,1,3.4191421812457965
536,17,23,0,1,3.419142181245796
537,18,19,0,1,4.026736096504242
538,18,20,0,1,6.1236390400384995
539,18,21,0,1,3.4142008549248652
540,18,22,0,1,6.123639040038497
541,18,23,0,1,6.123639040038498
542,19,20,0,1,3.419142181245799
543,19,21,0,1,2.7968855757037545
544,19,22,0,1,3.4191421812457974
545,19,23,0,1,3.419142181245797
546,20,21,0,1,4.021604828304818
547,20,22,0,1,3.978949762979491e-30
548,20,23,0,1,3.1690199679541405e-30
549,21,22,0,1,4.021856225128991
550,21,23,0,1,4.0218562251289915
551,22,23,0,1,4.5215057304379136e-30
552,0,1,0,2,4.884368375600548
553,0,2,0,2,4.105160232801234
554,0,3,0,2,4.884368375600547
555,0,4,0,2,3.5152565952013455
556,0,5,0,2,3.794121762336266
557,0,6,0,2,5.128286802308742
558,0,7,0,2,3.7969050781450555
559,0,8,0,2,2.401620456847868
560,0,9,0,2,3.796905078145056
561,0,10,0,2,3.796905078145055
562,0,11,0,2,3.7941217623362653
563,0,12,0,2,4.105160232801233
