,neighbor_num,isite,atom,x,y,z,front_index
0,0,4,Si1,0.0,0.0,0.0,
1,1,18,O1,-0.7530048401662868,-1.312488633670513,-0.5410656567799632,0.0
2,1,23,O1,-0.7657579139473047,1.3097954285398623,-0.5318651090122286,0.0
3,1,16,O1,-1.1102230246251565e-16,1.0269271115548917e-17,1.6069831199408655,0.0
4,1,12,O1,1.5172176005427995,-3.1056945926111284e-17,-0.5318651090122282,0.0
5,2,6,Si1,-1.506009680332573,-2.624977267341025,-1.0821313135599269,1.0
6,2,7,Si1,-1.0314351395322636,2.702584928926942,-1.289745548790449,2.0
7,2,6,Si1,8.881784197001252e-16,4.646277520811604e-16,3.213966239881729,3.0
8,2,1,Si1,2.8536862506870664,0.4736016551539578,-1.289745548790448,4.0
9,3,16,O1,-1.506009680332574,-2.6249772673410265,-2.6891144335007917,5.0
10,3,22,O1,-3.023227280875373,-2.6249772673410257,-0.5502662045476986,5.0
11,3,13,O1,-0.7402517663852679,-3.934772695880888,-0.5502662045476985,5.0
12,3,17,O1,-2.2106576659608947,2.506879553054956,-2.363769937150864,6.0
13,3,19,O1,-1.4576528257946075,3.8193681867254687,-0.21572116043003509,6.0
14,3,14,O1,0.30503351061200423,3.1761865840809005,-2.0476259885686687,6.0
15,3,18,O1,0.7530048401662875,1.312488633670514,3.755031896661693,7.0
16,3,22,O1,-1.5172176005427989,7.17729302932303e-16,3.7458313488939576,7.0
17,3,13,O1,0.7657579139473057,-1.309795428539861,3.7458313488939585,7.0
18,3,11,O1,3.279903936949409,-0.6431816026445689,-2.3637699371508614,8.0
19,3,21,O1,2.588009025102109,1.8663911555410375,-2.0476259885686687,8.0
20,3,9,O1,4.032908777115697,0.6693070310259436,-0.21572116043003398,8.0
21,4,4,Si1,-1.5060096803325738,-2.624977267341025,-4.2960975534416574,9.0
22,4,3,Si1,-4.35969593101964,-3.0985789224949842,0.20761423523052058,10.0
23,4,5,Si1,-0.47457454080031003,-5.327562196267967,0.20761423523052236,11.0
24,4,5,Si1,-3.389880192389523,2.31117417718297,-3.437794325511277,12.0
25,4,5,Si1,-1.8838705120569486,4.936151444523995,0.8583032279303792,13.0
26,4,2,Si1,1.8222511111548034,3.1761865840809,-2.579491097580897,14.0
27,4,4,Si1,1.5060096803325738,2.624977267341026,4.296097553441657,15.0
28,4,3,Si1,-2.853686250687066,-0.4736016551539572,4.503711788672177,16.0
29,4,5,Si1,1.0314351395322652,-2.7025849289269415,4.503711788672177,17.0
30,4,3,Si1,3.706121623211754,-1.759964860443096,-3.4377943255112764,18.0
31,4,2,Si1,1.8222511111548034,3.1761865840809,-2.579491097580897,19.0
32,4,3,Si1,5.212131303544327,0.8650124068979302,0.8583032279303802,20.0
