,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.1706761842434847
1,0,2,0,0,1.7662896985611386e-30
2,0,3,0,0,3.1706761842434847
3,0,4,0,0,3.1706761842434847
4,0,5,0,0,3.1706761842434843
5,0,6,0,0,7.638167537285492e-30
6,0,7,0,0,3.1706761842434847
7,1,2,0,0,3.170676184243485
8,1,3,0,0,3.1794686710717697
9,1,4,0,0,1.043223725512446e-30
10,1,5,0,0,3.1794686710717697
11,1,6,0,0,3.170676184243485
12,1,7,0,0,3.1794686710717683
13,2,3,0,0,3.1706761842434847
14,2,4,0,0,3.1706761842434847
15,2,5,0,0,3.1706761842434847
16,2,6,0,0,6.866963306440156e-30
17,2,7,0,0,3.170676184243486
18,3,4,0,0,3.1794686710717697
19,3,5,0,0,1.0762329975289739e-30
20,3,6,0,0,3.170676184243485
21,3,7,0,0,5.610595769383509e-30
22,4,5,0,0,3.1794686710717692
23,4,6,0,0,3.1706761842434856
24,4,7,0,0,3.1794686710717692
25,5,6,0,0,3.1706761842434856
26,5,7,0,0,6.678284641341019e-30
27,6,7,0,0,3.170676184243485
28,0,1,0,1,3.1641439061356453
29,0,2,0,1,1.505446233838706e-30
30,0,3,0,1,3.1641439061356444
31,0,4,0,1,3.1641439061356444
32,0,5,0,1,3.164143906135644
33,0,6,0,1,6.920657548218198e-30
34,0,7,0,1,3.1641439061356453
35,1,2,0,1,3.170676184243485
36,1,3,0,1,3.1609230721870962
37,1,4,0,1,4.8468476091112365
38,1,5,0,1,3.1609230721870967
39,1,6,0,1,3.1706761842434856
40,1,7,0,1,3.160923072187098
41,2,3,0,1,3.1641439061356453
42,2,4,0,1,3.1641439061356462
43,2,5,0,1,3.164143906135645
44,2,6,0,1,5.955871696804432e-30
45,2,7,0,1,3.164143906135646
46,3,4,0,1,3.160923072187097
47,3,5,0,1,4.8468476091112365
48,3,6,0,1,3.1706761842434856
49,3,7,0,1,4.8468476091112365
50,4,5,0,1,3.1609230721870967
51,4,6,0,1,3.170676184243485
52,4,7,0,1,3.1609230721870976
53,5,6,0,1,3.1706761842434856
54,5,7,0,1,4.8468476091112365
55,6,7,0,1,3.1641439061356453
56,0,1,0,2,4.851087398656392
57,0,2,0,2,3.170676184243484
58,0,3,0,2,9.024461880683554e-30
59,0,4,0,2,1.7012146364162148e-30
60,0,5,0,2,4.85108739865639
61,0,6,0,2,3.170676184243485
62,0,7,0,2,1.505584453852413e-30
63,1,2,0,2,2.0258915446522802e-30
64,1,3,0,2,3.1706761842434856
65,1,4,0,2,3.1706761842434847
66,1,5,0,2,3.1650104434021684
67,1,6,0,2,3.179468671071769
68,1,7,0,2,3.1706761842434847
69,2,3,0,2,1.0969830939393447e-29
70,2,4,0,2,1.6329670672874062e-30
71,2,5,0,2,4.85108739865639
72,2,6,0,2,3.1706761842434865
73,2,7,0,2,1.188254742216816e-30
74,3,4,0,2,3.1706761842434847
75,3,5,0,2,3.165010443402168
76,3,6,0,2,5.8971899074142455e-30
77,3,7,0,2,3.1706761842434847
78,4,5,0,2,3.165010443402169
79,4,6,0,2,3.1794686710717697
80,4,7,0,2,3.170676184243485
81,5,6,0,2,5.518847179113163e-30
82,5,7,0,2,3.170676184243484
83,6,7,0,2,7.893897372035263e-30
