,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,1.7720931614626172
4,0,5,1.7720931614626168
5,0,6,0.0
6,0,7,0.0
7,0,8,0.0
8,0,9,0.0
9,0,10,1.7720931614626168
10,0,11,1.772093161462618
11,1,2,0.0
12,1,3,0.0
13,1,4,1.7724631631090506
14,1,5,1.77246316310905
15,1,6,0.0
16,1,7,0.0
17,1,8,0.0
18,1,9,0.0
19,1,10,1.772463163109049
20,1,11,1.7724631631090506
21,2,3,0.0
22,2,4,1.7720931614626163
23,2,5,1.7720931614626163
24,2,6,0.0
25,2,7,0.0
26,2,8,0.0
27,2,9,0.0
28,2,10,1.7720931614626163
29,2,11,1.7720931614626172
30,3,4,1.7720931614626168
31,3,5,1.772093161462616
32,3,6,0.0
33,3,7,0.0
34,3,8,0.0
35,3,9,0.0
36,3,10,1.772093161462616
37,3,11,1.7720931614626172
38,4,5,0.0
39,4,6,1.7722039110079455
40,4,7,1.7722039110079455
41,4,8,1.7722039110079462
42,4,9,1.77246316310905
43,4,10,0.0
44,4,11,0.0
45,5,6,1.7722039110079455
46,5,7,1.7722039110079455
47,5,8,1.7724631631090486
48,5,9,1.772203911007947
49,5,10,0.0
50,5,11,0.0
51,6,7,0.0
52,6,8,0.0
53,6,9,0.0
54,6,10,1.7779713356456637
55,6,11,1.7779713356456637
56,7,8,0.0
57,7,9,2.068988243951152
58,7,10,1.7722039110079453
59,7,11,1.772203911007947
60,8,9,0.0
61,8,10,1.7720931614626163
62,8,11,1.7720931614626174
63,9,10,1.772093161462616
64,9,11,1.7720931614626163
65,10,11,0.0
