,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,1.8026316325410336
2,0,3,1.8026316331348116
3,0,4,3.3744621854509287
4,0,5,3.3744621853433103
5,0,6,3.089673838924771
6,0,7,3.089673838050371
7,0,8,3.8022812699078337
8,0,9,3.8022812704281455
9,0,10,3.3948277168142558
10,0,11,3.3948277171137407
11,0,12,3.974759422683367
12,0,13,3.974759444103986
13,0,14,3.4895231963331854
14,0,15,3.489523208214317
15,1,2,1.802895170945085
16,1,3,1.8028951715388148
17,1,4,3.374785589955967
18,1,5,3.374785589848107
19,1,6,3.088153752768497
20,1,7,3.0881537518947075
21,1,8,3.798313306251636
22,1,9,3.798313306774542
23,1,10,3.393638003927655
24,1,11,3.393638004228269
25,1,12,3.983619022352424
26,1,13,3.983619022351237
27,1,14,3.496717306944195
28,1,15,3.496717322811925
29,2,3,0.0
30,2,4,3.0881537518947084
31,2,5,3.0881537527684952
32,2,6,3.3747855898481056
33,2,7,3.374785589955963
34,2,8,3.393638004228269
35,2,9,3.393638003927653
36,2,10,3.7983133067745407
37,2,11,3.798313306251636
38,2,12,3.4967173228119237
39,2,13,3.496717306944192
40,2,14,3.983619022351236
41,2,15,3.983619022352416
42,3,4,3.092501970005234
43,3,5,3.092501970874082
44,3,6,3.3756991615194654
45,3,7,3.3756991616283747
46,3,8,3.392846588891598
47,3,9,3.392846588589096
48,3,10,3.807760294025695
49,3,11,3.807760293503007
50,3,12,3.4945450848877706
51,3,13,3.4945450848869144
52,3,14,3.978299096356668
53,3,15,3.978299096383352
54,4,5,0.0
55,4,6,2.483730250798879
56,4,7,2.4837302504095677
57,4,8,2.672855360968415
58,4,9,2.672855360637192
59,4,10,2.1420128405496754
60,4,11,2.1420128400755925
61,4,12,3.518307375168932
62,4,13,3.518307375169225
63,4,14,2.785663252417846
64,4,15,2.7856632524178657
65,5,6,2.485080621520269
66,5,7,2.485080621128091
67,5,8,2.679629009817094
68,5,9,2.6796290094842563
69,5,10,2.136538529388865
70,5,11,2.13653852891359
71,5,12,3.514009878000365
72,5,13,3.514009885929131
73,5,14,2.779584029780604
74,5,15,2.7795840394662568
75,6,7,0.0
76,6,8,2.136538528913591
77,6,9,2.136538529388865
78,6,10,2.6796290094842563
79,6,11,2.6796290098170954
80,6,12,2.7795840394662563
81,6,13,2.7795840297805983
82,6,14,3.5140098859291324
83,6,15,3.514009878000368
84,7,8,2.1429317234677963
85,7,9,2.1429317239455066
86,7,10,2.6767014038214536
87,7,11,2.676701404151784
88,7,12,2.797256827745038
89,7,13,2.7972568277461827
90,7,14,3.5219196263750745
91,7,15,3.5219196150413428
92,8,9,0.0
93,8,10,3.071457159439724
94,8,11,3.071457159688827
95,8,12,3.214819479750457
96,8,13,3.214819479796398
97,8,14,2.6418586833454865
98,8,15,2.6418586833968014
99,9,10,3.041571162166929
100,9,11,3.041571162410243
101,9,12,3.2025130584499872
102,9,13,3.2025130782195546
103,9,14,2.6359052837690355
104,9,15,2.635905270979953
105,10,11,0.0
106,10,12,2.641858682863888
107,10,13,2.6418586828125754
108,10,14,3.2148194793740874
109,10,15,3.214819479328135
110,11,12,2.645961480714212
111,11,13,2.6459614807117613
112,11,14,3.221802974231732
113,11,15,3.221802974234186
114,12,13,0.0
115,12,14,1.6225397110863475
116,12,15,1.62253971108659
117,13,14,1.622539711086589
118,13,15,1.6225397110863504
119,14,15,0.0
