,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.332648418459402
1,0,2,0,0,3.3523414066300194
2,0,3,0,0,3.0303025735531996e-17
3,0,4,0,0,4.332648424662997
4,0,5,0,0,3.2862007526196266
5,0,6,0,0,3.353231161492811
6,0,7,0,0,3.361160746980483
7,0,8,0,0,3.361160751378504
8,0,9,0,0,3.353231162068263
9,0,10,0,0,3.37838724518664
10,0,11,0,0,3.3783872349718327
11,1,2,0,0,3.2746656921406374
12,1,3,0,0,4.332648421211182
13,1,4,0,0,4.741608284620337e-16
14,1,5,0,0,4.306722129441351
15,1,6,0,0,3.275726017298487
16,1,7,0,0,3.352476377444654
17,1,8,0,0,3.3524763792472596
18,1,9,0,0,3.2757260177191587
19,1,10,0,0,3.2866662133583504
20,1,11,0,0,3.2866661998330495
21,2,3,0,0,3.3523414071789186
22,2,4,0,0,3.2746656908254774
23,2,5,0,0,3.33987706670368
24,2,6,0,0,7.235958806555165e-07
25,2,7,0,0,4.332980123537418
26,2,8,0,0,4.332980130772864
27,2,9,0,0,7.235958279590346e-07
28,2,10,0,0,3.286666208244236
29,2,11,0,0,3.286666194718937
30,3,4,0,0,4.332648427414777
31,3,5,0,0,3.286200753045172
32,3,6,0,0,3.3532311620412263
33,3,7,0,0,3.361160749041388
34,3,8,0,0,3.361160753439409
35,3,9,0,0,3.3532311626166784
36,3,10,0,0,3.378387247251182
37,3,11,0,0,3.3783872370363737
38,4,5,0,0,4.306722105972904
39,4,6,0,0,3.275726015992383
40,4,7,0,0,3.3524763577264753
41,4,8,0,0,3.352476359529081
42,4,9,0,0,3.275726016413055
43,4,10,0,0,3.2866662111113727
44,4,11,0,0,3.286666197586072
45,5,6,0,0,3.3404167009446675
46,5,7,0,0,4.315014249493267
47,5,8,0,0,4.315014247788596
48,5,9,0,0,3.3404167030432332
49,5,10,0,0,3.3518881304212713
50,5,11,0,0,3.351888119340974
51,6,7,0,0,4.333765731006364
52,6,8,0,0,4.333765738248319
53,6,9,0,0,3.030302667737944e-17
54,6,10,0,0,3.2872240268654926
55,6,11,0,0,3.287224013341459
56,7,8,0,0,1.0253865065565114e-16
57,7,9,0,0,4.333765735566986
58,7,10,0,0,3.3785243011517156
59,7,11,0,0,3.3785242909374245
60,8,9,0,0,4.333765742808941
61,8,10,0,0,3.378524314364455
