,neighbor_num,isite,atom,x,y,z,front_index
0,0,20,Si1,0.0,0.0,0.0,
1,1,26,O1,1.525699077953341,0.0,-0.5209600458940064,0.0
2,1,38,O1,-0.7815568206771571,1.3167887927171227,-0.5046966038998388,0.0
3,1,35,O1,-0.7512899609274126,-1.3047461483794363,-0.5765049338743528,0.0
4,1,47,O1,5.551115123125783e-17,1.232595164407831e-32,1.612291058610321,0.0
5,2,2,Si1,2.7392693518924673,0.3659445991766329,0.4767590135150098,1.0
6,2,3,Si1,-0.25389679435655793,2.398800234103802,-1.5777066085385523,2.0
7,2,11,Si1,-2.2442908101070445,-1.199898298116637,-1.1782249471209405,3.0
8,2,6,Si1,-0.45059883626769903,-1.2118462917103936,2.5760926939727544,4.0
9,3,50,O1,2.678186303661808,-0.5956476876830183,1.7648683050321994,5.0
10,3,39,O1,2.5415919592181337,1.9056801756364412,0.9134079980925124,5.0
11,3,62,O1,4.160184962999136,0.2491223346198491,-0.2700091764257211,5.0
12,3,63,O1,-0.6106454917115078,1.8440800310937038,-3.045809877453298,6.0
13,3,51,O1,-0.938082311871228,3.8306942050068025,-1.3146738243901575,6.0
14,3,27,O1,1.3414917222323777,2.5237984539881673,-1.3746733424831163,6.0
15,3,71,O1,-2.7498535054393023,-2.625288232201866,-1.7286622649437793,7.0
16,3,42,O1,-3.2132528221499124,-0.7740471672681697,0.038445824866295,7.0
17,3,59,O1,-2.2743409950781444,-0.08476219054668722,-2.3371834706812185,7.0
18,3,54,O1,-0.953155642254313,-0.6442835976099972,3.9948688073614287,8.0
19,3,30,O1,-1.6707328630196077,-1.969083774996458,1.8412621486838474,8.0
20,3,66,O1,0.8154719012264379,-2.189177300033773,2.755537197415628,8.0
21,4,14,Si1,2.353719477791957,-2.087109375991273,2.2833612262130787,9.0
22,4,21,Si1,1.9562201516527522,3.098666427509431,0.0003876805145800466,10.0
23,4,17,Si1,5.362916118180821,1.2965909064500227,-0.5062737884585069,11.0
24,4,13,Si1,-1.4526619703554349,0.5689824753939468,-3.5603077874306415,12.0
25,4,15,Si1,-0.7750186939997115,5.4240093781131185,-1.4972350847163525,13.0
26,4,21,Si1,1.9562201516527522,3.098666427509431,0.0003876805145804907,14.0
27,4,16,Si1,-4.030315947276403,-3.541792961364698,-1.3822396433768116,15.0
28,4,22,Si1,-3.0730489897877984,-1.217001959122748,1.5823423193500932,16.0
29,4,13,Si1,-1.452661971390865,0.5689824847632625,-3.560307790768878,17.0
30,4,15,Si1,-1.8901816447028392,-0.9336052963917164,5.274261958401693,18.0
31,4,22,Si1,-3.0730489897877984,-1.217001959122748,1.5823423193500932,19.0
32,4,14,Si1,2.3537194777919597,-2.0871093759912713,2.2833612262130805,20.0
