,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.404678300124282e-17
1,0,2,0,0,5.941516578746317
2,0,3,0,0,5.7468073992609305
3,0,4,0,0,6.260437666105459
4,0,5,0,0,5.922694611870672
5,0,6,0,0,3.030303679779629e-18
6,0,7,0,0,6.260437662673439
7,0,8,0,0,1.751911021228255e-17
8,0,9,0,0,2.6434127072810904e-17
9,0,10,0,0,5.746807398040386
10,0,11,0,0,3.0196487966599164
11,0,12,0,0,4.510999152417759
12,0,13,0,0,5.097117459763495
13,0,14,0,0,4.708520564126751
14,0,15,0,0,5.097117478099005
15,0,16,0,0,4.51099915209978
16,0,17,0,0,5.09711749706749
17,0,18,0,0,5.414692718487871
18,0,19,0,0,6.514163501672581
19,0,20,0,0,5.414692710025259
20,0,21,0,0,6.514163504404385
21,0,22,0,0,6.5141634984378065
22,0,23,0,0,5.414692705983501
23,1,2,0,0,5.941516579531158
24,1,3,0,0,5.746807397557972
25,1,4,0,0,6.260437663574233
26,1,5,0,0,5.922694610169596
27,1,6,0,0,3.148481068657932e-17
28,1,7,0,0,6.260437660142216
29,1,8,0,0,5.661671730063419e-17
30,1,9,0,0,6.457536098120777e-17
31,1,10,0,0,5.746807396972422
32,1,11,0,0,3.0196487949123667
33,1,12,0,0,4.510999148056795
34,1,13,0,0,5.097117455673417
35,1,14,0,0,4.708520563390289
36,1,15,0,0,5.09711747494115
37,1,16,0,0,4.510999147738815
38,1,17,0,0,5.097117493183784
39,1,18,0,0,5.414692717551669
40,1,19,0,0,6.514163503110946
41,1,20,0,0,5.414692708903783
42,1,21,0,0,6.514163505806927
43,1,22,0,0,6.514163499840349
44,1,23,0,0,5.414692704862027
45,2,3,0,0,3.010180861162102
46,2,4,0,0,6.4738990731308315
47,2,5,0,0,5.885193369657327
48,2,6,0,0,5.941516578295956
49,2,7,0,0,6.47389905943669
50,2,8,0,0,5.941516577755711
51,2,9,0,0,5.941516578793156
52,2,10,0,0,3.010180860879739
53,2,11,0,0,6.642824166511279
54,2,12,0,0,7.585209447036072
55,2,13,0,0,4.361711266846381
56,2,14,0,0,4.494896149275117
57,2,15,0,0,4.361711267283511
58,2,16,0,0,7.585209445049471
59,2,17,0,0,4.361711293488221
60,2,18,0,0,3.326151653239812
61,2,19,0,0,5.413442051038461
62,2,20,0,0,3.3261516498813544
63,2,21,0,0,5.413442046152238
64,2,22,0,0,5.413442059206334
65,2,23,0,0,3.3261516545772785
66,3,4,0,0,5.951448944094818
67,3,5,0,0,6.735962858992543
68,3,6,0,0,5.74680739814984
69,3,7,0,0,5.951448949993408
70,3,8,0,0,5.74680739837825
71,3,9,0,0,5.746807400099927
72,3,10,0,0,1.7937726407529105e-17
73,3,11,0,0,6.3406676294069095
74,3,12,0,0,7.660504066141304
75,3,13,0,0,4.536078984647042
76,3,14,0,0,4.342866540958635
77,3,15,0,0,4.536078988373801
78,3,16,0,0,7.660504064861005
79,3,17,0,0,4.536079012183831
80,3,18,0,0,3.289656974450194
81,3,19,0,0,5.352851747434167
82,3,20,0,0,3.28965696172293
83,3,21,0,0,5.35285175096997
84,3,22,0,0,5.352851746772079
85,3,23,0,0,3.289656953076462
86,4,5,0,0,3.912462886443975
87,4,6,0,0,6.260437665385423
88,4,7,0,0,2.832857724573156e-16
89,4,8,0,0,6.260437667533999
90,4,9,0,0,6.2604376672503435
91,4,10,0,0,5.95144894585562
92,4,11,0,0,6.483128219896275
93,4,12,0,0,4.695371319245595
94,4,13,0,0,7.628298709683751
95,4,14,0,0,5.474523462103754
96,4,15,0,0,7.628298723459981
97,4,16,0,0,4.695371319261229
98,4,17,0,0,7.628298749001989
99,4,18,0,0,6.1532775462753575
100,4,19,0,0,3.2870047041241803
101,4,20,0,0,6.153277549538979
102,4,21,0,0,3.287004703321238
103,4,22,0,0,3.2870047089267533
104,4,23,0,0,6.1532775469819505
105,5,6,0,0,5.922694610215759
106,5,7,0,0,3.9124628697317045
107,5,8,0,0,5.922694609151012
108,5,9,0,0,5.922694613019823
109,5,10,0,0,6.735962858464598
110,5,11,0,0,5.794895346487246
111,5,12,0,0,4.728139897175473
112,5,13,0,0,5.425473263173877
113,5,14,0,0,7.686794642850154
114,5,15,0,0,5.425473273213541
115,5,16,0,0,4.7281398953732845
116,5,17,0,0,5.425473275832676
117,5,18,0,0,6.51877037683548
118,5,19,0,0,3.3863238806397034
119,5,20,0,0,6.51877038086148
120,5,21,0,0,3.386323886763261
121,5,22,0,0,3.386323878927203
122,5,23,0,0,6.5187703849500584
123,6,7,0,0,6.260437661953405
124,6,8,0,0,1.5152592001032516e-17
125,6,9,0,0,2.4067607438813632e-17
126,6,10,0,0,5.746807396929298
127,6,11,0,0,3.0196487960962433
128,6,12,0,0,4.510999153113265
129,6,13,0,0,5.097117458939405
130,6,14,0,0,4.708520564386692
131,6,15,0,0,5.097117477274914
132,6,16,0,0,4.510999152795287
133,6,17,0,0,5.0971174955175504
134,6,18,0,0,5.414692716956367
135,6,19,0,0,6.514163501422722
136,6,20,0,0,5.414692708493753
137,6,21,0,0,6.514163504154525
138,6,22,0,0,6.514163498187947
139,6,23,0,0,5.414692704451998
140,7,8,0,0,6.260437664101984
141,7,9,0,0,6.260437663818324
142,7,10,0,0,5.951448951754207
143,7,11,0,0,6.483128220333268
144,7,12,0,0,4.695371321673425
145,7,13,0,0,7.628298694860651
146,7,14,0,0,5.474523469227867
147,7,15,0,0,7.628298708636877
148,7,16,0,0,4.695371321689057
149,7,17,0,0,7.628298734178886
150,7,18,0,0,6.153277556658611
151,7,19,0,0,3.2870046951010794
152,7,20,0,0,6.153277559922231
153,7,21,0,0,3.287004694298137
154,7,22,0,0,3.287004699903652
155,7,23,0,0,6.153277557365202
156,8,9,0,0,1.5151514423698438e-17
157,8,10,0,0,5.746807397157709
158,8,11,0,0,3.0196487974514308
159,8,12,0,0,4.510999153674571
160,8,13,0,0,5.097117455477219
161,8,14,0,0,4.7085205669762376
162,8,15,0,0,5.0971174738127285
163,8,16,0,0,4.510999153356592
164,8,17,0,0,5.097117492781214
165,8,18,0,0,5.414692718570627
166,8,19,0,0,6.514163501647178
167,8,20,0,0,5.4146927101080164
168,8,21,0,0,6.51416350437898
169,8,22,0,0,6.514163498412402
170,8,23,0,0,5.414692706066257
171,9,10,0,0,5.746807398879385
172,9,11,0,0,3.0196487957342573
173,9,12,0,0,4.510999154800212
