,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.51638184198655
1,0,2,0,0,4.3837004264884065
2,0,3,0,0,3.2091780951550795
3,0,4,0,0,3.8897971481355356
4,0,5,0,0,3.1898380749152433
5,0,6,0,0,5.612639690550335
6,0,7,0,0,3.5988184549185296
7,0,8,0,0,5.422687121642589
8,0,9,0,0,5.1862716613604
9,0,10,0,0,4.74659248891538
10,0,11,0,0,5.6244399236886125
11,0,12,0,0,4.532037816547617
12,0,13,0,0,4.925537624731651
13,0,14,0,0,4.383700426488407
14,0,15,0,0,3.2091780951550795
15,0,16,0,0,4.252109243547238
16,0,17,0,0,4.318116851022759
17,0,18,0,0,3.598818449042917
18,0,19,0,0,4.222787201738839
19,0,20,0,0,6.0964096115309525
20,0,21,0,0,2.9105263629885707
21,0,22,0,0,2.8982461500820853
22,0,23,0,0,4.711502410546952
23,1,2,0,0,4.368838543956997
24,1,3,0,0,3.250125770871868
25,1,4,0,0,3.67381831722528
26,1,5,0,0,2.6914697697425263
27,1,6,0,0,5.916399384393114
28,1,7,0,0,4.272857712039622
29,1,8,0,0,2.9084618272079314
30,1,9,0,0,4.192629766160704
31,1,10,0,0,4.077712025488502
32,1,11,0,0,4.140917967296411
33,1,12,0,0,3.9796923477586215
34,1,13,0,0,4.529262067114032
35,1,14,0,0,4.368838543956999
36,1,15,0,0,3.2501257708718696
37,1,16,0,0,4.335451703714532
38,1,17,0,0,5.290876026138604
39,1,18,0,0,4.2728577293435235
40,1,19,0,0,3.62276964367242
41,1,20,0,0,4.844437164697257
42,1,21,0,0,5.4423261869937525
43,1,22,0,0,2.7421187408279954
44,1,23,0,0,4.3613035295425
45,2,3,0,0,3.7180901734630307
46,2,4,0,0,3.492623709428037
47,2,5,0,0,3.6031830204080864
48,2,6,0,0,4.337448766435617
49,2,7,0,0,2.7122297272908495
50,2,8,0,0,4.2413141379164125
51,2,9,0,0,5.670753908893417
52,2,10,0,0,6.032891665263335
53,2,11,0,0,4.2791327298661495
54,2,12,0,0,4.895508040827555
55,2,13,0,0,1.1870830423687442
56,2,14,0,0,4.7035878163013605e-30
57,2,15,0,0,3.7180901734630316
58,2,16,0,0,5.942574148143759
59,2,17,0,0,3.549081208413485
60,2,18,0,0,2.712229726406691
61,2,19,0,0,3.1114712936113373
62,2,20,0,0,3.997985016472779
63,2,21,0,0,4.602014028768816
64,2,22,0,0,4.705861840486357
65,2,23,0,0,3.524528223610749
66,3,4,0,0,3.6086909688275712
67,3,5,0,0,3.4921171389788843
68,3,6,0,0,3.8033234892121177
69,3,7,0,0,3.8082035510575083
70,3,8,0,0,6.0332290457618765
71,3,9,0,0,4.099897959375492
72,3,10,0,0,4.180096090929811
73,3,11,0,0,6.0917581308002084
74,3,12,0,0,4.990821282957261
75,3,13,0,0,3.649235268277325
76,3,14,0,0,3.718090173463031
77,3,15,0,0,1.2317168236301634e-30
78,3,16,0,0,4.240486181594875
79,3,17,0,0,3.8449906167948256
80,3,18,0,0,3.8082035496813504
81,3,19,0,0,3.6635649278928
82,3,20,0,0,5.61780954738763
83,3,21,0,0,4.956532479863246
84,3,22,0,0,3.532710010468898
85,3,23,0,0,4.676860088903288
86,4,5,0,0,3.535418133926049
87,4,6,0,0,3.9041713563307874
88,4,7,0,0,1.5414352901093653
89,4,8,0,0,3.353123775643947
90,4,9,0,0,4.46907353140845
91,4,10,0,0,4.628715199552454
92,4,11,0,0,4.598336664546448
93,4,12,0,0,5.658462119732777
94,4,13,0,0,3.7741625392417486
95,4,14,0,0,3.4926237094280372
96,4,15,0,0,3.6086909688275726
97,4,16,0,0,4.631146374006377
98,4,17,0,0,4.621546418679197
99,4,18,0,0,1.541435302639725
100,4,19,0,0,1.9197699998354638
101,4,20,0,0,5.247527916056116
102,4,21,0,0,3.356834989056717
103,4,22,0,0,3.5975291703768835
104,4,23,0,0,1.8219341340089266
105,5,6,0,0,5.674750346881977
106,5,7,0,0,3.652367095320492
107,5,8,0,0,3.2957397430280815
108,5,9,0,0,5.192310098577937
109,5,10,0,0,4.535997052816623
110,5,11,0,0,4.6320835803225275
111,5,12,0,0,5.0197902503299705
112,5,13,0,0,4.249559109774056
113,5,14,0,0,3.603183020408086
114,5,15,0,0,3.4921171389788848
115,5,16,0,0,4.023381981607248
116,5,17,0,0,4.054879105124073
117,5,18,0,0,3.6523670793535215
118,5,19,0,0,3.670838435109023
119,5,20,0,0,4.479429948824946
120,5,21,0,0,3.4736191919654624
121,5,22,0,0,1.793321114971269
122,5,23,0,0,3.641101583266669
123,6,7,0,0,4.067070897914924
124,6,8,0,0,4.6625967369226355
125,6,9,0,0,1.7728607392200588
126,6,10,0,0,3.3348819374144654
127,6,11,0,0,3.273892908282165
128,6,12,0,0,4.687059823412866
129,6,13,0,0,3.631046780778455
130,6,14,0,0,4.337448766435616
131,6,15,0,0,3.8033234892121177
132,6,16,0,0,3.42536963746218
133,6,17,0,0,3.6540527942972894
134,6,18,0,0,4.0670709002499645
135,6,19,0,0,4.008743940742193
136,6,20,0,0,3.6828264099056414
137,6,21,0,0,4.010358974693317
138,6,22,0,0,5.177374782786221
139,6,23,0,0,4.493517132907626
140,7,8,0,0,4.285399085760327
141,7,9,0,0,4.577874317166646
142,7,10,0,0,5.590698802507153
143,7,11,0,0,5.238805417863099
144,7,12,0,0,5.942574148827052
145,7,13,0,0,3.4572651988377814
146,7,14,0,0,2.7122297272908487
147,7,15,0,0,3.8082035510575087
148,7,16,0,0,5.612107427437261
149,7,17,0,0,2.784913673014179
150,7,18,0,0,3.3249414712054306e-16
151,7,19,0,0,2.215250392435676
152,7,20,0,0,4.571007000046845
153,7,21,0,0,3.4609878635793407
154,7,22,0,0,4.593781385080281
155,7,23,0,0,2.6843875258384386
156,8,9,0,0,3.9320320704520135
157,8,10,0,0,1.9915080938829777
158,8,11,0,0,1.390774486202997
159,8,12,0,0,3.524528221946112
160,8,13,0,0,4.2809407639306425
161,8,14,0,0,4.241314137916414
162,8,15,0,0,6.033229045761878
163,8,16,0,0,2.6843875258384378
164,8,17,0,0,5.24243613184935
165,8,18,0,0,4.285399092079678
166,8,19,0,0,3.440281729975603
167,8,20,0,0,3.371759699957552
168,8,21,0,0,4.072181630199321
169,8,22,0,0,3.3226779391204078
170,8,23,0,0,2.6808929964607624
171,9,10,0,0,2.744210944055884
172,9,11,0,0,3.2835481507236457
173,9,12,0,0,4.396626958857512
174,9,13,0,0,4.7353357026243454
175,9,14,0,0,5.670753908893415
176,9,15,0,0,4.099897959375493
177,9,16,0,0,3.2379077218631243
178,9,17,0,0,4.597506439393138
179,9,18,0,0,4.577874319157898
180,9,19,0,0,4.6055769714573165
181,9,20,0,0,4.05157443419791
182,9,21,0,0,4.397761711624016
183,9,22,0,0,3.115464646445756
184,9,23,0,0,5.214772239276246
185,10,11,0,0,2.1010009078491296
186,10,12,0,0,2.8522191982494394
187,10,13,0,0,6.090847158211873
188,10,14,0,0,6.032891665263339
189,10,15,0,0,4.180096090929812
190,10,16,0,0,0.7297744430488406
191,10,17,0,0,5.316702325112709
192,10,18,0,0,5.590698801404589
193,10,19,0,0,4.427965209038226
194,10,20,0,0,3.337955857696564
195,10,21,0,0,4.879733621077329
196,10,22,0,0,3.3271007373816697
197,10,23,0,0,3.9237917329425906
198,11,12,0,0,2.788169981600326
199,11,13,0,0,4.250783831353559
200,11,14,0,0,4.27913272986615
201,11,15,0,0,6.09175813080021
202,11,16,0,0,1.808903588134304
203,11,17,0,0,4.3263034021686
204,11,18,0,0,5.238805425643296
205,11,19,0,0,3.5317588498826153
206,11,20,0,0,2.6920963318768063
207,11,21,0,0,4.860972591304644
208,11,22,0,0,3.946025291845539
209,11,23,0,0,3.3818226748252087
210,12,13,0,0,3.5824139339167997
211,12,14,0,0,4.895508040827555
212,12,15,0,0,4.9908212829572625
213,12,16,0,0,2.712229722074069
214,12,17,0,0,3.788089016802291
215,12,18,0,0,5.942574151333604
216,12,19,0,0,4.208245285086181
217,12,20,0,0,3.090887037958346
218,12,21,0,0,4.705861842172184
219,12,22,0,0,4.602014024471146
220,12,23,0,0,4.2413141404633805
221,13,14,0,0,1.1870830423687417
222,13,15,0,0,3.6492352682773257
223,13,16,0,0,5.632756239042597
224,13,17,0,0,2.733573522901476
225,13,18,0,0,3.457265216542762
226,13,19,0,0,2.698864363544154
227,13,20,0,0,3.524557368272934
228,13,21,0,0,4.8788643392005255
229,13,22,0,0,5.5797757102587635
230,13,23,0,0,4.001628791733272
231,14,15,0,0,3.7180901734630325
232,14,16,0,0,5.942574148143759
233,14,17,0,0,3.5490812084134826
234,14,18,0,0,2.71222972640669
235,14,19,0,0,3.1114712936113347
236,14,20,0,0,3.997985016472779
237,14,21,0,0,4.6020140287688145
238,14,22,0,0,4.705861840486356
239,14,23,0,0,3.52452822361075
240,15,16,0,0,4.240486181594878
241,15,17,0,0,3.8449906167948256
242,15,18,0,0,3.8082035496813504
243,15,19,0,0,3.663564927892801
244,15,20,0,0,5.61780954738763
245,15,21,0,0,4.956532479863246
246,15,22,0,0,3.532710010468899
247,15,23,0,0,4.67686008890329
248,16,17,0,0,4.618731048896479
249,16,18,0,0,5.612107421780318
250,16,19,0,0,4.944553293980529
251,16,20,0,0,3.3364705255236013
252,16,21,0,0,4.593781385080278
253,16,22,0,0,3.4609878635793403
254,16,23,0,0,4.285399085760328
255,17,18,0,0,2.784913668532852
256,17,19,0,0,3.4728835348568774
257,17,20,0,0,2.7683878756084024
258,17,21,0,0,4.469350895726993
259,17,22,0,0,4.580753670671529
260,17,23,0,0,4.594282432327244
261,18,19,0,0,2.215250413043874
262,18,20,0,0,4.571006998345695
263,18,21,0,0,3.4609878618753878
264,18,22,0,0,4.593781391532893
265,18,23,0,0,2.6843875340031267
266,19,20,0,0,3.9937983667146817
267,19,21,0,0,4.237800360699528
268,19,22,0,0,3.6750788678888715
269,19,23,0,0,1.0553631811071438
270,20,21,0,0,5.194810089860976
271,20,22,0,0,5.2476440836913785
272,20,23,0,0,3.164442102126487
273,21,22,0,0,4.293994821508392
274,21,23,0,0,3.3226779391204073
275,22,23,0,0,4.0721816301993226
276,0,1,0,1,4.195307265922377
277,0,2,0,1,3.231828365993024
278,0,3,0,1,4.382093720889289
279,0,4,0,1,2.6233580154636544
280,0,5,0,1,3.657517916109297
281,0,6,0,1,4.96486753845919
282,0,7,0,1,3.4948285319393904
283,0,8,0,1,3.0136435541993762
284,0,9,0,1,4.873763427646813
285,0,10,0,1,4.079987471884698
286,0,11,0,1,4.031456572320561
287,0,12,0,1,3.565962928306265
288,0,13,0,1,3.5709826066505674
