,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,3.431883646316868
2,0,3,3.4318836468264573
3,0,4,3.4948301804637314
4,0,5,3.494830188247755
5,0,6,3.641534472445581
6,0,7,3.641534470397788
7,0,8,3.804619966421207
8,0,9,3.804619977648912
9,0,10,2.8959985881154577
10,0,11,2.895998595275496
11,0,12,2.446652876645856
12,0,13,2.446652886227965
13,0,14,2.4853163600818293
14,0,15,2.485316357014891
15,0,16,0.0
16,0,17,0.0
17,0,18,3.431883646316868
18,0,19,3.431883646826458
19,0,20,3.49483018046373
20,0,21,3.494830188247757
21,0,22,3.64153447244558
22,0,23,3.6415344703977888
23,0,24,3.804619966421204
24,0,25,3.804619977648912
25,0,26,2.895998588115457
26,0,27,2.8959985952754965
27,0,28,2.446652876645856
28,0,29,2.4466528862279637
29,0,30,2.4853163600818298
30,0,31,2.4853163570148933
31,1,2,3.440407902539288
32,1,3,3.4404079124152087
33,1,4,3.4886705195158
34,1,5,3.4886705201862016
35,1,6,3.6408523297546314
36,1,7,3.6408523301122826
37,1,8,3.792281131384238
38,1,9,3.792281128126896
39,1,10,2.87649070265668
40,1,11,2.876490700357005
41,1,12,2.4490947778961134
42,1,13,2.449094783784036
43,1,14,2.4853541313726453
44,1,15,2.4853541221127395
45,1,16,0.0
46,1,17,0.0
47,1,18,3.4404079025392837
48,1,19,3.440407912415208
49,1,20,3.4886705195157983
50,1,21,3.488670520186202
51,1,22,3.64085232975463
52,1,23,3.6408523301122826
53,1,24,3.79228113138424
54,1,25,3.7922811281268953
55,1,26,2.87649070265668
56,1,27,2.8764907003570057
57,1,28,2.449094777896116
58,1,29,2.4490947837840342
59,1,30,2.485354131372645
60,1,31,2.48535412211274
61,2,3,0.0
62,2,4,3.6408523301122826
63,2,5,3.6408523297546296
64,2,6,3.4886705201862025
65,2,7,3.488670519515801
66,2,8,2.8764907003570057
67,2,9,2.8764907026566804
68,2,10,3.792281128126892
69,2,11,3.792281131384236
70,2,12,2.48535412211274
71,2,13,2.485354131372645
72,2,14,2.4490947837840347
73,2,15,2.449094777896112
74,2,16,3.4404079124152056
75,2,17,3.4404079025392846
76,2,18,0.0
77,2,19,0.0
78,2,20,3.6408523301122817
79,2,21,3.640852329754632
80,2,22,3.488670520186202
81,2,23,3.4886705195158005
82,2,24,2.876490700357004
83,2,25,2.87649070265668
84,2,26,3.792281128126896
85,2,27,3.79228113138424
86,2,28,2.4853541221127404
87,2,29,2.485354131372645
88,2,30,2.449094783784035
89,2,31,2.4490947778961165
90,3,4,3.642488706354911
91,3,5,3.6424887078932864
92,3,6,3.4889791323750914
93,3,7,3.488979128420045
94,3,8,2.871707093131699
95,3,9,2.871707088446635
96,3,10,3.798654985895293
97,3,11,3.798654974607912
98,3,12,2.487975794745122
99,3,13,2.487975803615411
100,3,14,2.452715670458406
101,3,15,2.45271566417747
102,3,16,3.4398439770357485
103,3,17,3.439843979394584
104,3,18,0.0
