,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.611513145233328
1,0,2,0,0,3.2279363000037598
2,0,3,0,0,3.3882889967565037
3,0,4,0,0,4.23733138934262
4,0,5,0,0,4.7575723386832225
5,0,6,0,0,5.0753378531218125
6,0,7,0,0,4.6023857848690595
7,0,8,0,0,5.507459507891773
8,0,9,0,0,4.292747142947193
9,0,10,0,0,5.921237163342146
10,0,11,0,0,4.824852232748717
11,0,12,0,0,4.3171706135539925
12,0,13,0,0,4.317170609723739
13,0,14,0,0,3.227936300003758
14,0,15,0,0,3.2279363017942804
15,0,16,0,0,5.522544303415294
16,0,17,0,0,4.237331389429573
17,0,18,0,0,4.71198812309734
18,0,19,0,0,4.60238578486906
19,0,20,0,0,4.748221062422804
20,0,21,0,0,4.579649758054418
21,0,22,0,0,4.722879690128175
22,0,23,0,0,4.170092965314586
23,1,2,0,0,4.2739309239330705
24,1,3,0,0,2.8033494209582708
25,1,4,0,0,5.926490961745318
26,1,5,0,0,4.6912340096006675
27,1,6,0,0,4.736583350267791
28,1,7,0,0,4.220985298714109
29,1,8,0,0,4.735214382560744
30,1,9,0,0,5.556242855606822
31,1,10,0,0,4.828963494114563
32,1,11,0,0,4.261305206111338
33,1,12,0,0,3.965754407099794
34,1,13,0,0,3.965754407858453
35,1,14,0,0,4.273930923933071
36,1,15,0,0,4.27393092366569
37,1,16,0,0,4.3467245974825675
38,1,17,0,0,5.9264909699069515
39,1,18,0,0,4.5721543769857576
40,1,19,0,0,4.220985298714108
41,1,20,0,0,4.28372551484911
42,1,21,0,0,4.279172630940628
43,1,22,0,0,4.749882516907528
44,1,23,0,0,5.13548279744219
45,2,3,0,0,4.2813645416895225
46,2,4,0,0,4.135787412349684
47,2,5,0,0,4.2968195663968585
48,2,6,0,0,5.271556592601639
49,2,7,0,0,5.113116145306703
50,2,8,0,0,4.399727242542829
51,2,9,0,0,5.123640817715786
52,2,10,0,0,4.606736462159551
53,2,11,0,0,5.1106416762752325
54,2,12,0,0,2.5563337208741617
55,2,13,0,0,2.5563337195422946
56,2,14,0,0,3.528303658117416e-30
57,2,15,0,0,1.559489812372664e-16
58,2,16,0,0,4.95905258451192
59,2,17,0,0,4.135787419594301
60,2,18,0,0,4.772237500036711
61,2,19,0,0,5.1131161453067016
62,2,20,0,0,4.716156273133905
63,2,21,0,0,4.845134525576219
64,2,22,0,0,5.436125425661161
65,2,23,0,0,5.53696377824795
66,3,4,0,0,4.337188791957468
67,3,5,0,0,5.887926505884823
68,3,6,0,0,5.115962078281521
69,3,7,0,0,4.757554183274105
70,3,8,0,0,4.837281474387771
71,3,9,0,0,4.237114077593052
72,3,10,0,0,4.761960840010911
73,3,11,0,0,5.562127481236343
74,3,12,0,0,4.888366123694457
75,3,13,0,0,4.8883661250946275
76,3,14,0,0,4.281364541689522
77,3,15,0,0,4.281364543499691
78,3,16,0,0,4.562342506858372
79,3,17,0,0,4.337188797851056
80,3,18,0,0,4.357952964045367
81,3,19,0,0,4.757554183274105
82,3,20,0,0,5.935820295142136
83,3,21,0,0,4.797794903915508
84,3,22,0,0,4.294264875566196
85,3,23,0,0,4.098224261623246
86,4,5,0,0,4.472258445580067
87,4,6,0,0,3.010018847124305
88,4,7,0,0,5.8126502671134075
89,4,8,0,0,6.164509300288132
90,4,9,0,0,1.4604850442994861
91,4,10,0,0,6.179655085068825
92,4,11,0,0,6.07008976727914
93,4,12,0,0,5.514292497854289
94,4,13,0,0,5.514292502057763
95,4,14,0,0,4.135787412349682
96,4,15,0,0,4.135787409928918
97,4,16,0,0,5.931520247658954
98,4,17,0,0,1.0971106628593285e-16
99,4,18,0,0,5.807927251587229
100,4,19,0,0,5.8126502671134075
101,4,20,0,0,5.1243451730533875
102,4,21,0,0,5.714183961502281
103,4,22,0,0,1.6595167623314824
104,4,23,0,0,3.899377364239609
