,neighbor_num,isite,atom,x,y,z,front_index
0,0,26,Si1,0.0,0.0,0.0,
1,1,87,O1,-0.7524288416489677,-1.3051232361634637,-0.566587893778668,0.0
2,1,82,O1,-0.782295865519759,1.2992122048075705,-0.5345646840518179,0.0
3,1,49,O1,-5.551115123125783e-17,0.0,1.6108154610951029,0.0
4,1,46,O1,1.5306110452218062,0.0,-0.4999820774657064,0.0
5,2,11,Si1,-0.4661083926646886,-2.704562937324632,-1.3083099749827287,1.0
6,2,2,Si1,-1.0107322491417574,2.557581606583991,-1.510590210549556,2.0
7,2,5,Si1,-1.0649702584228495,0.4596089991816504,2.7297874275305682,3.0
8,2,14,Si1,2.8418419095784104,-0.769550838796775,0.03423432510624669,4.0
9,3,63,O1,-1.867996849752535,-3.390055508568981,-1.709584414895513,5.0
10,3,91,O1,0.3703502054489969,-3.6418960642904397,-0.3003951317905159,5.0
11,3,79,O1,0.4333977402580774,-2.477378098162915,-2.6237726776319694,5.0
12,3,58,O1,-0.9744125361310083,2.0848078819846885,-3.047350821693949,6.0
13,3,54,O1,-2.3941855334928985,3.2752233208504515,-1.1029463214592399,6.0
14,3,94,O1,0.1909022428639005,3.600946548463973,-1.2656356231592305,6.0
15,3,41,O1,-2.513533023544393,0.437074729105263,2.030850999557581,7.0
16,3,37,O1,-0.9611995328592302,-0.5471875108555261,3.9829911999482004,7.0
17,3,33,O1,-0.7056407424301125,1.9471142490015527,3.236902169185768,7.0
18,3,70,O1,4.135098775649444,-0.12051672010062699,-0.6706291934379864,8.0
19,3,74,O1,2.9724624835356908,-0.5802955979822607,1.628235166551264,8.0
20,3,66,O1,2.67586567813796,-2.34545004568595,-0.25133267507017376,8.0
21,4,19,Si1,-2.1995037310044503,-4.280143500215588,-3.0113671281506353,9.0
22,4,30,Si1,1.9082936232469931,-3.6946113278002874,0.17999520648386735,10.0
23,4,23,Si1,1.6196983718565146,-2.8544649037417704,-3.6459185819643087,11.0
24,4,30,Si1,-0.9817584302058873,2.2823908723629405,-4.643871093236389,12.0
25,4,22,Si1,-2.7826752971434714,4.477465420639766,-0.10103718716304,13.0
26,4,18,Si1,0.9040886227572615,4.895193392831973,-1.9051421874254304,14.0
27,4,17,Si1,-4.0890472317721756,0.26923150914074423,1.7610934030217924,15.0
28,4,22,Si1,0.10737675630941013,-1.4995367795234644,4.722829112557218,16.0
29,4,31,Si1,0.2231516791652628,2.4181600817251736,4.4678838645714745,17.0
30,4,21,Si1,4.853782774280015,1.2486320073895916,-1.1222627448317375,18.0
31,4,18,Si1,3.7941406762101435,-1.0818088073312562,2.9187241122948264,19.0
32,4,30,Si1,1.9082936232469931,-3.6946113278002874,0.17999520648386735,20.0
