,neighbor_num,isite,atom,x,y,z,front_index
0,0,10,Si1,0.0,0.0,0.0,
1,1,37,O1,-0.7922649873376028,1.2878510905804377,-0.5496965168654098,0.0
2,1,47,O1,2.220446049250313e-16,0.0,1.606812599862299,0.0
3,1,31,O1,1.5141184504301306,0.0,-0.5475029499806836,0.0
4,1,45,O1,-0.7398636506525031,-1.3375367590313152,-0.4966142140744636,0.0
5,2,5,Si1,-0.7717484238102752,2.742887010484764,-1.2414997950646105,1.0
6,2,9,Si1,0.22287212306308934,-0.029371961528245505,3.197822353356468,2.0
7,2,1,Si1,2.3820749503369836,0.2212008166275818,-1.8864729300360796,3.0
8,2,11,Si1,-1.4772489580143047,-2.4262776885283355,-1.420700020621965,4.0
9,3,41,O1,-2.273873343992256,3.237071284302528,-1.524869234155081,5.0
10,3,53,O1,0.020204346505341197,2.650766690290894,-2.639205977408081,5.0
11,3,42,O1,-0.047563780583930404,3.784455252500817,-0.2528992884173189,5.0
12,3,32,O1,1.746597610905928,-0.42972456757628885,3.529925636536766,6.0
13,3,44,O1,-0.07087407237409422,1.4443825900978327,3.7677251302976225,6.0
14,3,38,O1,-0.7904500894872288,-1.0792675956697066,3.8755448284796303,6.0
15,3,34,O1,3.3056817658822157,-1.0658356005514986,-2.1639597307622944,7.0
16,3,25,O1,1.374596337850035,0.4576777158654515,-3.1213715049985153,7.0
17,3,27,O1,3.295104496558658,1.5345216253271534,-1.6970976131678408,7.0
18,3,36,O1,-0.6737707671166742,-2.5884581377892717,-2.805088261309394,8.0
19,3,46,O1,-1.4911658088005513,-3.82336196206707,-0.6270952165972019,8.0
20,3,30,O1,-2.986549370438734,-1.9426046772658596,-1.7042257609035527,8.0
21,4,19,Si1,-3.7934172231700503,3.6306422386160713,-1.8668983476892773,9.0
22,4,15,Si1,0.53341434952624,1.6546973997451713,-3.7962535005060007,10.0
23,4,4,Si1,0.6798964352434111,5.154851548936323,0.17072128132504782,11.0
24,4,2,Si1,2.705223510885692,-0.8916477645549272,4.739380984401179,12.0
25,4,8,Si1,-0.3670986111019789,2.669341312189615,4.765099499711816,13.0
26,4,6,Si1,-1.0499889299227991,-2.5028031510364928,4.5842960868417535,14.0
27,4,0,Si1,4.233326721194816,-1.947491400377497,-3.1379561891543695,15.0
28,4,15,Si1,0.5334143495262413,1.654697399745171,-3.7962535005060003,16.0
29,4,19,Si1,4.281659699405626,2.566440733969489,-2.439465245085306,17.0
30,4,4,Si1,-0.680959736304495,-2.7055640373308494,-4.412065784591078,18.0
31,4,8,Si1,-1.727954782649887,-5.191074274077556,0.18231243379569162,19.0
32,4,0,Si1,-3.8417502013808575,-0.8832898957309163,-2.5653892917583407,20.0
