,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.629090624190838e-30
1,0,2,0,0,5.4376307183239785
2,0,3,0,0,6.177768163634127
3,0,4,0,0,3.520836099859569
4,0,5,0,0,2.635538563716137
5,0,6,0,0,5.172098344259173
6,0,7,0,0,5.172098344259175
7,0,8,0,0,4.9301181938846765
8,0,9,0,0,3.107440730415111
9,0,10,0,0,4.9301181938846765
10,0,11,0,0,4.9301181938846765
11,0,12,0,0,5.4376307183239785
12,0,13,0,0,5.4378614185399154
13,0,14,0,0,2.3780538261576028e-29
14,0,15,0,0,1.1590457965808701e-29
15,0,16,0,0,3.3145878285357906
16,0,17,0,0,3.3145878285357893
17,0,18,0,0,2.6355385637161337
18,0,19,0,0,3.5208360998595696
19,0,20,0,0,5.425689013306841
20,0,21,0,0,6.582376570824701
21,0,22,0,0,3.5250993430618207
22,0,23,0,0,3.5250993430618243
23,1,2,0,0,5.437630718323979
24,1,3,0,0,6.177768163634127
25,1,4,0,0,3.520836099859568
26,1,5,0,0,2.635538563716135
27,1,6,0,0,5.172098344259174
28,1,7,0,0,5.172098344259176
29,1,8,0,0,4.930118193884679
30,1,9,0,0,3.1074407304151097
31,1,10,0,0,4.930118193884679
32,1,11,0,0,4.93011819388468
33,1,12,0,0,5.4376307183239785
34,1,13,0,0,5.437861418539919
35,1,14,0,0,1.55942507473494e-29
36,1,15,0,0,6.364684976071176e-30
37,1,16,0,0,3.3145878285357897
38,1,17,0,0,3.3145878285357893
39,1,18,0,0,2.635538563716133
40,1,19,0,0,3.520836099859569
41,1,20,0,0,5.42568901330684
42,1,21,0,0,6.582376570824705
43,1,22,0,0,3.525099343061823
44,1,23,0,0,3.525099343061826
45,2,3,0,0,3.960636500940001
46,2,4,0,0,2.690871363950617
47,2,5,0,0,4.218085967923691
48,2,6,0,0,5.232649719899991
49,2,7,0,0,5.232649719899991
50,2,8,0,0,3.5512744601396067
51,2,9,0,0,4.819097905384184
52,2,10,0,0,3.551274460139605
53,2,11,0,0,3.5512744601396067
54,2,12,0,0,5.946917122073477e-30
55,2,13,0,0,5.4365594909398185
56,2,14,0,0,5.437630718323981
57,2,15,0,0,5.437630718323979
58,2,16,0,0,5.00190820483867
59,2,17,0,0,5.00190820483867
60,2,18,0,0,4.218085967923691
61,2,19,0,0,2.6908713639506145
62,2,20,0,0,5.741788200483109
63,2,21,0,0,2.2607115555988218
64,2,22,0,0,3.13000777676088
65,2,23,0,0,3.130007776760883
66,3,4,0,0,5.237440531931269
67,3,5,0,0,4.590387807713821
68,3,6,0,0,2.6489127523009466
69,3,7,0,0,2.6489127523009457
70,3,8,0,0,2.240967375773927
71,3,9,0,0,3.7170224529812597
72,3,10,0,0,2.240967375773927
73,3,11,0,0,2.240967375773927
74,3,12,0,0,3.960636500940001
75,3,13,0,0,3.790618497342984
76,3,14,0,0,6.177768163634124
77,3,15,0,0,6.177768163634126
78,3,16,0,0,4.554067055325546
79,3,17,0,0,4.554067055325546
80,3,18,0,0,4.59038780771382
81,3,19,0,0,5.237440531931268
82,3,20,0,0,3.7948481021871023
83,3,21,0,0,3.575469044414455
84,3,22,0,0,3.8790446626862334
85,3,23,0,0,3.8790446626862334
86,4,5,0,0,3.237313319644607
87,4,6,0,0,5.374368372844646
88,4,7,0,0,5.374368372844648
89,4,8,0,0,3.1140474129276203
90,4,9,0,0,4.258321917347047
91,4,10,0,0,3.114047412927618
92,4,11,0,0,3.11404741292762
93,4,12,0,0,2.6908713639506177
94,4,13,0,0,4.215962927941941
95,4,14,0,0,3.520836099859568
96,4,15,0,0,3.520836099859567
97,4,16,0,0,3.906549773166964
98,4,17,0,0,3.906549773166966
99,4,18,0,0,3.2373133196446062
100,4,19,0,0,1.101763205118852e-29
101,4,20,0,0,4.198347077480663
102,4,21,0,0,4.291760665500296
103,4,22,0,0,2.0761643907615213
104,4,23,0,0,2.076164390761524
105,5,6,0,0,4.105726509256212
106,5,7,0,0,4.105726509256216
107,5,8,0,0,4.293632509897553
108,5,9,0,0,1.9146477826788955
109,5,10,0,0,4.293632509897553
110,5,11,0,0,4.293632509897553
111,5,12,0,0,4.218085967923688
112,5,13,0,0,3.5037344552634537
113,5,14,0,0,2.6355385637161355
114,5,15,0,0,2.6355385637161355
115,5,16,0,0,3.2445784531621205
116,5,17,0,0,3.24457845316212
117,5,18,0,0,7.48128690603437e-30
118,5,19,0,0,3.2373133196446116
119,5,20,0,0,3.770173472399012
120,5,21,0,0,4.532702137630227
121,5,22,0,0,3.0348461644434654
122,5,23,0,0,3.034846164443469
123,6,7,0,0,4.965899474726902e-30
124,6,8,0,0,4.169735879357814
125,6,9,0,0,3.746810277561078
126,6,10,0,0,4.1697358793578125
127,6,11,0,0,4.169735879357814
128,6,12,0,0,5.232649719899993
129,6,13,0,0,4.5602221259173366
130,6,14,0,0,5.1720983442591715
131,6,15,0,0,5.172098344259175
