,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,2.635538563716135
4,0,5,2.635538563716137
5,0,6,2.635538563716135
6,0,7,2.6355385637161355
7,0,8,2.2380792566147254
8,0,9,2.238079256614726
9,0,10,2.2380792566147263
10,0,11,2.2380792566147263
11,0,12,0.0
12,0,13,0.0
13,0,14,0.0
14,0,15,0.0
15,0,16,2.635538563716134
16,0,17,2.635538563716134
17,0,18,2.6355385637161337
18,0,19,2.635538563716136
19,0,20,2.238079256614726
20,0,21,2.238079256614727
21,0,22,2.238079256614726
22,0,23,2.2380792566147245
23,1,2,0.0
24,1,3,0.0
25,1,4,2.6355385637161346
26,1,5,2.635538563716135
27,1,6,2.635538563716134
28,1,7,2.6355385637161346
29,1,8,2.238079256614725
30,1,9,2.238079256614725
31,1,10,2.238079256614726
32,1,11,2.2380792566147254
33,1,12,0.0
34,1,13,0.0
35,1,14,0.0
36,1,15,0.0
37,1,16,2.635538563716134
38,1,17,2.635538563716133
39,1,18,2.635538563716133
40,1,19,2.635538563716135
41,1,20,2.2380792566147254
42,1,21,2.238079256614727
43,1,22,2.238079256614726
44,1,23,2.2380792566147245
45,2,3,0.0
46,2,4,2.690871363950617
47,2,5,2.6908713639506203
48,2,6,2.690871363950617
49,2,7,2.6908713639506185
50,2,8,2.260711555598818
51,2,9,2.2607115555988195
52,2,10,2.260711555598819
53,2,11,2.260711555598817
54,2,12,0.0
55,2,13,0.0
56,2,14,0.0
57,2,15,0.0
58,2,16,2.690871363950622
59,2,17,2.6908713639506203
60,2,18,2.6908713639506168
61,2,19,2.6908713639506145
62,2,20,2.26071155559882
63,2,21,2.2607115555988218
64,2,22,2.260711555598819
65,2,23,2.2607115555988178
66,3,4,2.6489127523009457
67,3,5,2.648912752300947
68,3,6,2.6489127523009466
69,3,7,2.6489127523009457
70,3,8,2.240967375773927
71,3,9,2.240967375773927
72,3,10,2.240967375773927
73,3,11,2.240967375773927
74,3,12,0.0
75,3,13,0.0
76,3,14,0.0
77,3,15,0.0
78,3,16,2.648912752300944
79,3,17,2.6489127523009417
80,3,18,2.648912752300943
81,3,19,2.6489127523009444
82,3,20,2.2409673757739257
83,3,21,2.2409673757739297
84,3,22,2.2409673757739266
85,3,23,2.240967375773926
86,4,5,0.0
87,4,6,0.0
88,4,7,0.0
89,4,8,2.076164390761523
90,4,9,2.076164390761522
91,4,10,2.0761643907615235
92,4,11,2.076164390761522
93,4,12,2.6908713639506177
94,4,13,2.69087136395062
95,4,14,2.690871363950625
96,4,15,2.6908713639506234
97,4,16,0.0
98,4,17,0.0
99,4,18,0.0
100,4,19,0.0
101,4,20,2.0761643907615244
102,4,21,2.076164390761524
103,4,22,2.0761643907615213
104,4,23,2.076164390761524
105,5,6,0.0
106,5,7,0.0
107,5,8,1.9146477826788983
108,5,9,1.9146477826788957
109,5,10,1.914647782678896
110,5,11,1.914647782678896
111,5,12,2.635538563716136
112,5,13,2.6355385637161364
113,5,14,2.6355385637161355
114,5,15,2.6355385637161355
115,5,16,0.0
116,5,17,0.0
117,5,18,0.0
118,5,19,0.0
119,5,20,1.9146477826788937
120,5,21,1.9146477826788957
121,5,22,1.914647782678892
122,5,23,1.914647782678896
123,6,7,0.0
124,6,8,1.983071192012106
125,6,9,1.983071192012102
126,6,10,1.983071192012106
127,6,11,1.983071192012105
128,6,12,2.648912752300948
129,6,13,2.648912752300949
130,6,14,2.6489127523009457
131,6,15,2.6489127523009457
132,6,16,0.0
133,6,17,0.0
134,6,18,0.0
135,6,19,0.0
136,6,20,1.983071192012107
137,6,21,1.983071192012107
138,6,22,1.983071192012103
139,6,23,1.9830711920121036
140,7,8,1.9830711920121056
141,7,9,1.9830711920121016
142,7,10,1.9830711920121056
143,7,11,1.983071192012105
144,7,12,2.6489127523009475
145,7,13,2.648912752300948
146,7,14,2.6489127523009453
147,7,15,2.6489127523009453
148,7,16,0.0
149,7,17,0.0
150,7,18,0.0
151,7,19,0.0
152,7,20,1.9830711920121076
153,7,21,1.9830711920121065
154,7,22,1.983071192012103
155,7,23,1.9830711920121036
156,8,9,0.0
157,8,10,0.0
158,8,11,0.0
159,8,12,2.240967375773927
160,8,13,2.2409673757739275
161,8,14,2.240967375773927
162,8,15,2.240967375773927
163,8,16,2.0936091116464706
164,8,17,2.0936091116464683
165,8,18,2.093609111646469
166,8,19,2.093609111646474
167,8,20,0.0
168,8,21,0.0
169,8,22,0.0
170,8,23,0.0
171,9,10,0.0
172,9,11,0.0
173,9,12,2.382638589175712
174,9,13,2.382638589175716
175,9,14,2.3826385891757083
176,9,15,2.3826385891757083
177,9,16,1.9146477826788908
178,9,17,1.9146477826788917
179,9,18,1.9146477826788943
180,9,19,1.9146477826788943
181,9,20,0.0
182,9,21,0.0
183,9,22,0.0
184,9,23,0.0
185,10,11,0.0
186,10,12,2.240967375773927
187,10,13,2.240967375773928
188,10,14,2.240967375773927
189,10,15,2.240967375773927
190,10,16,2.0936091116464697
191,10,17,2.0936091116464675
192,10,18,2.093609111646468
193,10,19,2.0936091116464737
194,10,20,0.0
195,10,21,0.0
196,10,22,0.0
197,10,23,0.0
198,11,12,2.240967375773928
199,11,13,2.240967375773929
200,11,14,2.240967375773928
201,11,15,2.2409673757739275
202,11,16,2.09360911164647
203,11,17,2.093609111646468
204,11,18,2.093609111646468
205,11,19,2.0936091116464737
206,11,20,0.0
207,11,21,0.0
208,11,22,0.0
209,11,23,0.0
210,12,13,0.0
211,12,14,0.0
212,12,15,0.0
213,12,16,2.6908713639506217
214,12,17,2.6908713639506203
215,12,18,2.6908713639506168
216,12,19,2.6908713639506154
217,12,20,2.260711555598821
218,12,21,2.2607115555988213
219,12,22,2.260711555598819
220,12,23,2.260711555598818
221,13,14,0.0
222,13,15,0.0
223,13,16,2.651286856766616
224,13,17,2.6512868567666144
225,13,18,2.651286856766613
226,13,19,2.651286856766619
227,13,20,2.2352990838133686
228,13,21,2.235299083813372
229,13,22,2.2352990838133677
230,13,23,2.2352990838133664
231,14,15,0.0
232,14,16,2.6355385637161337
233,14,17,2.6355385637161333
234,14,18,2.6355385637161324
235,14,19,2.6355385637161346
236,14,20,2.2380792566147263
237,14,21,2.2380792566147285
238,14,22,2.2380792566147267
239,14,23,2.238079256614725
240,15,16,2.6355385637161337
241,15,17,2.635538563716133
242,15,18,2.6355385637161333
243,15,19,2.635538563716135
244,15,20,2.2380792566147267
245,15,21,2.238079256614729
246,15,22,2.2380792566147267
247,15,23,2.238079256614726
248,16,17,0.0
249,16,18,0.0
250,16,19,0.0
251,16,20,2.097843516812729
252,16,21,2.0978435168127274
253,16,22,2.0978435168127234
254,16,23,2.0978435168127274
255,17,18,0.0
256,17,19,0.0
257,17,20,2.0978435168127287
258,17,21,2.0978435168127265
259,17,22,2.0978435168127234
