,isite_i,isite_j,distance
0,0,1,3.0117463362895154
1,0,2,3.0117463362895154
2,0,3,0.0
3,0,4,3.011746336289515
4,0,5,0.0
5,0,6,0.0
6,0,7,3.011746336289515
7,0,8,
8,0,9,
9,0,10,
10,0,11,
11,0,12,
12,0,13,
13,0,14,
14,0,15,
15,0,16,
16,0,17,
17,0,18,
18,0,19,
19,0,20,
20,0,21,
21,0,22,
22,0,23,
23,1,2,0.0
24,1,3,3.011252482623842
25,1,4,0.0
26,1,5,3.0112524826238403
27,1,6,3.011252482623841
28,1,7,0.0
29,1,8,
30,1,9,
31,1,10,
32,1,11,
33,1,12,
34,1,13,
35,1,14,
36,1,15,
37,1,16,
38,1,17,
39,1,18,
40,1,19,
41,1,20,
42,1,21,
43,1,22,
44,1,23,
45,2,3,3.0120659949044364
46,2,4,0.0
47,2,5,3.0120659949044364
48,2,6,3.012065994904436
49,2,7,0.0
50,2,8,
51,2,9,
52,2,10,
53,2,11,
54,2,12,
55,2,13,
56,2,14,
57,2,15,
58,2,16,
59,2,17,
60,2,18,
61,2,19,
62,2,20,
63,2,21,
64,2,22,
65,2,23,
66,3,4,3.0112524826238403
67,3,5,0.0
68,3,6,0.0
69,3,7,3.0112524826238403
70,3,8,
71,3,9,
72,3,10,
73,3,11,
74,3,12,
75,3,13,
76,3,14,
77,3,15,
78,3,16,
79,3,17,
80,3,18,
81,3,19,
82,3,20,
83,3,21,
84,3,22,
85,3,23,
86,4,5,3.0112524826238403
87,4,6,3.011252482623841
88,4,7,0.0
89,4,8,
90,4,9,
91,4,10,
92,4,11,
93,4,12,
94,4,13,
95,4,14,
96,4,15,
97,4,16,
98,4,17,
99,4,18,
100,4,19,
101,4,20,
102,4,21,
103,4,22,
104,4,23,
105,5,6,0.0
106,5,7,3.01125248262384
107,5,8,
108,5,9,
109,5,10,
110,5,11,
111,5,12,
112,5,13,
113,5,14,
114,5,15,
115,5,16,
116,5,17,
117,5,18,
118,5,19,
119,5,20,
120,5,21,
121,5,22,
122,5,23,
123,6,7,3.01125248262384
124,6,8,
125,6,9,
126,6,10,
127,6,11,
128,6,12,
129,6,13,
130,6,14,
131,6,15,
132,6,16,
133,6,17,
134,6,18,
135,6,19,
136,6,20,
137,6,21,
138,6,22,
139,6,23,
140,7,8,
141,7,9,
142,7,10,
143,7,11,
144,7,12,
145,7,13,
146,7,14,
147,7,15,
148,7,16,
149,7,17,
150,7,18,
151,7,19,
152,7,20,
153,7,21,
154,7,22,
155,7,23,
