,neighbor_num,isite,atom,x,y,z,front_index
0,0,19,Si1,0.0,0.0,0.0,
1,1,52,O1,-0.7587223795387703,1.3146657,-0.5372606182394409,0.0
2,1,69,O1,-1.1102230246251565e-16,0.0,1.6092084630489152,0.0
3,1,49,O1,-0.7587223795387705,-1.3146657000000002,-0.5372606182394403,0.0
4,1,26,O1,1.5183337489269721,0.0,-0.5310244471407467,0.0
5,2,15,Si1,-1.1539132386131787,2.172833699999999,-1.8411112203256306,1.0
6,2,14,Si1,-0.7015224596636715,-5.551115123125783e-16,3.0574550291196534,2.0
7,2,13,Si1,-1.15391323861318,-2.172833700000001,-1.841111220325631,3.0
8,2,2,Si1,2.658148508994548,2.220446049250313e-16,-1.6659899308995563,4.0
9,3,70,O1,-1.8780365216485477,3.5363673,-1.387268218633008,5.0
10,3,32,O1,0.17516101588409405,2.5292118000000015,-2.6741061857754085,5.0
11,3,56,O1,-2.155065003993336,1.3146657000000004,-2.765176883756907,5.0
12,3,53,O1,-1.6185680165580258,1.3146657000000006,3.210216502352675,6.0
13,3,33,O1,0.4334430240951379,6.661338147750939e-16,4.197269789187228,6.0
14,3,50,O1,-1.6185680165580263,-1.3146657,3.2102165023526745,6.0
15,3,68,O1,-1.8780365216485495,-3.536367300000002,-1.3872682186330079,7.0
16,3,59,O1,-2.155065003993337,-1.3146657000000008,-2.765176883756907,7.0
17,3,30,O1,0.17516101588409494,-2.5292118000000006,-2.674106185775409,7.0
18,3,41,O1,2.505387035761526,1.3146656999999997,-2.583035487793911,8.0
19,3,38,O1,2.505387035761526,-1.3146657,-2.583035487793911,8.0
20,3,62,O1,4.106395075065286,4.440892098500626e-16,-0.9644674712358852,8.0
21,4,16,Si1,-3.0334019830048415,4.3909596,-0.6631449355976378,9.0
22,4,12,Si1,1.504235270381369,2.1728337,-3.5071011512251866,10.0
23,4,17,Si1,-2.3078264772263597,-1.5543122344752192e-15,-3.682222440651262,11.0
24,4,4,Si1,-2.5426336799893012,2.1728337000000004,4.211368267732833,12.0
25,4,21,Si1,0.9644674712358831,8.881784197001252e-16,5.7156035381142,13.0
26,4,1,Si1,-2.5426336799893017,-2.1728336999999995,4.2113682677328335,14.0
27,4,18,Si1,-3.033401983004842,-4.390959600000001,-0.6631449355976385,15.0
28,4,17,Si1,-2.3078264772263597,-1.5543122344752192e-15,-3.682222440651262,16.0
29,4,9,Si1,1.504235270381368,-2.1728337000000004,-3.507101151225187,17.0
30,4,12,Si1,1.504235270381369,2.1728337,-3.5071011512251866,18.0
31,4,9,Si1,1.504235270381368,-2.1728337000000004,-3.507101151225187,19.0
32,4,10,Si1,5.715603538114199,2.220446049250313e-16,-0.9644674712358864,20.0
