,neighbor_num,isite,atom,x,y,z,front_index
0,0,5,Si1,0.0,0.0,0.0,
1,1,33,O1,1.5018592812735474,0.0,-0.575120699567928,0.0
2,1,38,O1,0.0,0.0,1.609891706188959,0.0
3,1,27,O1,-0.7544536052040407,1.3325153123380011,-0.49904982630533506,0.0
4,1,21,O1,-0.805272762966559,-1.2793817536885788,-0.552794877458884,0.0
5,2,13,Si1,2.8906554894274525,0.6750443923518933,-1.0293926505003603,1.0
6,2,2,Si1,-0.7624913669703547,-0.6807577597055627,2.8536469447919335,2.0
7,2,3,Si1,-0.7576294772931494,2.262389512278201,-1.8140296418455009,3.0
8,2,9,Si1,-1.6206564053821073,-1.9750032306518344,-1.7548388421873173,4.0
9,3,46,O1,2.762089408656508,2.27996830409374,-1.014688515582344,5.0
10,3,17,O1,3.233057264313008,0.22650671779876286,-2.537777348027199,5.0
11,3,45,O1,4.043492111067334,0.16364844140840906,-0.027683935776466218,5.0
12,3,18,O1,-2.1399649749936303,-1.3501476169331506,2.3583210427516628,6.0
13,3,26,O1,0.18488174072016206,-1.8410331569373368,3.445333708679265,6.0
14,3,30,O1,-1.0553884326619902,0.39861237496012536,4.009292453207037,6.0
15,3,31,O1,-0.5353813222608098,1.338368334159078,-3.1113868554883246,7.0
16,3,19,O1,0.4374414886643063,3.3328621300441936,-1.6845775969386132,7.0
17,3,39,O1,-2.1752289249224344,3.0221402587317012,-1.8843283971722875,7.0
18,3,29,O1,-3.1955106148885157,-1.932433563985164,-1.424952669224287,8.0
19,3,42,O1,-1.1155035398611823,-3.4995594910802517,-1.8691848190896874,8.0
20,3,41,O1,-1.3774945737860127,-1.165686265304614,-3.125917547895068,8.0
21,4,14,Si1,1.9524629313199244,3.653518491248965,-1.2423797419188904,9.0
22,4,1,Si1,4.098778885771945,-0.6962669458758071,-3.5327039336399073,10.0
23,4,15,Si1,5.447098659596701,-0.5587619286681513,0.2893935394887466,11.0
24,4,15,Si1,-3.310733543891222,-2.4277770754920964,2.606645678659735,12.0
25,4,4,Si1,0.3809771152957455,-2.5986674417713096,4.852950461801426,13.0
26,4,10,Si1,-0.6950478182718536,1.2852098795713554,5.303472638216235,14.0
27,4,11,Si1,-0.6914823585631625,0.002671118804139505,-3.995891383566477,15.0
28,4,14,Si1,1.9524629313199244,3.653518491248965,-1.2423797419188904,16.0
29,4,4,Si1,-2.830337005581364,4.462648764890764,-1.588490684913089,17.0
30,4,1,Si1,-4.65905331771598,-2.565282092699752,-1.215451794468918,18.0
31,4,10,Si1,-1.123858590330371,-5.047675692948833,-1.4250622429545696,19.0
32,4,11,Si1,-0.6914823585631625,0.002671118804139505,-3.995891383566477,20.0
