,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.930410459195965
1,0,2,0,0,3.011033767460498
2,0,3,0,0,3.011033767460497
3,0,4,0,0,4.068752640146745
4,0,5,0,0,1.7013968312653356
5,0,6,0,0,4.5453218142952725
6,0,7,0,0,4.068752640146746
7,0,8,0,0,2.4875528112972485
8,0,9,0,0,6.716462316617918
9,0,10,0,0,1.7013968312653356
10,0,11,0,0,4.54532181429527
11,0,12,0,0,3.5119569629549706e-30
12,0,13,0,0,5.46486379987988
13,0,14,0,0,5.464863799879875
14,0,15,0,0,5.930410459195967
15,0,16,0,0,3.011033767460498
16,0,17,0,0,5.930410459195964
17,0,18,0,0,3.0110337674604963
18,0,19,0,0,5.845119833652831
19,0,20,0,0,1.7013968312653343
20,0,21,0,0,7.282202194689953
21,0,22,0,0,6.716462316617918
22,0,23,0,0,4.068752640146743
23,0,24,0,0,6.716462316617918
24,0,25,0,0,2.487552811297248
25,0,26,0,0,4.068752640146742
26,0,27,0,0,4.545321814295271
27,0,28,0,0,5.845119833652827
28,0,29,0,0,5.8456183589178705
29,0,30,0,0,3.0110337674604963
30,0,31,0,0,5.930410459195962
31,1,2,0,0,5.665085717685559
32,1,3,0,0,5.665085717685558
33,1,4,0,0,5.4551655365793446
34,1,5,0,0,4.122701780871856
35,1,6,0,0,7.2892634050464755
36,1,7,0,0,5.455165536579344
37,1,8,0,0,4.542719767115469
38,1,9,0,0,2.4875528112972463
39,1,10,0,0,4.122701780871859
40,1,11,0,0,7.289263405046474
41,1,12,0,0,5.930410459195964
42,1,13,0,0,5.848975479056016
43,1,14,0,0,5.848975479056017
44,1,15,0,0,7.734683934467802e-30
45,1,16,0,0,5.6650857176855585
46,1,17,0,0,9.526143480436841e-30
47,1,18,0,0,5.665085717685558
48,1,19,0,0,5.670772480000966
49,1,20,0,0,4.122701780871856
50,1,21,0,0,1.7011325386264577
51,1,22,0,0,2.487552811297245
52,1,23,0,0,5.455165536579345
53,1,24,0,0,2.4875528112972463
54,1,25,0,0,4.542719767115467
55,1,26,0,0,5.455165536579345
56,1,27,0,0,7.289263405046475
57,1,28,0,0,5.6707724800009665
58,1,29,0,0,1.0631802260112881
59,1,30,0,0,5.665085717685559
60,1,31,0,0,1.4074777466131178e-29
61,2,3,0,0,4.284491468457819e-30
62,2,4,0,0,4.5501144179092545
63,2,5,0,0,2.4867146238457862
64,2,6,0,0,4.076127088882911
65,2,7,0,0,4.550114417909255
66,2,8,0,0,1.7011325386264584
67,2,9,0,0,7.282202194689955
68,2,10,0,0,2.4867146238457867
69,2,11,0,0,4.076127088882908
70,2,12,0,0,3.011033767460498
71,2,13,0,0,5.945561852460199
72,2,14,0,0,5.945561852460205
73,2,15,0,0,5.665085717685559
74,2,16,0,0,2.1787332869053122e-30
75,2,17,0,0,5.665085717685558
76,2,18,0,0,1.0629661448704249e-29
77,2,19,0,0,5.670414681098964
78,2,20,0,0,2.4867146238457862
79,2,21,0,0,5.452261944973842
80,2,22,0,0,7.2822021946899484
81,2,23,0,0,4.550114417909255
82,2,24,0,0,7.282202194689955
83,2,25,0,0,1.701132538626459
84,2,26,0,0,4.550114417909256
85,2,27,0,0,4.076127088882911
86,2,28,0,0,5.670414681098966
87,2,29,0,0,5.461389999203988
88,2,30,0,0,1.0339960589524819e-29
89,2,31,0,0,5.6650857176855585
90,3,4,0,0,4.550114417909254
91,3,5,0,0,2.4867146238457845
92,3,6,0,0,4.07612708888291
93,3,7,0,0,4.5501144179092545
94,3,8,0,0,1.701132538626458
95,3,9,0,0,7.2822021946899556
96,3,10,0,0,2.486714623845786
