,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,1.7013968312653358
4,0,5,1.7013968312653356
5,0,6,1.7013968312653367
6,0,7,1.7013968312653356
7,0,8,1.7013968312653354
8,0,9,1.7013968312653356
9,0,10,1.7013968312653356
10,0,11,1.7013968312653354
11,0,12,0.0
12,0,13,0.0
13,0,14,0.0
14,0,15,0.0
15,0,16,0.0
16,0,17,0.0
17,0,18,0.0
18,0,19,0.0
19,0,20,1.7013968312653345
20,0,21,1.7013968312653354
21,0,22,1.7013968312653356
22,0,23,1.7013968312653365
23,0,24,1.701396831265335
24,0,25,1.7013968312653365
25,0,26,1.7013968312653358
26,0,27,1.7013968312653356
27,0,28,0.0
28,0,29,0.0
29,0,30,0.0
30,0,31,0.0
31,1,2,0.0
32,1,3,0.0
33,1,4,1.7011325386264575
34,1,5,1.7011325386264575
35,1,6,1.7011325386264586
36,1,7,1.7011325386264566
37,1,8,1.7011325386264575
38,1,9,1.7011325386264573
39,1,10,1.7011325386264589
40,1,11,1.7011325386264573
41,1,12,0.0
42,1,13,0.0
43,1,14,0.0
44,1,15,0.0
45,1,16,0.0
46,1,17,0.0
47,1,18,0.0
48,1,19,0.0
49,1,20,1.701132538626456
50,1,21,1.7011325386264575
51,1,22,1.7011325386264569
52,1,23,1.7011325386264584
53,1,24,1.7011325386264555
54,1,25,1.7011325386264582
55,1,26,1.7011325386264575
56,1,27,1.7011325386264575
57,1,28,0.0
58,1,29,0.0
59,1,30,0.0
60,1,31,0.0
61,2,3,0.0
62,2,4,1.7011325386264595
63,2,5,1.7011325386264584
64,2,6,1.7011325386264609
65,2,7,1.7011325386264569
66,2,8,1.7011325386264584
67,2,9,1.7011325386264575
68,2,10,1.7011325386264595
69,2,11,1.701132538626457
70,2,12,0.0
71,2,13,0.0
72,2,14,0.0
73,2,15,0.0
74,2,16,0.0
75,2,17,0.0
76,2,18,0.0
77,2,19,0.0
78,2,20,1.7011325386264575
79,2,21,1.7011325386264593
80,2,22,1.701132538626457
81,2,23,1.7011325386264595
82,2,24,1.7011325386264566
83,2,25,1.701132538626459
84,2,26,1.701132538626459
85,2,27,1.7011325386264582
86,2,28,0.0
87,2,29,0.0
88,2,30,0.0
89,2,31,0.0
90,3,4,1.7011325386264584
91,3,5,1.7011325386264575
92,3,6,1.7011325386264602
93,3,7,1.7011325386264566
94,3,8,1.701132538626458
95,3,9,1.7011325386264573
96,3,10,1.7011325386264589
97,3,11,1.7011325386264566
98,3,12,0.0
99,3,13,0.0
100,3,14,0.0
101,3,15,0.0
102,3,16,0.0
103,3,17,0.0
104,3,18,0.0
105,3,19,0.0
106,3,20,1.701132538626457
107,3,21,1.7011325386264589
108,3,22,1.7011325386264564
109,3,23,1.7011325386264582
110,3,24,1.7011325386264564
111,3,25,1.7011325386264582
112,3,26,1.7011325386264575
113,3,27,1.701132538626458
114,3,28,0.0
115,3,29,0.0
116,3,30,0.0
117,3,31,0.0
118,4,5,0.0
119,4,6,0.0
120,4,7,0.0
121,4,8,0.0
122,4,9,0.0
123,4,10,0.0
124,4,11,0.0
125,4,12,1.7013206953806017
126,4,13,1.7013206953805988
127,4,14,1.7013206953806013
128,4,15,1.7013206953806013
129,4,16,1.7013206953806017
130,4,17,1.7013206953806022
131,4,18,1.7013206953805986
132,4,19,1.7013206953806013
133,4,20,0.0
134,4,21,0.0
135,4,22,0.0
136,4,23,0.0
137,4,24,0.0
138,4,25,0.0
139,4,26,0.0
140,4,27,0.0
141,4,28,1.7013206953806013
142,4,29,1.7013206953806006
143,4,30,1.7013206953805993
144,4,31,1.701320695380602
145,5,6,0.0
146,5,7,0.0
147,5,8,0.0
148,5,9,0.0
149,5,10,0.0
150,5,11,0.0
151,5,12,1.701396831265335
152,5,13,1.7013968312653325
153,5,14,1.7013968312653345
154,5,15,1.701396831265335
155,5,16,1.701396831265335
156,5,17,1.7013968312653356
157,5,18,1.7013968312653331
158,5,19,1.7013968312653358
159,5,20,0.0
160,5,21,0.0
161,5,22,0.0
162,5,23,0.0
163,5,24,0.0
164,5,25,0.0
165,5,26,0.0
166,5,27,0.0
167,5,28,1.7013968312653331
168,5,29,1.7013968312653345
169,5,30,1.7013968312653331
170,5,31,1.701396831265336
171,6,7,0.0
172,6,8,0.0
173,6,9,0.0
174,6,10,0.0
175,6,11,0.0
176,6,12,1.7010717910405802
177,6,13,1.701071791040578
178,6,14,1.7010717910405797
179,6,15,1.7010717910405802
180,6,16,1.701071791040579
181,6,17,1.70107179104058
182,6,18,1.7010717910405777
183,6,19,1.7010717910405808
184,6,20,0.0
185,6,21,0.0
186,6,22,0.0
187,6,23,0.0
188,6,24,0.0
189,6,25,0.0
190,6,26,0.0
191,6,27,0.0
192,6,28,1.7010717910405786
193,6,29,1.7010717910405797
194,6,30,1.701071791040578
195,6,31,1.7010717910405808
196,7,8,0.0
197,7,9,0.0
198,7,10,0.0
199,7,11,0.0
200,7,12,1.7013206953805993
201,7,13,1.7013206953805966
202,7,14,1.7013206953805988
203,7,15,1.7013206953805986
204,7,16,1.701320695380599
205,7,17,1.7013206953806
206,7,18,1.7013206953805964
207,7,19,1.7013206953805993
208,7,20,0.0
209,7,21,0.0
210,7,22,0.0
211,7,23,0.0
212,7,24,0.0
213,7,25,0.0
214,7,26,0.0
215,7,27,0.0
216,7,28,1.7013206953805984
217,7,29,1.7013206953805984
218,7,30,1.7013206953805968
219,7,31,1.7013206953805995
220,8,9,0.0
221,8,10,0.0
222,8,11,0.0
223,8,12,1.7011325386264593
224,8,13,1.701132538626458
225,8,14,1.701132538626459
226,8,15,1.701132538626459
227,8,16,1.7011325386264589
228,8,17,1.7011325386264595
229,8,18,1.701132538626458
230,8,19,1.701132538626459
231,8,20,0.0
232,8,21,0.0
233,8,22,0.0
234,8,23,0.0
235,8,24,0.0
236,8,25,0.0
237,8,26,0.0
238,8,27,0.0
239,8,28,1.701132538626459
240,8,29,1.7011325386264584
241,8,30,1.7011325386264575
242,8,31,1.7011325386264595
243,9,10,0.0
244,9,11,0.0
245,9,12,1.7013968312653345
246,9,13,1.7013968312653336
247,9,14,1.7013968312653336
248,9,15,1.701396831265335
249,9,16,1.701396831265334
250,9,17,1.7013968312653338
251,9,18,1.7013968312653334
252,9,19,1.7013968312653336
253,9,20,0.0
254,9,21,0.0
255,9,22,0.0
256,9,23,0.0
257,9,24,0.0
258,9,25,0.0
259,9,26,0.0
260,9,27,0.0
261,9,28,1.701396831265334
262,9,29,1.701396831265334
263,9,30,1.7013968312653327
264,9,31,1.7013968312653338
265,10,11,0.0
266,10,12,1.7013968312653354
267,10,13,1.7013968312653327
268,10,14,1.7013968312653351
269,10,15,1.701396831265335
270,10,16,1.701396831265335
271,10,17,1.7013968312653354
272,10,18,1.7013968312653336
273,10,19,1.7013968312653356
