,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,3.8181334617669145
4,0,5,3.818133461766916
5,0,6,3.8181334617669167
6,0,7,3.818133461766916
7,0,8,3.7947524720877386
8,0,9,3.79475247208774
9,0,10,3.794752472087739
10,0,11,3.794752472087739
11,1,2,0.0
12,1,3,0.0
13,1,4,3.445917965417037
14,1,5,3.4459179654170367
15,1,6,3.445917965417039
16,1,7,3.445917965417033
17,1,8,3.291744525581552
18,1,9,3.291744525581552
19,1,10,3.291744525581553
20,1,11,3.291744525581551
21,2,3,0.0
22,2,4,3.8181334617669136
23,2,5,3.8181334617669154
24,2,6,3.8181334617669154
25,2,7,3.8181334617669145
26,2,8,3.794752472087736
27,2,9,3.794752472087737
28,2,10,3.794752472087737
29,2,11,3.794752472087736
30,3,4,2.673032721371625
31,3,5,2.673032721371624
32,3,6,2.6730327213716247
33,3,7,2.6730327213716256
34,3,8,3.647081600436384
35,3,9,3.647081600436386
36,3,10,3.6470816004363846
37,3,11,3.647081600436384
38,4,5,0.0
39,4,6,0.0
40,4,7,0.0
41,4,8,3.606842004302506
42,4,9,3.606842004302508
43,4,10,3.606842004302508
44,4,11,3.6068420043025062
45,5,6,0.0
46,5,7,0.0
47,5,8,3.6470816004363895
48,5,9,3.6470816004363895
49,5,10,3.6470816004363904
50,5,11,3.6470816004363886
51,6,7,0.0
52,6,8,3.647081600436384
53,6,9,3.647081600436385
54,6,10,3.647081600436385
55,6,11,3.6470816004363833
56,7,8,3.6068420043025022
57,7,9,3.606842004302504
58,7,10,3.606842004302504
59,7,11,3.606842004302502
60,8,9,0.0
61,8,10,0.0
62,8,11,0.0
63,9,10,2.773691434482652
64,9,11,0.0
65,10,11,0.0
