,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.258997927485057
1,0,2,0,0,5.9715894244885055
2,0,3,0,0,5.971589428903187
3,0,4,0,0,5.258997917086558
4,0,5,0,0,5.257400728522687
5,1,2,0,0,3.081359598709328
6,1,3,0,0,3.0813596021146354
7,1,4,0,0,5.829435082006591e-16
8,1,5,0,0,5.268828610580682
9,2,3,0,0,2.727272415770541e-17
10,2,4,0,0,3.0813595993518716
11,2,5,0,0,3.7600671452827474
12,3,4,0,0,3.0813596027571797
13,3,5,0,0,3.7600671449052805
14,4,5,0,0,5.268828605726961
15,0,1,0,1,5.945006138258173
16,0,2,0,1,5.227771428330881
17,0,3,0,1,5.227771430448569
18,0,4,0,1,5.945006141597741
19,0,5,0,1,3.101211385413836
20,1,2,0,1,5.938298044460973
21,1,3,0,1,5.938298048939114
22,1,4,0,1,6.68818992095138
23,1,5,0,1,5.1582947240140555
24,2,3,0,1,6.688189922058238
25,2,4,0,1,5.938298047861683
26,2,5,0,1,6.8195158385735555
27,3,4,0,1,5.9382980523398246
28,3,5,0,1,6.8195158427987
29,4,5,0,1,5.1582947517239015
30,0,1,0,2,5.25740074604563
31,0,2,0,2,5.2589979114124334
32,0,3,0,2,6.785028254256045
33,0,4,0,2,5.257400745064138
34,0,5,0,2,5.258997907122012
35,1,2,0,2,4.2284769030648063e-16
36,1,3,0,2,5.1266522847852585
37,1,4,0,2,5.2688286175410415
38,1,5,0,2,6.622993146403937e-16
39,2,3,0,2,5.126652291001248
40,2,4,0,2,3.760067132029917
41,2,5,0,2,3.0813595990719866
42,3,4,0,2,3.7600671316524514
43,3,5,0,2,3.0813596024772956
44,4,5,0,2,2.8897496276376874e-16
45,0,1,0,3,3.1012113892202433
46,0,2,0,3,5.945006141613172
47,0,3,0,3,6.885556244088044
48,0,4,0,3,3.1012113869800397
49,0,5,0,3,5.945006147529729
50,1,2,0,3,6.688189918534223
51,1,3,0,3,3.1218038969323283
52,1,4,0,3,5.158294693377985
53,1,5,0,3,6.688189926627017
54,2,3,0,3,3.1218038836906783
55,2,4,0,3,6.819515830958015
56,2,5,0,3,5.938298054856388
57,3,4,0,3,6.819515835183158
58,3,5,0,3,5.9382980593345325
59,4,5,0,3,6.688189937617245
60,0,1,0,4,9.802751644467447e-16
61,0,2,0,4,6.7850282500627435
62,0,3,0,4,5.258997913515135
63,0,4,0,4,3.904253656774195
64,0,5,0,4,3.439985916009641e-17
65,1,2,0,4,5.126652282759205
66,1,3,0,4,4.0805130759458236e-16
67,1,4,0,4,5.971589441487715
68,1,5,0,4,5.258997930281894
69,2,3,0,4,3.081359600358346
70,2,4,0,4,5.258997931620204
71,2,5,0,4,5.971589428461395
72,3,4,0,4,5.258997933722909
73,3,5,0,4,5.971589432876076
74,4,5,0,4,5.258997919883396
75,0,1,0,5,3.9042536722691437
76,0,2,0,5,6.885556229761378
77,0,3,0,5,5.945006146057758
78,0,4,0,5,6.369059416280955e-16
79,0,5,0,5,3.439985925138908e-17
80,1,2,0,5,3.121803892877865
81,1,3,0,5,6.688189922599705
82,1,4,0,5,5.258997947692831
83,1,5,0,5,5.258997930281894
84,2,3,0,5,5.938298055877772
85,2,4,0,5,5.971589431242751
86,2,5,0,5,5.971589428461395
87,3,4,0,5,5.971589435657432
88,3,5,0,5,5.971589432876076
89,4,5,0,5,5.258997919883396
90,0,1,0,6,6.7850282441532155
91,0,2,0,6,4.632726823001438e-17
92,0,3,0,6,3.09586481799237
93,0,4,0,6,6.785028249220527
94,0,5,0,6,6.785028255953775
95,1,2,0,6,5.258997931098074
96,1,3,0,6,3.760067142295565
97,1,4,0,6,5.126652282912706
98,1,5,0,6,5.126652286011095
99,2,3,0,6,5.268828597792638
100,2,4,0,6,5.126652289128697
101,2,5,0,6,5.126652292227086
102,3,4,0,6,5.126652293942735
103,3,5,0,6,5.126652297041126
104,4,5,0,6,5.126652282613938
105,0,1,0,7,6.885556236932089
106,0,2,0,7,3.9042536312429745
107,0,3,0,7,5.253218239666939
108,0,4,0,7,6.885556219260783
109,0,5,0,7,6.885556238063323
110,1,2,0,7,5.971589434315211
111,1,3,0,7,6.819515850880756
112,1,4,0,7,3.121803893894922
113,1,5,0,7,3.121803894474632
114,2,3,0,7,5.158294753411316
115,2,4,0,7,3.1218038806532724
116,2,5,0,7,3.121803881232984
117,3,4,0,7,3.121803884110474
118,3,5,0,7,3.121803884690184
119,4,5,0,7,3.12180387966494
120,0,1,0,8,5.971589434733463
121,0,2,0,8,3.095864812234401
122,0,3,0,8,3.904253630913207
123,0,4,0,8,5.9715894332938575
124,0,5,0,8,3.0958648158500086
125,1,2,0,8,3.76006712873145
126,1,3,0,8,5.971589438729893
127,1,4,0,8,3.0813596011081605
128,1,5,0,8,3.7600671308034315
129,2,3,0,8,5.2589979198228685
130,2,4,0,8,2.5058060733969006e-16
131,2,5,0,8,5.2688285909730315
132,3,4,0,8,2.4667340176715897e-16
133,3,5,0,8,5.268828595834046
134,4,5,0,8,3.7600671575837867
135,0,1,0,9,5.227771428609411
136,0,2,0,9,5.253218233861531
137,0,3,0,9,4.579299113850404e-17
138,0,4,0,9,5.227771423602823
139,0,5,0,9,5.253218235333094
140,1,2,0,9,6.819515838226421
141,1,3,0,9,5.25899793589549
142,1,4,0,9,5.938298040923024
143,1,5,0,9,6.8195158447637985
144,2,3,0,9,5.971589428484928
145,2,4,0,9,6.688189920409913
146,2,5,0,9,5.158294749018022
147,3,4,0,9,6.688189924475395
148,3,5,0,9,5.158294751078115
149,4,5,0,9,6.819515833429539
150,0,1,0,10,3.095864813233307
151,0,2,0,10,5.257400728931974
152,0,3,0,10,5.257400733315544
153,0,4,0,10,3.095864812859405
154,0,5,0,10,5.9715894268141
155,1,2,0,10,5.268828613677144
156,1,3,0,10,5.268828617400289
157,1,4,0,10,3.7600671175506015
158,1,5,0,10,3.08135960082828
159,2,3,0,10,3.760067156774882
160,2,4,0,10,5.268828597933392
161,2,5,0,10,4.3798740041695776e-17
162,3,4,0,10,5.268828602794406
163,3,5,0,10,4.4877319456942425e-17
164,4,5,0,10,3.081359601470824
165,0,1,0,11,5.2532182473682605
166,0,2,0,11,3.1012113841353446
167,0,3,0,11,3.101211387926635
168,0,4,0,11,5.2532182482709935
169,0,5,0,11,5.227771428184131
170,1,2,0,11,5.158294715533809
171,1,3,0,11,5.158294728407353
172,1,4,0,11,6.819515837148254
173,1,5,0,11,5.93829804791773
174,2,3,0,11,6.819515844690516
175,2,4,0,11,5.158294718381947
176,2,5,0,11,6.688189926085554
177,3,4,0,11,5.15829472044204
178,3,5,0,11,6.6881899301510375
179,4,5,0,11,5.938298043774602
