,neighbor_num,isite,atom,x,y,z,front_index
0,0,17,Si1,0.0,0.0,0.0,
1,1,42,O1,-0.7635185355234712,-1.3140405000000002,-0.5308291313412818,0.0
2,1,55,O1,1.1102230246251565e-16,-1.1102230246251565e-16,1.6083794552842363,0.0
3,1,54,O1,1.514631236431828,-5.551115123125783e-17,-0.5455467113479765,0.0
4,1,45,O1,-0.763518535523472,1.314040499999999,-0.5308291313412823,0.0
5,2,8,Si1,-1.3564609432292702,-2.2452919999999996,-1.7022422190183724,1.0
6,2,12,Si1,0.46555241963273364,0.0,3.147907116770199,2.0
7,2,14,Si1,2.3910353555312023,1.6653345369377348e-16,-1.895970650954813,3.0
8,2,11,Si1,-1.3564609432292722,2.2452919999999996,-1.702242219018374,4.0
9,3,29,O1,-2.8688153583190052,-1.8019829999999997,-2.030548663521589,5.0
10,3,20,O1,-0.451873102618488,-2.084914,-3.0244818683399823,5.0
11,3,51,O1,-1.3408043433296608,-3.7824999999999998,-1.225213104908879,5.0
12,3,52,O1,2.073255913442634,-2.220446049250313e-16,3.231683375055865,6.0
13,3,34,O1,-0.11163048081863768,-1.3140405000000008,3.8770161776270653,6.0
14,3,37,O1,-0.11163048081863836,1.314040499999999,3.877016177627065,6.0
15,3,57,O1,3.957081628631691,0.0,-1.5293870415442354,7.0
16,3,36,O1,2.048199838468057,-1.3140405000000004,-2.7603802350111755,7.0
17,3,39,O1,2.048199838468057,1.314040499999999,-2.7603802350111764,7.0
18,3,23,O1,-0.4518731026184899,2.084914,-3.024481868339983,8.0
19,3,51,O1,-1.3408043433296637,3.7824999999999998,-1.225213104908881,8.0
20,3,32,O1,-2.868815358319007,1.801983,-2.0305486635215897,8.0
21,4,1,Si1,-4.196366717767187,-2.245291999999999,-2.8259154813062217,9.0
22,4,25,O1,-0.4508495429628667,-2.0849140000000004,-3.025293499611796,10.0
23,4,11,Si1,-1.356460943229269,-5.319707999999998,-1.702242219018372,11.0
24,4,16,Si1,3.3030288466539086,-8.881784197001252e-16,4.270619151411073,12.0
25,4,0,Si1,-0.34011949994558477,-2.2452919999999996,5.169912966590561,13.0
26,4,3,Si1,-0.34011949994558566,2.2452919999999987,5.169912966590562,14.0
27,4,15,Si1,5.349979096257263,-4.440892098500626e-16,-0.7251973123207134,15.0
28,4,2,Si1,1.0427628895469019,-2.2452919999999987,-3.604705920147688,16.0
29,4,5,Si1,1.0427628895469003,2.2452919999999987,-3.6047059201476896,17.0
30,4,27,O1,-0.45084954296286806,2.0849139999999995,-3.0252934996117955,18.0
31,4,8,Si1,-1.3564609432292736,5.319708,-1.7022422190183744,19.0
32,4,4,Si1,-4.196366717767189,2.245292,-2.8259154813062235,20.0
