,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,
1,0,2,0,0,7.66666880975862
2,0,3,0,0,4.445486538489803
3,0,4,0,0,
4,0,5,0,0,6.273628400914458
5,0,6,0,0,
6,0,7,0,0,6.273628403673676
7,0,8,0,0,6.678054868934057
8,0,9,0,0,
9,0,10,0,0,4.158348583711013
10,0,11,0,0,5.797487056803005
11,0,12,0,0,
12,0,13,0,0,
13,0,14,0,0,
14,0,15,0,0,
15,0,16,0,0,
16,0,17,0,0,
17,1,2,0,0,
18,1,3,0,0,
19,1,4,0,0,2.1535159874100858
20,1,5,0,0,
21,1,6,0,0,2.1535926353859454
22,1,7,0,0,
23,1,8,0,0,
24,1,9,0,0,4.058634011461805
25,1,10,0,0,
26,1,11,0,0,
27,1,12,0,0,4.624674639697922
28,1,13,0,0,4.8331095980731
29,1,14,0,0,4.624674634899057
30,1,15,0,0,4.957783024055955
31,1,16,0,0,4.624674638029272
32,1,17,0,0,4.247121662156784
33,2,3,0,0,6.491728846516611
34,2,4,0,0,
35,2,5,0,0,2.7084174444456695
36,2,6,0,0,
37,2,7,0,0,2.7084174411576702
38,2,8,0,0,7.75597135684036
39,2,9,0,0,
40,2,10,0,0,7.729146312157946
41,2,11,0,0,5.783768664226886
42,2,12,0,0,
43,2,13,0,0,
44,2,14,0,0,
45,2,15,0,0,
46,2,16,0,0,
47,2,17,0,0,
48,3,4,0,0,
49,3,5,0,0,5.679096518050233
50,3,6,0,0,
51,3,7,0,0,5.679096518005586
52,3,8,0,0,4.325911793187506
53,3,9,0,0,
54,3,10,0,0,7.6606186613069704
55,3,11,0,0,1.8251389383668906
56,3,12,0,0,
57,3,13,0,0,
58,3,14,0,0,
59,3,15,0,0,
60,3,16,0,0,
61,3,17,0,0,
62,4,5,0,0,
63,4,6,0,0,6.129593808304839e-07
64,4,7,0,0,
65,4,8,0,0,
66,4,9,0,0,3.9118541422324427
67,4,10,0,0,
68,4,11,0,0,
69,4,12,0,0,2.9927791221762776
70,4,13,0,0,3.42488901045825
71,4,14,0,0,2.9927791188156694
72,4,15,0,0,3.8470847173300524
73,4,16,0,0,2.992779122209816
74,4,17,0,0,3.0676509817686255
75,5,6,0,0,
76,5,7,0,0,1.5243037193379886e-16
77,5,8,0,0,7.879363271471474
78,5,9,0,0,
79,5,10,0,0,6.382681414833063
80,5,11,0,0,4.525984363770297
81,5,12,0,0,
82,5,13,0,0,
83,5,14,0,0,
84,5,15,0,0,
85,5,16,0,0,
86,5,17,0,0,
87,6,7,0,0,
88,6,8,0,0,
89,6,9,0,0,3.9120637698033947
90,6,10,0,0,
91,6,11,0,0,
92,6,12,0,0,2.992657558822986
93,6,13,0,0,3.425167131231139
94,6,14,0,0,2.992657555463193
95,6,15,0,0,3.847136139679371
96,6,16,0,0,2.9926575588575965
97,6,17,0,0,3.067876985403681
98,7,8,0,0,7.879363267593536
99,7,9,0,0,
100,7,10,0,0,6.382681402762257
101,7,11,0,0,4.52598436419875
102,7,12,0,0,
103,7,13,0,0,
104,7,14,0,0,
105,7,15,0,0,
106,7,16,0,0,
107,7,17,0,0,
108,8,9,0,0,
109,8,10,0,0,8.038989709063232
110,8,11,0,0,4.432922512262083
111,8,12,0,0,
112,8,13,0,0,
113,8,14,0,0,
114,8,15,0,0,
115,8,16,0,0,
116,8,17,0,0,
117,9,10,0,0,
118,9,11,0,0,
119,9,12,0,0,3.0658625608274748
120,9,13,0,0,3.4334701334916526
121,9,14,0,0,3.065862560411945
122,9,15,0,0,5.474360932781636
123,9,16,0,0,3.065862561772411
124,9,17,0,0,2.9931961534558966
125,10,11,0,0,7.669284956343907
126,10,12,0,0,
127,10,13,0,0,
128,10,14,0,0,
129,10,15,0,0,
130,10,16,0,0,
131,10,17,0,0,
132,11,12,0,0,
133,11,13,0,0,
134,11,14,0,0,
135,11,15,0,0,
136,11,16,0,0,
137,11,17,0,0,
138,12,13,0,0,2.0711056093499405
139,12,14,0,0,2.913372399845669e-17
140,12,15,0,0,4.647790374925532
141,12,16,0,0,1.545906508129318e-17
142,12,17,0,0,2.0686251073380713
143,13,14,0,0,2.0711056059749295
144,13,15,0,0,4.049575143590889
145,13,16,0,0,2.0711056119072495
146,13,17,0,0,2.0536440878698348
147,14,15,0,0,4.647790368793159
148,14,16,0,0,3.1539448086555983e-17
149,14,17,0,0,2.0686251038785857
150,15,16,0,0,4.647790374954783
151,15,17,0,0,4.656814810591156
152,16,17,0,0,2.0686251097395636
153,0,1,0,1,
154,0,2,0,1,4.259710121244447
155,0,3,0,1,8.148944701720344
156,0,4,0,1,
157,0,5,0,1,4.406840459935683
158,0,6,0,1,
159,0,7,0,1,4.406840446900336
160,0,8,0,1,6.803240703077485
161,0,9,0,1,
162,0,10,0,1,5.678725921438438
163,0,11,0,1,7.902268684774326
164,0,12,0,1,
165,0,13,0,1,
166,0,14,0,1,
167,0,15,0,1,
168,0,16,0,1,
169,0,17,0,1,
170,1,2,0,1,
171,1,3,0,1,
172,1,4,0,1,3.871829296727027
173,1,5,0,1,
174,1,6,0,1,3.872533351951095
175,1,7,0,1,
176,1,8,0,1,
177,1,9,0,1,4.096304201643099
178,1,10,0,1,
179,1,11,0,1,
180,1,12,0,1,5.366115779354884
181,1,13,0,1,6.485362912202109
182,1,14,0,1,5.366115775605991
183,1,15,0,1,3.1880533932641413
184,1,16,0,1,5.366115781052255
185,1,17,0,1,5.597375636842655
186,2,3,0,1,6.565984578015719
187,2,4,0,1,
188,2,5,0,1,7.999176225754286
189,2,6,0,1,
190,2,7,0,1,7.999176235177107
191,2,8,0,1,6.274084737090137
192,2,9,0,1,
193,2,10,0,1,4.0897283036251695
194,2,11,0,1,7.525149613808174
195,2,12,0,1,
196,2,13,0,1,
197,2,14,0,1,
198,2,15,0,1,
199,2,16,0,1,
200,2,17,0,1,
201,3,4,0,1,
202,3,5,0,1,7.756312473440398
203,3,6,0,1,
204,3,7,0,1,7.756312469403981
205,3,8,0,1,7.903262949308343
206,3,9,0,1,
207,3,10,0,1,6.27383095150822
208,3,11,0,1,6.805600154700083
209,3,12,0,1,
210,3,13,0,1,
211,3,14,0,1,
212,3,15,0,1,
213,3,16,0,1,
214,3,17,0,1,
215,4,5,0,1,
216,4,6,0,1,4.10035466026071
217,4,7,0,1,
218,4,8,0,1,
219,4,9,0,1,3.872158581063112
220,4,10,0,1,
221,4,11,0,1,
222,4,12,0,1,5.614068152631512
223,4,13,0,1,6.4749362214258985
224,4,14,0,1,5.61406815127705
225,4,15,0,1,4.574348502656189
226,4,16,0,1,5.614068158191037
227,4,17,0,1,5.353334058234775
228,5,6,0,1,
229,5,7,0,1,7.441724413001452
230,5,8,0,1,7.671963609462061
231,5,9,0,1,
232,5,10,0,1,1.6033113208199807
233,5,11,0,1,8.049742469724963
234,5,12,0,1,
235,5,13,0,1,
236,5,14,0,1,
237,5,15,0,1,
238,5,16,0,1,
239,5,17,0,1,
240,6,7,0,1,
241,6,8,0,1,
242,6,9,0,1,3.8723033755933294
243,6,10,0,1,
244,6,11,0,1,
245,6,12,0,1,5.614224649274441
246,6,13,0,1,6.475477497248967
247,6,14,0,1,5.614224647919725
248,6,15,0,1,4.574454616103018
249,6,16,0,1,5.614224654833614
250,6,17,0,1,5.353636124305809
251,7,8,0,1,7.671963617450562
252,7,9,0,1,
253,7,10,0,1,1.60331132527905
254,7,11,0,1,8.049742459846776
255,7,12,0,1,
256,7,13,0,1,
257,7,14,0,1,
258,7,15,0,1,
259,7,16,0,1,
260,7,17,0,1,
261,8,9,0,1,
262,8,10,0,1,8.119062366743353
263,8,11,0,1,7.820506875413424
264,8,12,0,1,
265,8,13,0,1,
266,8,14,0,1,
267,8,15,0,1,
268,8,16,0,1,
269,8,17,0,1,
270,9,10,0,1,
271,9,11,0,1,
272,9,12,0,1,4.827809368239598
273,9,13,0,1,2.987066405743255
274,9,14,0,1,4.827809366068252
275,9,15,0,1,4.570989763550602
276,9,16,0,1,4.827809367823218
277,9,17,0,1,3.7173148781228695
278,10,11,0,1,5.79596382344239
279,10,12,0,1,
280,10,13,0,1,
281,10,14,0,1,
282,10,15,0,1,
283,10,16,0,1,
284,10,17,0,1,
285,11,12,0,1,
286,11,13,0,1,
287,11,14,0,1,
288,11,15,0,1,
289,11,16,0,1,
290,11,17,0,1,
291,12,13,0,1,4.666326171306082
292,12,14,0,1,5.168917385912855
293,12,15,0,1,4.647790374925531
294,12,16,0,1,5.168917394958785
295,12,17,0,1,4.521127322903492
296,13,14,0,1,4.656920992704512
297,13,15,0,1,5.102814431219084
298,13,16,0,1,4.656921000409263
299,13,17,0,1,4.093503734711464
300,14,15,0,1,4.647790368793158
301,14,16,0,1,5.168917390840009
302,14,17,0,1,4.521127318609372
303,15,16,0,1,4.632607116261199
304,15,17,0,1,4.090150218726312
305,16,17,0,1,4.521127327317879
306,0,1,0,2,
307,0,2,0,2,0.09601177605486823
308,0,3,0,2,6.678198812675185
309,0,4,0,2,
310,0,5,0,2,6.566897310073448
311,0,6,0,2,
312,0,7,0,2,2.919584532420757
313,0,8,0,2,6.278143342237789
314,0,9,0,2,
315,0,10,0,2,5.796375985041454
316,0,11,0,2,5.888222455809855
317,0,12,0,2,
318,0,13,0,2,
319,0,14,0,2,
320,0,15,0,2,
321,0,16,0,2,
322,0,17,0,2,
323,1,2,0,2,
324,1,3,0,2,
325,1,4,0,2,4.498145710624749
326,1,5,0,2,
327,1,6,0,2,6.950154497595925
328,1,7,0,2,
329,1,8,0,2,
330,1,9,0,2,4.355079740649767
331,1,10,0,2,
332,1,11,0,2,
333,1,12,0,2,2.9822397271894876
334,1,13,0,2,4.565016558897429
335,1,14,0,2,2.9822397236192892
336,1,15,0,2,2.973234306588114
337,1,16,0,2,4.788619837958886
338,1,17,0,2,3.204361884601514
339,2,3,0,2,7.755980669944547
340,2,4,0,2,
341,2,5,0,2,7.590459878553866
342,2,6,0,2,
343,2,7,0,2,6.4287135961369835
344,2,8,0,2,2.919649276828785
345,2,9,0,2,
346,2,10,0,2,5.557853960075058
347,2,11,0,2,7.875662456009952
348,2,12,0,2,
349,2,13,0,2,
350,2,14,0,2,
351,2,15,0,2,
352,2,16,0,2,
353,2,17,0,2,
354,3,4,0,2,
355,3,5,0,2,4.257171683579895
356,3,6,0,2,
357,3,7,0,2,5.783768230634213
358,3,8,0,2,5.797489530150644
359,3,9,0,2,
360,3,10,0,2,1.7160498867465621
361,3,11,0,2,3.0068101984786697
362,3,12,0,2,
363,3,13,0,2,
364,3,14,0,2,
365,3,15,0,2,
366,3,16,0,2,
367,3,17,0,2,
368,4,5,0,2,
369,4,6,0,2,4.808012176621716
370,4,7,0,2,
371,4,8,0,2,
372,4,9,0,2,2.9615026978756256
373,4,10,0,2,
374,4,11,0,2,
375,4,12,0,2,4.630708093999331
376,4,13,0,2,3.1945291374953846
377,4,14,0,2,4.630708089288642
378,4,15,0,2,2.9770281671863508
379,4,16,0,2,3.6413795109236196
380,4,17,0,2,3.2081488358264996
381,5,6,0,2,
382,5,7,0,2,7.61886528599943
383,5,8,0,2,0.09601183931086531
384,5,9,0,2,
