,neighbor_num,isite,atom,x,y,z,front_index
0,0,0,Si1,0.0,0.0,0.0,
1,1,36,O1,-0.7628504800398386,-1.3144184822668539,-0.5280956247807499,0.0
2,1,32,O1,5.551115123125783e-17,0.0,1.6123102255518573,0.0
3,1,44,O1,-0.750538615050684,1.303374093458969,-0.5768566382248288,0.0
4,1,43,O1,1.5197489271000355,0.0,-0.52809562478075,0.0
5,2,7,Si1,-1.4493034780653984,-2.761507685088416,-0.6805322047517511,1.0
6,2,21,Si1,0.5623840450212361,-0.9766276913091826,2.765335291147888,2.0
7,2,12,Si1,-1.5361018849497594,2.6675714768144245,-0.2475944751304941,3.0
8,2,7,Si1,3.1158953362143493,-0.13267072055470888,-0.6805322047517528,4.0
9,3,43,O1,-3.0454498871797124,-2.6288369645337077,-0.5280956247807496,5.0
10,3,51,O1,-1.113775700795503,-3.3441801868889,-2.144352442203102,5.0
11,3,34,O1,-0.8869194330441619,-3.738135376397598,0.4724928608442786,5.0
12,3,81,O1,0.2268562677513406,-0.393955189508698,4.229155528599237,6.0
13,3,73,O1,-0.12406895300432419,-2.4237168941307456,2.612898711176886,6.0
14,3,70,O1,2.1585304541355503,-1.109298411863892,2.6128987111768858,6.0
15,3,50,O1,-1.9676938647513513,3.4170676308265326,-1.6035227925226643,7.0
16,3,58,O1,-2.8558203157145825,2.3202015192973833,0.6018233986369961,7.0
17,3,52,O1,-0.5732209085747081,3.6346200015642367,0.6018233986369965,7.0
18,3,36,O1,3.802348334239909,1.3144184822668534,-0.5280956247807512,8.0
19,3,51,O1,3.4514231134842444,-0.7153432223551928,-2.144352442203103,8.0
20,3,34,O1,3.678279381235585,-1.1092984118638922,0.4724928608442778,8.0
21,4,0,Si1,-4.565198814279747,-2.6288369645337064,8.881784197001252e-16,9.0
22,4,15,Si1,-0.43714045363936627,-4.519214800937318,-3.0092316949939173,10.0
23,4,18,Si1,-0.8869194330441627,-3.7381353763976004,2.0848030863961364,11.0
24,4,29,Si1,-0.4497789794047946,0.7810794245397199,5.094034781390054,12.0
25,4,18,Si1,-0.8869194330441627,-3.7381353763976004,2.0848030863961364,13.0
26,4,18,Si1,3.678279381235585,-1.1092984118638922,2.084803086396136,14.0
27,4,6,Si1,-2.698169329756024,4.685600359059563,-2.275896300086809,15.0
28,4,8,Si1,-4.175180475942868,1.972209394544163,1.449535614023426,16.0
29,4,8,Si1,0.39001833833687916,4.601046359077872,1.4495356140234261,17.0
30,4,0,Si1,4.565198814279746,2.6288369645337073,-8.881784197001252e-16,18.0
31,4,15,Si1,4.128058360640382,-1.8903778364036123,-3.009231694993918,19.0
32,4,18,Si1,3.678279381235585,-1.1092984118638922,2.084803086396136,20.0
