,neighbor_num,isite,atom,x,y,z,front_index
0,0,15,Si1,0.0,0.0,0.0,
1,1,39,O1,-6.162975822039155e-33,1.232595164407831e-32,1.7476072268664176,0.0
2,1,32,O1,-0.6461223889087169,1.4808386927805004,-0.6482542166008995,0.0
3,1,63,O1,1.6922036560129663,-2.933363422716561e-17,-0.5037809088004876,0.0
4,1,44,O1,-0.9267111204420612,-1.3863174885780134,-0.5835646091426487,0.0
5,2,3,Si1,-0.5267306931494572,-0.8583686776509558,3.0082215401091146,1.0
6,2,0,Si1,-1.706425750029115,1.9546900406887295,-1.7499734355707586,2.0
7,2,7,Si1,-0.4562424176809041,-2.9394243165416176,-0.7476541402759086,4.0
8,3,61,O1,-0.36907696080618724,0.10313955639784045,4.332269211173772,5.0
9,3,35,O1,-2.065331004559635,-1.2673948869817264,2.8409786535012116,5.0
10,3,43,O1,0.3705796679297012,-2.1827451864125735,3.201950868414459,5.0
11,3,40,O1,-2.4635355971553814,0.6715801671081587,-2.3640449341845207,6.0
12,3,36,O1,-1.001817337063089,2.8086218679348725,-2.9237357093825715,6.0
13,3,60,O1,-2.808083308422609,2.947609605037085,-1.0408074595920067,6.0
14,3,55,O1,0.3302901393610048,-3.431285110939015,0.5583293792475607,7.0
15,3,49,O1,0.4418666017974205,-3.165608473257904,-2.091279700534776,7.0
16,3,58,O1,-1.7752980748501914,-3.8369611208665755,-1.0439651960404168,7.0
17,4,18,Si1,-1.4707345154722569,1.0960591264179378,5.041435179808298,8.0
18,4,12,Si1,-3.0327012069073986,-2.7079878128159156,2.7014156982732946,9.0
19,4,11,Si1,1.1711745283842714,-3.258442021306088,2.0645737744068215,10.0
20,4,8,Si1,-2.102125553072682,-0.39316197201512787,-3.7158620120091417,11.0
21,4,12,Si1,0.37555438950358255,2.774265717186799,-3.998816087427679,12.0
22,4,17,Si1,-2.6504295760793384,3.9091178390858796,0.28324021147264955,13.0
23,4,11,Si1,1.171174522333512,-3.2584420187449017,2.0645737869299463,14.0
24,4,9,Si1,2.09098764994859,-2.662008886539412,-2.4331642401126055,15.0
25,4,10,Si1,-2.5064078380225743,-5.330968113225195,-0.4957390428046481,16.0
