,neighbor_num,isite,atom,x,y,z,front_index
0,0,22,Si1,0.0,0.0,0.0,
1,1,74,O1,-0.7623750425161608,1.3124821996460285,-0.5363716781026433,0.0
2,1,79,O1,-0.758814658749361,-1.3153905256169631,-0.5328304643992698,0.0
3,1,86,O1,0.0,1.5523501970814315e-33,1.6107272511809818,0.0
4,1,35,O1,1.5184730297473188,-4.679156284375634e-33,-0.5335466574841966,0.0
5,2,14,Si1,-0.8219545832852029,2.8972570718249138,-0.8070857137518266,1.0
6,2,19,Si1,-0.7792180711822974,-2.553899872710572,-1.5602731746904932,2.0
7,2,26,Si1,-0.32229790726848195,0.7707851870168597,2.9867480192385054,3.0
8,2,23,Si1,2.5705225204363367,0.2676351447487064,-1.7218209003334106,4.0
9,3,57,O1,-1.9784967203134474,3.213332367970861,-1.8816605265856592,5.0
10,3,50,O1,-1.1442524905536833,3.6680422588417727,0.5689350543056992,5.0
11,3,63,O1,0.5960957398207483,3.398266555818326,-1.382355052277847,5.0
12,3,33,O1,0.27283141950671974,-2.286264727961866,-2.7485474175397107,6.0
13,3,71,O1,-0.38195546309753997,-3.9043964910056186,-0.7793371266678828,6.0
14,3,83,O1,-2.257677839305872,-2.7078326980023433,-2.180679232877163,6.0
15,3,38,O1,-0.38187744803752366,2.3555600591957444,2.7160339835893237,7.0
16,3,93,O1,-1.740348230374432,0.2697757030234471,3.5620173577645287,7.0
17,3,90,O1,0.8342442297597633,0.45470989087091246,4.061322832072342,7.0
18,3,87,O1,4.04898228855991,0.4215679700404789,-1.1014148421467422,8.0
19,3,75,O1,2.173259912351578,1.6181317630437546,-2.5027569483560224,8.0
20,3,78,O1,2.5501191080034,-0.970874202344903,-2.7492636106246353,8.0
21,4,9,Si1,-2.4765267752172972,4.166373296979098,-3.079944043947082,9.0
22,4,2,Si1,-1.144252490553683,3.6680422588417723,2.179662305486681,10.0
23,4,15,Si1,1.7207342538088302,3.1619942564075507,-2.5102626935083796,11.0
24,4,18,Si1,1.7913044492540382,-2.286264727961866,-3.2820940750239065,12.0
25,4,11,Si1,0.07057019544520943,-5.448258984369418,-0.7718313815155267,13.0
26,4,31,Si1,-3.5300862600023537,-3.6446539557104396,-2.488513022001731,14.0
27,4,2,Si1,-1.1442524905536844,3.6680422588417736,2.179662305486681,15.0
28,4,27,Si1,-2.864986744362512,0.5060480024342222,4.6899249989950595,16.0
29,4,29,Si1,1.3322742846636126,-0.4983310381373261,5.259606349433762,17.0
30,4,27,Si1,5.321390709256391,1.3583892277485734,-0.7935810530221744,18.0
31,4,15,Si1,1.7207342538088302,3.1619942564075507,-2.5102626935083796,19.0
32,4,18,Si1,1.7913044492540386,-2.286264727961866,-3.282094075023906,20.0
