,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.695565133463793
1,0,2,0,0,3.6955651334637927
2,0,3,0,0,4.299855266180756
3,0,4,0,0,4.949374146716768
4,0,5,0,0,4.892790743594381
5,0,6,0,0,6.654258967448581
6,0,7,0,0,5.286854475693369
7,0,8,0,0,4.863345633598836
8,0,9,0,0,4.456093240629532
9,0,10,0,0,3.4833781173284297
10,0,11,0,0,4.375415981875353
11,0,12,0,0,5.134765903825087
12,0,13,0,0,4.335734361005145
13,0,14,0,0,6.335866482732353
14,0,15,0,0,5.637639133437443
15,0,16,0,0,5.899576121864731
16,0,17,0,0,5.477780952932994
17,0,18,0,0,5.47778095293299
18,0,19,0,0,6.2619610822090435
19,0,20,0,0,5.976314521739376
20,0,21,0,0,5.753382506663232
21,0,22,0,0,5.753382506663232
22,0,23,0,0,3.339604347180077
23,1,2,0,0,8.596697622793799e-30
24,1,3,0,0,3.302916870934217
25,1,4,0,0,4.892790743594381
26,1,5,0,0,4.94937414671677
27,1,6,0,0,5.462044146387254
28,1,7,0,0,4.874450568155892
29,1,8,0,0,3.451616942833625
30,1,9,0,0,4.375415981875349
31,1,10,0,0,3.853812810613305
32,1,11,0,0,4.456093240629532
33,1,12,0,0,6.0412547317607705
34,1,13,0,0,5.637639133437441
35,1,14,0,0,6.393424252420446
36,1,15,0,0,4.335734361005147
37,1,16,0,0,6.476060377515877
38,1,17,0,0,5.386711603461281
39,1,18,0,0,5.386711603461279
40,1,19,0,0,5.302172313542544
41,1,20,0,0,6.2226665900892115
42,1,21,0,0,5.73467598517744
43,1,22,0,0,5.734675985177442
44,1,23,0,0,4.136153987554251
45,2,3,0,0,3.30291687093422
46,2,4,0,0,4.892790743594381
47,2,5,0,0,4.94937414671677
48,2,6,0,0,5.4620441463872575
49,2,7,0,0,4.874450568155894
50,2,8,0,0,3.4516169428336276
51,2,9,0,0,4.375415981875354
52,2,10,0,0,3.8538128106133094
53,2,11,0,0,4.456093240629535
54,2,12,0,0,6.041254731760778
55,2,13,0,0,5.637639133437446
56,2,14,0,0,6.3934242524204485
57,2,15,0,0,4.335734361005148
58,2,16,0,0,6.4760603775158785
59,2,17,0,0,5.386711603461284
60,2,18,0,0,5.386711603461282
61,2,19,0,0,5.302172313542544
62,2,20,0,0,6.222666590089215
63,2,21,0,0,5.734675985177442
64,2,22,0,0,5.734675985177445
65,2,23,0,0,4.136153987554257
66,3,4,0,0,6.099497448136485
67,3,5,0,0,6.876230599204224
68,3,6,0,0,4.772109186466956
69,3,7,0,0,5.410659741422268
70,3,8,0,0,2.0733266042779634
71,3,9,0,0,4.494053006194777
72,3,10,0,0,2.414041324599486
73,3,11,0,0,5.525018765226145
74,3,12,0,0,5.637368152888637
75,3,13,0,0,6.040849342809678
76,3,14,0,0,5.772213170163751
77,3,15,0,0,3.041885633722075
78,3,16,0,0,7.748576408674388
79,3,17,0,0,4.622102549987766
80,3,18,0,0,4.622102549987768
81,3,19,0,0,5.879573361832547
82,3,20,0,0,3.700643424445513
83,3,21,0,0,4.529210732142233
84,3,22,0,0,4.529210732142235
85,3,23,0,0,3.9762960423762426
86,4,5,0,0,5.176613947650182
87,4,6,0,0,4.073778518771495
88,4,7,0,0,4.456267405322052
89,4,8,0,0,5.365415656329249
90,4,9,0,0,3.612172721676004
91,4,10,0,0,5.228894436968095
92,4,11,0,0,5.499129647042497
93,4,12,0,0,6.888180525937472
94,4,13,0,0,6.27477853384101
95,4,14,0,0,3.6936202605812682
96,4,15,0,0,3.337532983571453
97,4,16,0,0,4.481686211751262
98,4,17,0,0,4.555700025810045
99,4,18,0,0,4.555700025810043
100,4,19,0,0,2.994828274058781
101,4,20,0,0,6.204015043566957
102,4,21,0,0,6.048411195826491
103,4,22,0,0,6.04841119582649
104,4,23,0,0,5.580605357935604
105,5,6,0,0,6.4099618060510215
106,5,7,0,0,5.001019668897073
107,5,8,0,0,5.971510072990167
108,5,9,0,0,5.499129647042494
109,5,10,0,0,5.801535920122049
110,5,11,0,0,3.6121727216760027
111,5,12,0,0,5.796126746491728
112,5,13,0,0,3.3375329835714522
113,5,14,0,0,5.445837656087298
114,5,15,0,0,6.274778533841009
115,5,16,0,0,4.3901727116012506
116,5,17,0,0,7.000993503262077
117,5,18,0,0,7.000993503262073
118,5,19,0,0,3.0871829146716463
119,5,20,0,0,5.109947438951258
120,5,21,0,0,3.478148946739284
121,5,22,0,0,3.478148946739281
