,isite_i,isite_j,distance
0,0,1,3.1647584574936864
1,0,2,3.164758457493686
2,0,3,0.0
3,0,4,2.466414994620114
4,0,5,2.9220254741801988
5,0,6,2.922025474180199
6,0,7,2.4664149946201137
7,0,8,2.077179407276282
8,0,9,2.413806180713009
9,0,10,2.413806180713008
10,0,11,2.077179407276281
11,0,12,2.47509516117768
12,0,13,2.533823095540362
13,0,14,2.533823095540365
14,0,15,2.475095161177681
15,0,16,3.404155064151439
16,0,17,2.758860753942173
17,0,18,2.758860753942177
18,0,19,3.404155064151438
19,0,20,2.5791177433464454
20,0,21,2.109520564929799
21,0,22,2.109520564929796
22,0,23,2.579117743346448
23,1,2,0.0
24,1,3,3.164758457493688
25,1,4,2.9220254741802005
26,1,5,2.4664149946201124
27,1,6,2.466414994620115
28,1,7,2.9220254741801988
29,1,8,2.413806180713005
30,1,9,2.0771794072762813
31,1,10,2.077179407276282
32,1,11,2.41380618071301
33,1,12,2.5338230955403613
34,1,13,2.475095161177681
35,1,14,2.475095161177681
36,1,15,2.5338230955403613
37,1,16,2.758860753942173
38,1,17,3.404155064151438
39,1,18,3.404155064151437
40,1,19,2.758860753942172
41,1,20,2.109520564929796
42,1,21,2.579117743346446
43,1,22,2.579117743346446
44,1,23,2.1095205649297983
45,2,3,3.1647584574936887
46,2,4,2.922025474180201
47,2,5,2.466414994620111
48,2,6,2.4664149946201146
49,2,7,2.9220254741801988
50,2,8,2.4138061807130105
51,2,9,2.077179407276283
52,2,10,2.077179407276284
53,2,11,2.413806180713014
54,2,12,2.5338230955403604
55,2,13,2.4750951611776824
56,2,14,2.475095161177681
57,2,15,2.5338230955403613
58,2,16,2.758860753942177
59,2,17,3.4041550641514404
60,2,18,3.404155064151438
61,2,19,2.758860753942176
62,2,20,2.109520564929797
63,2,21,2.5791177433464485
64,2,22,2.5791177433464494
65,2,23,2.109520564929798
66,3,4,2.516697672175399
67,3,5,2.950531248474033
68,3,6,2.9505312484740327
69,3,7,2.516697672175399
70,3,8,2.0733266042779634
71,3,9,2.414041324599486
72,3,10,2.414041324599486
73,3,11,2.07332660427796
74,3,12,2.4772262542152563
75,3,13,2.507465824963336
76,3,14,2.50746582496334
77,3,15,2.4772262542152577
78,3,16,3.40283589012268
79,3,17,2.729473381022128
80,3,18,2.729473381022131
81,3,19,3.40283589012268
82,3,20,2.5818074368642736
83,3,21,1.997310246172223
84,3,22,1.997310246172223
85,3,23,2.5818074368642763
86,4,5,3.185389536433348
87,4,6,3.185389536433349
88,4,7,0.0
89,4,8,1.3976158125344575
90,4,9,3.463077402354052
91,4,10,3.4630774023540547
92,4,11,1.3976158125344595
93,4,12,3.2265048924974167
94,4,13,3.693620260581266
95,4,14,3.693620260581268
96,4,15,3.226504892497417
97,4,16,2.99482827405878
98,4,17,3.0871829146716463
99,4,18,3.087182914671647
100,4,19,2.994828274058781
101,4,20,2.688316160648067
